停留所名,事業者名,バス系統
大間崎,下北交通（株）,佐井線
潮見町,下北交通（株）,佐井線
美島町,下北交通（株）,佐井線
朝日町,下北交通（株）,佐井線
割石,下北交通（株）,佐井線
大間平,下北交通（株）,佐井線
日和町,下北交通（株）,佐井線
三番坂,下北交通（株）,佐井線
東浜町,下北交通（株）,佐井線
船見町,下北交通（株）,佐井線
大間,下北交通（株）,佐井線
県営住宅前,下北交通（株）,佐井線
大間ウイング前,下北交通（株）,佐井線
上町,下北交通（株）,佐井線
フェリー乗場前,下北交通（株）,佐井線
大間病院前,風間浦村,風間浦村コミュニティバス
大間病院前,下北交通（株）,佐井線
マエダストアー前,下北交通（株）,佐井線
根田内,下北交通（株）,佐井線
上根田内,下北交通（株）,佐井線
ばんや前,下北交通（株）,佐井線
中磯,下北交通（株）,佐井線
七郎平,下北交通（株）,佐井線
潜石,下北交通（株）,佐井線
古釜谷,風間浦村,風間浦村コミュニティバス
古釜谷,下北交通（株）,佐井線
蛇浦石上,風間浦村,風間浦村コミュニティバス
蛇浦石上,下北交通（株）,佐井線
蛇浦,風間浦村,風間浦村コミュニティバス
蛇浦,下北交通（株）,佐井線
小奥戸,下北交通（株）,佐井線
北奥戸,下北交通（株）,佐井線
下蛇浦,風間浦村,風間浦村コミュニティバス
下蛇浦,下北交通（株）,佐井線
沢の黒,風間浦村,風間浦村コミュニティバス
沢の黒,下北交通（株）,佐井線
向町,下北交通（株）,佐井線
下奥戸,下北交通（株）,佐井線
孫三郎澗,風間浦村,風間浦村コミュニティバス
孫三郎澗,下北交通（株）,佐井線
風間浦中学校前,風間浦村,風間浦村コミュニティバス
風間浦中学校前,下北交通（株）,佐井線
奥戸,下北交通（株）,佐井線
易国間郵便局前,風間浦村,風間浦村コミュニティバス
易国間郵便局前,下北交通（株）,佐井線
奥戸小学校前,下北交通（株）,佐井線
易国間,風間浦村,風間浦村コミュニティバス
易国間,下北交通（株）,佐井線
易国間新町,風間浦村,風間浦村コミュニティバス
易国間新町,下北交通（株）,佐井線
易国間小学校前,風間浦村,風間浦村コミュニティバス
易国間下新町,風間浦村,風間浦村コミュニティバス
易国間下新町,下北交通（株）,佐井線
村口産業前,風間浦村,風間浦村コミュニティバス
奥戸黒岩,下北交通（株）,佐井線
菅の尻,風間浦村,風間浦村コミュニティバス
菅の尻,下北交通（株）,佐井線
桑畑,風間浦村,風間浦村コミュニティバス
桑畑,下北交通（株）,佐井線
風間浦診療所前,風間浦村,風間浦村コミュニティバス
大川尻,風間浦村,風間浦村コミュニティバス
大川尻,下北交通（株）,佐井線
新釜,下北交通（株）,佐井線
日和崎,風間浦村,風間浦村コミュニティバス
日和崎,下北交通（株）,佐井線
立石,風間浦村,風間浦村コミュニティバス
立石,下北交通（株）,佐井線
材木,下北交通（株）,佐井線
下風呂温泉,風間浦村,風間浦村コミュニティバス
下風呂温泉,下北交通（株）,佐井線
風間浦駐在所前,風間浦村,風間浦村コミュニティバス
風間浦駐在所前,下北交通（株）,佐井線
滝ノ上団地入口,風間浦村,風間浦村コミュニティバス
畑尻,風間浦村,風間浦村コミュニティバス
畑尻,下北交通（株）,佐井線
弁天,風間浦村,風間浦村コミュニティバス
弁天,下北交通（株）,佐井線
甲団地入口,風間浦村,風間浦村コミュニティバス
高橋農場前,下北交通（株）,佐井線
甲,風間浦村,風間浦村コミュニティバス
甲,下北交通（株）,佐井線
畠山商店前,風間浦村,風間浦村コミュニティバス
赤川,下北交通（株）,佐井線
原田,下北交通（株）,佐井線
下北自然の家,下北交通（株）,佐井線
上原田,下北交通（株）,佐井線
佐助川,下北交通（株）,佐井線
佐井中学校前,下北交通（株）,佐井線
木野部,下北交通（株）,佐井線
赤岩,下北交通（株）,佐井線
