停留所名,事業者名,バス系統
県境,岩手県北自動車（株）,軽米線
小松,軽米町,小松線
長倉,軽米町,小松線
泥り,軽米町,上野場線
鶴飼公園口,軽米町,軽米新町・鶴飼線
長森,八戸市,南郷コミュニティバス　七枚田線
鶴飼,軽米町,軽米新町・鶴飼線
下尾田,岩手県北自動車（株）,軽米線
下尾田,軽米町,上野場線
姫ヶ森牧場口,軽米町,軽米新町・鶴飼線
苅敷山,軽米町,上野場線
鶴飼口,岩手県北自動車（株）,大野線
尾田口,岩手県北自動車（株）,軽米線
大道口,岩手県北自動車（株）,大野線
大道口,軽米町,軽米新町・鶴飼線
上野場,軽米町,上野場線
上尾田,岩手県北自動車（株）,軽米線
上尾田,軽米町,上野場線
農構センター,軽米町,軽米新町・鶴飼線
猫屋敷,軽米町,軽米新町・鶴飼線
下野場,軽米町,上野場線
笹渡公民館前,岩手県北自動車（株）,大野線
旧笹渡小中学校,軽米町,軽米新町・鶴飼線
向高家,軽米町,上野場線
西里,岩手県北自動車（株）,軽米線
軽米駒木,軽米町,小松線
百鳥,軽米町,百鳥線
高家,ジェイアールバス東北（株）,岩手路線　金田一温泉〜二戸駅〜一戸病院〜葛巻
金田一児童館,二戸市,釜沢線
高柳,軽米町,軽米新町・鶴飼線
笹渡,岩手県北自動車（株）,大野線
笹渡,軽米町,軽米新町・鶴飼線
釜沢,二戸市,釜沢線
舌崎,二戸市,釜沢線
落合口,二戸市,"落合-秋葉線, 土橋線, 釜沢線"
下晴山,ジェイアールバス東北（株）,岩手路線　二戸ー軽米
駒木口,岩手県北自動車（株）,軽米線
川口,二戸市,"落合-秋葉線, 土橋線, 釜沢線"
釜沢口,二戸市,"落合-秋葉線, 土橋線"
下向,岩手県北自動車（株）,大野線
下向,軽米町,軽米新町・鶴飼線
小野,二戸市,長久保線
新大鳥,岩手県北自動車（株）,軽米線
下山井,二戸市,"落合-秋葉線, 土橋線, 長久保線, 釜沢線"
軽米インター,岩手県北自動車（株）,軽米病院・軽米インター・小軽米/陸中大野線
軽米インター,軽米町,まちなかインター線
谷地,二戸市,"落合-秋葉線, 土橋線"
細谷地,軽米町,軽米新町・鶴飼線
湯田口,二戸市,"落合-秋葉線, 土橋線, 長久保線, 釜沢線"
野々上,二戸市,長久保線
阿弥陀,二戸市,"落合-秋葉線, 土橋線"
外川目,軽米町,平口・貝喰線
八幡宮前,岩手県北自動車（株）,"軽米線, 軽米高速線"
八幡宮前,軽米町,まちなかインター線
勝負沢,二戸市,長久保線
板橋,軽米町,百鳥線
北向,二戸市,"落合-秋葉線, 土橋線"
中村医院,軽米町,"まちなかインター線, まちなか線, 新井田線, 上野場線, 小松線, 平口・貝喰線, 大野川線, 百鳥線, 朝草沢線"
軽米新町,岩手県北自動車（株）,"軽米病院・軽米インター・小軽米/陸中大野線, 軽米病院/九戸インターオドデ館, 鎌屋敷・冷水/九戸インターオドデ館, 大沢・軽米病院・ふれあい広場/軽米新町・伊保内支所, 鎌屋敷・軽米病院/軽米新町, 軽米線, 軽米高速線"
軽米新町,軽米町,"まちなかインター線, まちなか線, 軽米新町・鶴飼線, 軽米新町・民田山線, 新井田線, 上野場線, 小松線, 平口・貝喰線, 大野川線, 百鳥線, 朝草沢線"
軽米新町,ジェイアールバス東北（株）,岩手路線　二戸ー軽米
猪鼻,岩手県北自動車（株）,大野線
晴山出張所,軽米町,観音林・丸木橋線
向明戸,岩手県北自動車（株）,大野線
軽米大町,岩手県北自動車（株）,"軽米病院・軽米インター・小軽米/陸中大野線, 軽米病院/九戸インターオドデ館, 鎌屋敷・冷水/九戸インターオドデ館, 大沢・軽米病院・ふれあい広場/軽米新町・伊保内支所, 鎌屋敷・軽米病院/軽米新町, 軽米線, 軽米高速線"
軽米大町,軽米町,"まちなかインター線, まちなか線, 軽米新町・鶴飼線, 軽米新町・民田山線, 新井田線, 上野場線, 小松線, 平口・貝喰線, 大野川線, 百鳥線, 朝草沢線"
役場［軽米町］,軽米町,"まちなかインター線, まちなか線, 新井田線, 上野場線, 小松線, 平口・貝喰線, 大野川線, 百鳥線, 朝草沢線"
軽米仲町,岩手県北自動車（株）,"軽米病院・軽米インター・小軽米/陸中大野線, 軽米病院/九戸インターオドデ館, 鎌屋敷・冷水/九戸インターオドデ館, 大沢・軽米病院・ふれあい広場/軽米新町・伊保内支所, 鎌屋敷・軽米病院/軽米新町, 軽米線, 軽米高速線"
軽米仲町,軽米町,"軽米新町・鶴飼線, 軽米新町・民田山線"
物産交流館,軽米町,"まちなかインター線, まちなか線, 新井田線, 上野場線, 小松線, 平口・貝喰線, 大野川線, 百鳥線, 朝草沢線"
早渡,軽米町,平口・貝喰線
観音林,軽米町,観音林・丸木橋線
