停留所名,事業者名,バス系統
鹿折金山前,気仙沼市,鹿折金山線
鹿折金山前,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
上八瀬,気仙沼市,新月線
市の沢,気仙沼市,鹿折金山線
寺の下,気仙沼市,新月線
鹿折住宅前,気仙沼市,鹿折金山線
白山保育所前,気仙沼市,鹿折金山線
上八瀬下,気仙沼市,新月線
上鹿折駅前,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
上鹿折駅前,気仙沼市,鹿折金山線
唐桑大沢駅,気仙沼市,大沢線
唐桑大沢,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜盛）
大沢,岩手県交通（株）,長距離路線　一関大船渡線
荒谷前,気仙沼市,大沢線
塚沢,気仙沼市,新月線
日の口,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
目の口,気仙沼市,鹿折金山線
早稲谷上,気仙沼市,新月線
月立学校前,気仙沼市,新月線
新田前,気仙沼市,大沢線
両沢,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
両沢,気仙沼市,鹿折金山線
館,気仙沼市,大沢線
崖の尻,気仙沼市,新月線
早稲谷,気仙沼市,新月線
小原木,気仙沼市,大沢線
善茶屋,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
善茶屋,気仙沼市,鹿折金山線
載鈎,気仙沼市,大沢線
早稲谷下,気仙沼市,新月線
関根,気仙沼市,新月線
両沢下,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
両沢下,気仙沼市,鹿折金山線
小田,気仙沼市,大沢線
一本杉,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
一本杉,気仙沼市,鹿折金山線
地蔵尊前,気仙沼市,新月線
中央橋,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
中央橋,気仙沼市,鹿折金山線
台,気仙沼市,新月線
堂角,気仙沼市,大沢線
小沼,気仙沼市,新月線
持田屋前,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
持田屋前,気仙沼市,鹿折金山線
清水橋,気仙沼市,新月線
只越上,気仙沼市,"御崎線, 大沢線"
鹿折保育所前,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
白浜,気仙沼市,御崎線
鹿折住宅団地前,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
大橋,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
大橋,気仙沼市,鹿折金山線
宇堂,気仙沼市,"御崎線, 大沢線"
内松川,気仙沼市,新月線
下八瀬,気仙沼市,新月線
出月,気仙沼市,御崎線
鹿折小学校前,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
鹿折小学校前,気仙沼市,鹿折金山線
福祉の里,気仙沼市,御崎線
八幡大橋,気仙沼市,"御崎線, 大沢線"
八幡大橋（東陵高校）,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜盛）
東陵高校入口,気仙沼市,"御崎線, 大沢線"
水道事業所,気仙沼市,"御崎線, 鹿折金山線, 大沢線"
水道事業所前,東日本旅客鉄道（株）,大船渡線BRT（気仙沼〜上鹿折）
蕪塚,気仙沼市,御崎線
松川橋,気仙沼市,新月線
磯沢口,岩手県交通（株）,長距離路線　一関大船渡線
