停留所名,事業者名,バス系統
古湊,酒田市,古湊アイアイひらた線
高砂北,酒田市,古湊アイアイひらた線
高砂南,酒田市,古湊アイアイひらた線
光ケ丘4丁目,酒田市,古湊アイアイひらた線
泉コミセン前,酒田市,"市内循環C線, 市内循環D線"
ゆたか1丁目,庄内交通（株）,"鶴岡〜酒田, 酒田〜庄内空港, イオンモール三川〜日本海総合病院〜酒田駅前"
ゆたか1丁目,酒田市,"市内循環C線, 市内循環D線"
西高グラウンド前,酒田市,"市内循環C線, 市内循環D線"
陸上競技場前,酒田市,古湊アイアイひらた線
酒田光陵高校前,酒田市,"市内循環A線, 市内循環B線"
西高校前,酒田市,"市内循環A線, 市内循環B線"
屋内プール前,酒田市,"市内循環A線, 市内循環B線"
泉里西公園前,酒田市,"市内循環A線, 市内循環B線"
デイサービスセンターいずみ前,酒田市,"市内循環A線, 市内循環B線, 市内循環C線, 市内循環D線"
北千日町,酒田市,"市内循環A線, 市内循環B線"
東泉町2丁目,酒田市,"市内循環A線, 市内循環B線"
泉里公園前,酒田市,"市内循環A線, 市内循環B線"
下安町,酒田市,"市内循環C線, 市内循環D線"
上安町,酒田市,"市内循環C線, 市内循環D線"
北部公園前,酒田市,"市内循環A線, 市内循環B線"
上安町3丁目,酒田市,"市内循環C線, 市内循環D線"
陸上競技場脇,酒田市,古湊アイアイひらた線
泉町西,酒田市,"市内循環C線, 市内循環D線"
泉町,庄内交通（株）,"鶴岡〜酒田, 酒田〜庄内空港, イオンモール三川〜日本海総合病院〜酒田駅前"
住吉町,酒田市,古湊アイアイひらた線
上安北公園前,酒田市,"市内循環C線, 市内循環D線"
光ケ丘1丁目,酒田市,"市内循環A線, 市内循環B線, 古湊アイアイひらた線"
光ケ丘2丁目,酒田市,古湊アイアイひらた線
税務署前,酒田市,"市内循環A線, 市内循環B線, 古湊アイアイひらた線"
南千日町,酒田市,"市内循環C線, 市内循環D線"
駅東公園前,酒田市,"市内循環A線, 市内循環B線"
北新橋,酒田市,"市内循環C線, 市内循環D線"
栄町,酒田市,古湊アイアイひらた線
琢成コミセン前,酒田市,"市内循環A線, 市内循環B線, 古湊アイアイひらた線"
旭新町,酒田市,"市内循環A線, 市内循環B線, 市内循環C線, 市内循環D線"
駅東地下道前,酒田市,"市内循環A線, 市内循環B線, 市内循環C線, 市内循環D線"
北新橋郵便局前,酒田市,"市内循環C線, 市内循環D線"
南新町2丁目,酒田市,古湊アイアイひらた線
日吉町1丁目,酒田市,古湊アイアイひらた線
北新町2丁目,酒田市,古湊アイアイひらた線
文化センター正面口,庄内交通（株）,"鶴岡〜酒田, イオンモール三川〜日本海総合病院〜酒田駅前"
文化センター正面口,酒田市,"酒田駅大学線, 古湊アイアイひらた線"
新橋,酒田市,"市内循環C線, 市内循環D線"
御成町,庄内交通（株）,"鶴岡〜酒田, イオンモール三川〜日本海総合病院〜酒田駅前"
文化センター前,酒田市,"市内循環A線, 市内循環B線"
新橋1丁目,酒田市,"市内循環C線, 市内循環D線"
