停留所名,事業者名,バス系統
西金公会堂,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
黛,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
池上神社,上里町,こむぎっち号　北部ルート（ウニクス循環）
八町河原,上里町,こむぎっち号　北部ルート（ウニクス循環）
中忍保,上里町,こむぎっち号　北部ルート（ウニクス循環）
内出集落センター,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
勝場,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
中宿公園,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
忍保,上里町,こむぎっち号　北部ルート（ウニクス循環）
賀美公民館,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
金上公会堂東,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
金下,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
神保原公民館,上里町,こむぎっち号　北部ルート（ウニクス循環）
イオンタウン,上里町,"こむぎっち号　北部ルート（アグリパーク上里循環）, こむぎっち号　中央ルート"
関東フローズン,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
天神・真下,上里町,こむぎっち号　中央ルート
めぐみ保育園,上里町,こむぎっち号　北部ルート（ウニクス循環）
上里北中学校,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
宮本町,上里町,こむぎっち号　北部ルート（ウニクス循環）
原公会堂南,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
アグリホール,上里町,こむぎっち号　北部ルート（ウニクス循環）
金下東集会所,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
坂東橋南詰,十王自動車（株）,伊勢崎・本庄線
セブンイレブン神保原店,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
アグリパーク上里,上里町,"こむぎっち号　北部ルート（アグリパーク上里循環）, こむぎっち号　中央ルート, こむぎっち号　南部ルート（アグリパーク上里循環）"
カインズホーム,上里町,"こむぎっち号　北部ルート（ウニクス循環）, こむぎっち号　中央ルート"
三丁目,上里町,"こむぎっち号　北部ルート（ウニクス循環）, こむぎっち号　中央ルート"
二丁目中央,上里町,"こむぎっち号　北部ルート（アグリパーク上里循環）, こむぎっち号　中央ルート"
田通公園,上里町,こむぎっち号　北部ルート（ウニクス循環）
沼和田,十王自動車（株）,伊勢崎・本庄線
掘込,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
四丁目,上里町,こむぎっち号　北部ルート（ウニクス循環）
神保原陸橋北,上里町,こむぎっち号　北部ルート（ウニクス循環）
神保原駅北口,上里町,"こむぎっち号　北部ルート（アグリパーク上里循環）, こむぎっち号　北部ルート（ウニクス循環）, こむぎっち号　中央ルート"
西原町,上里町,こむぎっち号　中央ルート
神保原駅南広場,上里町,"こむぎっち号　中央ルート, こむぎっち号　南部ルート（アグリパーク上里循環）, こむぎっち号　南部ルート（ウニクス循環）"
天神社東,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
掘込西,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
五丁目交流センター,上里町,こむぎっち号　北部ルート（ウニクス循環）
上里町役場,上里町,"こむぎっち号　中央ルート, こむぎっち号　南部ルート（アグリパーク上里循環）, こむぎっち号　南部ルート（ウニクス循環）"
帯刀集会所,上里町,こむぎっち号　北部ルート（アグリパーク上里循環）
飯玉,十王自動車（株）,伊勢崎・本庄線
ワープ上里・図書館前,上里町,こむぎっち号　中央ルート
群馬銀行,上里町,"こむぎっち号　中央ルート, こむぎっち号　南部ルート（ウニクス循環）"
四ツ谷公民館,上里町,こむぎっち号　南部ルート（ウニクス循環）
若泉三丁目,十王自動車（株）,伊勢崎・本庄線
とりせん北,上里町,"こむぎっち号　北部ルート（ウニクス循環）, こむぎっち号　中央ルート"
東五明,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
農協前,上里町,"こむぎっち号　中央ルート, こむぎっち号　南部ルート（アグリパーク上里循環）"
中五明公民館南,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
若泉一丁目,十王自動車（株）,伊勢崎・本庄線
保健センター,上里町,"こむぎっち号　中央ルート, こむぎっち号　南部ルート（アグリパーク上里循環）"
三軒会館,上里町,こむぎっち号　北部ルート（ウニクス循環）
ローソン七本木店,上里町,こむぎっち号　中央ルート
下郷,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
菅原神社,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
上里中学校,上里町,こむぎっち号　南部ルート（ウニクス循環）
堀之内,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
南五明公会堂,上里町,こむぎっち号　南部ルート（アグリパーク上里循環）
宮本町車庫,朝日自動車（株）,"【HJ11】宮本町車庫〜本庄駅南口, 【HJ22】宮本町車庫〜本庄駅南口〜児玉折返し場, 【HJ24】宮本町車庫〜本庄駅南口〜赤城乳業千本さくら工場"
上里東公民館,上里町,"こむぎっち号　北部ルート（ウニクス循環）, こむぎっち号　南部ルート（ウニクス循環）"
三田西,上里町,こむぎっち号　中央ルート
本庄市役所,十王自動車（株）,伊勢崎・本庄線
上武大橋南,伊勢崎市,境島村シャトルバス
