停留所名,事業者名,バス系統
関宿城博物館,朝日自動車（株）,"【KW05】川間駅〜東宝珠花〜関タ〜関宿城博物館〜境町, 関宿城ルート"
新町,朝日自動車（株）,"【KW04】川間駅〜東宝珠花〜関タ〜境町〜境車庫, 【KW05】川間駅〜東宝珠花〜関タ〜関宿城博物館〜境町, 【TD01】東武動物公園駅〜吉田橋〜境車庫, 関宿城ルート"
納谷,朝日自動車（株）,"【KW04】川間駅〜東宝珠花〜関タ〜境町〜境車庫, 【KW05】川間駅〜東宝珠花〜関タ〜関宿城博物館〜境町, 【TD01】東武動物公園駅〜吉田橋〜境車庫, 関宿城ルート"
関宿台町,朝日自動車（株）,"【KW04】川間駅〜東宝珠花〜関タ〜境町〜境車庫, 【KW05】川間駅〜東宝珠花〜関タ〜関宿城博物館〜境町, 【TD01】東武動物公園駅〜吉田橋〜境車庫, 関宿城ルート"
江戸町,朝日自動車（株）,【TD01】東武動物公園駅〜吉田橋〜境車庫
中学校入口,朝日自動車（株）,"【KW04】川間駅〜東宝珠花〜関タ〜境町〜境車庫, 【KW05】川間駅〜東宝珠花〜関タ〜関宿城博物館〜境町, 【TD01】東武動物公園駅〜吉田橋〜境車庫"
関宿中入口,朝日自動車（株）,関宿城ルート
関宿郵便局前,朝日自動車（株）,関宿城ルート
局前,朝日自動車（株）,"【KW04】川間駅〜東宝珠花〜関タ〜境町〜境車庫, 【KW05】川間駅〜東宝珠花〜関タ〜関宿城博物館〜境町"
関宿橋東詰,朝日自動車（株）,【TD01】東武動物公園駅〜吉田橋〜境車庫
西町,朝日自動車（株）,"【KW04】川間駅〜東宝珠花〜関タ〜境町〜境車庫, 【KW05】川間駅〜東宝珠花〜関タ〜関宿城博物館〜境町, 関宿城ルート"
観音前,朝日自動車（株）,"【KW04】川間駅〜東宝珠花〜関タ〜境町〜境車庫, 【KW05】川間駅〜東宝珠花〜関タ〜関宿城博物館〜境町, 関宿城ルート"
はやま,朝日自動車（株）,"【KW01】川間駅〜東宝珠花〜関タ〜関は, 【KB55】春日部駅東口〜イ春〜関タ〜関は, 【KB56】春日部駅東口〜関タ〜関は"
東高野,朝日自動車（株）,"【KW01】川間駅〜東宝珠花〜関タ〜関は, 【KW04】川間駅〜東宝珠花〜関タ〜境町〜境車庫, 【KW05】川間駅〜東宝珠花〜関タ〜関宿城博物館〜境町, 【KB55】春日部駅東口〜イ春〜関タ〜関は, 【KB56】春日部駅東口〜関タ〜関は, 関宿城ルート"
関宿はやま工業団地,朝日自動車（株）,"【KW01】川間駅〜東宝珠花〜関タ〜関は, 【KB55】春日部駅東口〜イ春〜関タ〜関は, 【KB56】春日部駅東口〜関タ〜関は"
工業団地入口,朝日自動車（株）,"【KW01】川間駅〜東宝珠花〜関タ〜関は, 【KW04】川間駅〜東宝珠花〜関タ〜境町〜境車庫, 【KW05】川間駅〜東宝珠花〜関タ〜関宿城博物館〜境町, 【KB55】春日部駅東口〜イ春〜関タ〜関は, 【KB56】春日部駅東口〜関タ〜関は, 関宿城ルート"
