停留所名,事業者名,バス系統
岩石,新潟交通観光バス（株）,勝木（営）-府屋中町-雷線
遅ノ郷,新潟交通観光バス（株）,勝木（営）-府屋中町-雷線
杉平,新潟交通観光バス（株）,勝木（営）-府屋中町-雷線
府屋中町,村上市,寒川〜府屋中町線
府屋中町,新潟交通観光バス（株）,"大毎-勝木（営）-府屋中町線, 勝木（営）-府屋中町-雷線, 勝木（営）-府屋中町-中継線"
府屋上町,新潟交通観光バス（株）,"勝木（営）-府屋中町-雷線, 勝木（営）-府屋中町-中継線"
山北中学校前,新潟交通観光バス（株）,"勝木（営）-府屋中町-雷線, 勝木（営）-府屋中町-中継線"
堀ノ内,新潟交通観光バス（株）,"勝木（営）-府屋中町-雷線, 勝木（営）-府屋中町-中継線"
温出,新潟交通観光バス（株）,"勝木（営）-府屋中町-雷線, 勝木（営）-府屋中町-中継線"
山北支所前,村上市,寒川〜府屋中町線
山北支所前,新潟交通観光バス（株）,"大毎-勝木（営）-府屋中町線, 勝木（営）-府屋中町-雷線, 勝木（営）-府屋中町-中継線"
府屋駅前,村上市,寒川〜府屋中町線
府屋駅前,新潟交通観光バス（株）,"大毎-勝木（営）-府屋中町線, 勝木（営）-府屋中町-雷線, 勝木（営）-府屋中町-中継線"
小俣,新潟交通観光バス（株）,勝木（営）-府屋中町-雷線
日本国麓郵便局前,新潟交通観光バス（株）,勝木（営）-府屋中町-雷線
塔ノ下,新潟交通観光バス（株）,勝木（営）-府屋中町-中継線
大代,新潟交通観光バス（株）,勝木（営）-府屋中町-雷線
雷,新潟交通観光バス（株）,勝木（営）-府屋中町-雷線
碁石,村上市,寒川〜府屋中町線
碁石,新潟交通観光バス（株）,"大毎-勝木（営）-府屋中町線, 勝木（営）-府屋中町-雷線, 勝木（営）-府屋中町-中継線"
福祉センター前,村上市,寒川〜府屋中町線
福祉センター前,新潟交通観光バス（株）,"大毎-勝木（営）-府屋中町線, 勝木（営）-府屋中町-雷線, 勝木（営）-府屋中町-中継線"
勝木駅前,新潟交通観光バス（株）,"大毎-勝木（営）-府屋中町線, 勝木（営）-府屋中町-雷線, 勝木（営）-府屋中町-中継線"
山北徳洲会病院前,村上市,寒川〜府屋中町線
山北徳洲会病院前,新潟交通観光バス（株）,"大毎-勝木（営）-府屋中町線, 勝木（営）-府屋中町-雷線, 勝木（営）-府屋中町-中継線"
勝木三差路,新潟交通観光バス（株）,"大毎-勝木（営）-府屋中町線, 勝木（営）-府屋中町-中継線"
勝木中町,新潟交通観光バス（株）,"大毎-勝木（営）-府屋中町線, 勝木（営）-府屋中町-中継線"
さんぽく小学校,新潟交通観光バス（株）,"大毎-勝木（営）-府屋中町線, 勝木（営）-府屋中町-中継線"
荒川口,新潟交通観光バス（株）,勝木（営）-府屋中町-中継線
勝木営業所,新潟交通観光バス（株）,"大毎-勝木（営）-府屋中町線, 勝木（営）-府屋中町-中継線"
寝屋,村上市,寒川〜府屋中町線
興屋,新潟交通観光バス（株）,勝木（営）-府屋中町-中継線
半太平,新潟交通観光バス（株）,勝木（営）-府屋中町-中継線
荒川口上,新潟交通観光バス（株）,勝木（営）-府屋中町-中継線
立島,新潟交通観光バス（株）,大毎-勝木（営）-府屋中町線
上大蔵,新潟交通観光バス（株）,大毎-勝木（営）-府屋中町線
鵜泊,村上市,寒川〜府屋中町線
朴平,新潟交通観光バス（株）,勝木（営）-府屋中町-中継線
中継,新潟交通観光バス（株）,勝木（営）-府屋中町-中継線
長坂,新潟交通観光バス（株）,大毎-勝木（営）-府屋中町線
板屋沢,新潟交通観光バス（株）,大毎-勝木（営）-府屋中町線
下大鳥入口,新潟交通観光バス（株）,大毎-勝木（営）-府屋中町線
赤谷前,新潟交通観光バス（株）,大毎-勝木（営）-府屋中町線
下大鳥,新潟交通観光バス（株）,大毎-勝木（営）-府屋中町線
田中前,新潟交通観光バス（株）,大毎-勝木（営）-府屋中町線
上大鳥,新潟交通観光バス（株）,大毎-勝木（営）-府屋中町線
芦谷,村上市,寒川〜府屋中町線
中津原,新潟交通観光バス（株）,大毎-勝木（営）-府屋中町線
寒川,村上市,寒川〜府屋中町線
