停留所名,事業者名,バス系統
曽々木口,北鉄奥能登バス（株）,町野線
下時国,北鉄奥能登バス（株）,町野線
大川,北鉄奥能登バス（株）,町野線
河原,北鉄奥能登バス（株）,町野線
上時国,北鉄奥能登バス（株）,町野線
飯田高校下,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B, 宇出津珠洲-C, 穴水珠洲-C"
正院西口,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
正院,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
前浜（珠洲市）,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
飯田栄町北,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
熊谷,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
珠洲市総合病院前,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
珠洲川尻,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
敷戸,北鉄奥能登バス（株）,町野線
大倉市営住宅,輪島市,東大野・寺山コース
弁天公園前,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
野々江,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
りふれっしゅ村,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
本蛸島（珠洲市）,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
勝楽寺前,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
島田,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
すずなり館前,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B, 宇出津珠洲-C"
珠洲鉢ヶ崎,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
旭町（珠洲市）,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
蛸島本町,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
飯田栄町,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B, 宇出津珠洲-C, 穴水珠洲-C"
昭和橋,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-C"
吾妻橋,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
矢代,輪島市,東大野・寺山コース
東大野,輪島市,東大野・寺山コース
珠洲市役所前,北鉄奥能登バス（株）,穴水珠洲-C
寺地,北鉄奥能登バス（株）,町野線
能登飯田,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
渋田口,北鉄奥能登バス（株）,町野線
南町（珠洲市）,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
名舟,北鉄奥能登バス（株）,町野線
下広江,北鉄奥能登バス（株）,町野線
南志見小学校下,輪島市,"西山コース, 東山・忍コース"
南志見,北鉄奥能登バス（株）,町野線
南志見,輪島市,"西山コース, 東山・忍コース"
北方,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
川西広,輪島市,東大野・寺山コース
五田橋,輪島市,東大野・寺山コース
改善センター前,輪島市,"金蔵コース, 西山コース, 東山・忍コース"
番平,輪島市,東大野・寺山コース
上鈴屋,輪島市,東大野・寺山コース
町野郵便局前,輪島市,"東大野・寺山コース, 金蔵コース"
善慶寺前,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
広江,北鉄奥能登バス（株）,町野線
明治橋,輪島市,東大野・寺山コース
申ヶ場,輪島市,東大野・寺山コース
上戸,北鉄奥能登バス（株）,"宇出津珠洲-C, 穴水珠洲-C"
中鳥毛,輪島市,東大野・寺山コース
鈴屋,輪島市,東大野・寺山コース
町野,北鉄奥能登バス（株）,町野線
町野,輪島市,"東大野・寺山コース, 金蔵コース"
上戸農協前,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
小田屋中,輪島市,東山・忍コース
白米千枚田,北鉄奥能登バス（株）,町野線
大寺山,輪島市,東大野・寺山コース
東陽中学校,輪島市,"東大野・寺山コース, 金蔵コース"
町野小・東陽中,輪島市,金蔵コース
上里,輪島市,"金蔵コース, 西山コース, 東山・忍コース"
粟蔵,北鉄奥能登バス（株）,町野線
小田屋上,輪島市,東山・忍コース
納見,北鉄奥能登バス（株）,町野線
川西田長,輪島市,金蔵コース
西院内口,輪島市,"金蔵コース, 西山コース"
竹中橋,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
桶戸,北鉄奥能登バス（株）,町野線
鷲岳,北鉄奥能登バス（株）,町野線
若桑,北鉄奥能登バス（株）,町野線
東印内,輪島市,"金蔵コース, 西山コース"
谷崎,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
金蔵寺入口,輪島市,金蔵コース
中刀地,輪島市,東山・忍コース
大谷内,北鉄奥能登バス（株）,町野線
盤若橋,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
打越,北鉄奥能登バス（株）,町野線
小西山,輪島市,"金蔵コース, 西山コース"
春日野,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
鴻地,輪島市,東山・忍コース
正願寺前,輪島市,金蔵コース
光浦,輪島市,西保コース
美谷口,輪島市,西保コース
鴨ヶ浦,北鉄奥能登バス（株）,海コース
惣領,北鉄奥能登バス（株）,町野線
輪島崎北,北鉄奥能登バス（株）,海コース
忍,輪島市,東山・忍コース
眞久,北鉄奥能登バス（株）,町野線
養覚寺前,輪島市,東山・忍コース
県道金蔵三又,輪島市,金蔵コース
鵜飼本町,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
東山,輪島市,東山・忍コース
珠洲鵜飼,北鉄奥能登バス（株）,"宇出津珠洲-C, 穴水珠洲-C"
高州山口,北鉄奥能登バス（株）,町野線
輪島崎町,北鉄奥能登バス（株）,海コース
光浦東口,輪島市,西保コース
袖ヶ浜海水浴場,北鉄奥能登バス（株）,海コース
岡塚,北鉄奥能登バス（株）,町野線
鵜飼駅前,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
南鵜飼,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
大西山,輪島市,西山コース
袖ヶ浜,輪島市,西保コース
輪島荘下,北鉄奥能登バス（株）,海コース
鵜入,輪島市,西保コース
JF輪島支所前,北鉄奥能登バス（株）,"海コース, 漆コース"
法安,北鉄奥能登バス（株）,町野線
寝豚,北鉄奥能登バス（株）,町野線
日吉山,北鉄奥能登バス（株）,海コース
へぐら航路前,北鉄奥能登バス（株）,"海コース, 漆コース"
石浦町,北鉄奥能登バス（株）,海コース
石浦町,輪島市,西保コース
見附島口,北鉄奥能登バス（株）,"宇出津珠洲-A, 宇出津珠洲-B"
鳳至下町,北鉄奥能登バス（株）,漆コース
鳳来保育所,北鉄奥能登バス（株）,漆コース
いろは橋,北鉄奥能登バス（株）,"海コース, 漆コース, 档コース"
夕陽ヶ丘住宅,北鉄奥能登バス（株）,漆コース
朝市通り［午後］,北鉄奥能登バス（株）,"海コース, 档コース"
輪島キリコ会館,北鉄奥能登バス（株）,海コース
菰沢,北鉄奥能登バス（株）,町野線
鳳至上町通り,北鉄奥能登バス（株）,档コース
小池口,輪島市,西保コース
鳳至小学校前,北鉄奥能登バス（株）,海コース
鳳至小学校前,輪島市,西保コース
大町朝市口［午前］,北鉄奥能登バス（株）,"海コース, 档コース"
末広町,北鉄奥能登バス（株）,漆コース
城兼団地,北鉄奥能登バス（株）,城兼コース
わいち懐隅,北鉄奥能登バス（株）,"海コース, 档コース"
工房長屋,北鉄奥能登バス（株）,海コース
堀町,北鉄奥能登バス（株）,漆コース
稲舟,北鉄奥能登バス（株）,町野線
塚田東,北鉄奥能登バス（株）,城兼コース
新橋まちなみ通り,北鉄奥能登バス（株）,档コース
塚田,北鉄奥能登バス（株）,"町野線, 城兼コース, 档コース"
中央通りまんなか商店街,北鉄奥能登バス（株）,"鯨コース, 漆コース"
輪島塗会館,北鉄奥能登バス（株）,輪島線
弥生町,北鉄奥能登バス（株）,"町野線, 海コース, 城兼コース, 档コース"
稲荷町西,北鉄奥能登バス（株）,海コース
馬場町,北鉄奥能登バス（株）,"輪島線, 鯨コース, 漆コース"
新橋,北鉄奥能登バス（株）,輪島線
新橋,輪島市,西保コース
新橋通り［国道］,北鉄奥能登バス（株）,鯨コース
重蔵神社前,北鉄奥能登バス（株）,町野線
馬場町郵便局前,北鉄奥能登バス（株）,"海コース, 城兼コース, 档コース"
鵜島,北鉄奥能登バス（株）,宇出津珠洲-C
測候所前,北鉄奥能登バス（株）,"輪島線, 漆コース"
新橋通り［メゾン新橋］,北鉄奥能登バス（株）,档コース
