停留所名,事業者名,バス系統
清里駅前,北杜市,北杜市民バス（北の杜バス）幹線1号車　清里〜長坂線
旧清里小学校北,北杜市,北杜市民バス（北の杜バス）幹線1号車　清里〜長坂線
大開上,北杜市,北杜市民バス（北の杜バス）幹線2号車　大泉〜長坂線
大開中,北杜市,北杜市民バス（北の杜バス）幹線2号車　大泉〜長坂線
大開下,北杜市,北杜市民バス（北の杜バス）幹線2号車　大泉〜長坂線
黒森上,北杜市,明野・須玉おでかけバス黒森江草線
黒森下,北杜市,明野・須玉おでかけバス黒森江草線
甲斐大泉駅入口,北杜市,北杜市民バス（北の杜バス）幹線2号車　大泉〜長坂線
国道141号念場,北杜市,北杜市民バス（北の杜バス）幹線1号車　清里〜長坂線
和田上,北杜市,明野・須玉おでかけバス黒森江草線
和田下,北杜市,明野・須玉おでかけバス黒森江草線
石堂上,北杜市,北杜市民バス（北の杜バス）幹線2号車　大泉〜長坂線
三軒屋,北杜市,北杜市民バス（北の杜バス）幹線1号車　清里〜長坂線
石堂中,北杜市,北杜市民バス（北の杜バス）幹線2号車　大泉〜長坂線
みずがき山荘,山梨峡北交通（株）,"韮崎瑞牆線, みずがき号（増富瑞牆線）増富温泉峡発　瑞牆山荘方面行き, みずがき号（増富瑞牆線）瑞牆山荘発　増富温泉峡方面行き"
道の駅こぶちさわ,北杜市,北杜市民バス（北の杜バス）幹線2号車　北線
スパティオ小淵沢,北杜市,北杜市民バス（北の杜バス）幹線2号車　北線
石堂下,北杜市,北杜市民バス（北の杜バス）幹線2号車　大泉〜長坂線
御門上,北杜市,明野・須玉おでかけバス黒森江草線
御門下,北杜市,明野・須玉おでかけバス黒森江草線
長沢公民館前,北杜市,北杜市民バス（北の杜バス）幹線1号車　清里〜長坂線
小淵沢インター前,北杜市,北杜市民バス（北の杜バス）幹線2号車　北線
油川,北杜市,北杜市民バス（北の杜バス）幹線2号車　大泉〜長坂線
神戸上,北杜市,明野・須玉おでかけバス黒森江草線
金山平,山梨峡北交通（株）,"韮崎瑞牆線, みずがき号（増富瑞牆線）増富温泉峡発　瑞牆山荘方面行き, みずがき号（増富瑞牆線）瑞牆山荘発　増富温泉峡方面行き"
神戸下,北杜市,明野・須玉おでかけバス黒森江草線
原長沢,北杜市,北杜市民バス（北の杜バス）幹線1号車　清里〜長坂線
東小尾,山梨交通（株）,増富温泉郷線：韮崎（営）〜韮崎駅〜駒井〜北杜市役所〜若神子〜須玉中学校〜塩川〜増富温泉郷
増富温泉郷,山梨交通（株）,増富温泉郷線：韮崎（営）〜韮崎駅〜駒井〜北杜市役所〜若神子〜須玉中学校〜塩川〜増富温泉郷
増富温泉峡,山梨峡北交通（株）,"韮崎瑞牆線, みずがき号（増富瑞牆線）増富温泉峡発　瑞牆山荘方面行き, みずがき号（増富瑞牆線）瑞牆山荘発　増富温泉峡方面行き"
増富佼成寮,山梨交通（株）,増富温泉郷線：韮崎（営）〜韮崎駅〜駒井〜北杜市役所〜若神子〜須玉中学校〜塩川〜増富温泉郷
日帰り温泉増富の湯,山梨峡北交通（株）,"韮崎瑞牆線, みずがき号（増富瑞牆線）瑞牆山荘発　増富温泉峡方面行き"
日影入口,山梨交通（株）,増富温泉郷線：韮崎（営）〜韮崎駅〜駒井〜北杜市役所〜若神子〜須玉中学校〜塩川〜増富温泉郷
久保,北杜市,北杜市民バス（北の杜バス）幹線2号車　北線
小淵沢駅,北杜市,"北杜市民バス（北の杜バス）幹線1号車　東西線, 北杜市民バス（北の杜バス）幹線2号車　北線"
