停留所名,事業者名,バス系統
平賀北,桑名市,K-バス多度ルート（北回り）
平賀南,桑名市,K-バス多度ルート（北回り）
古敷,桑名市,K-バス多度ルート（北回り）
阿下喜北町,三重交通（株）,21桑名阿下喜線
阿下喜東町,三重交通（株）,21桑名阿下喜線
阿下喜本町,三重交通（株）,21桑名阿下喜線
西福永北,桑名市,K-バス多度ルート（北回り）
東福永,桑名市,K-バス多度ルート（北回り）
いなべ総合病院,三重交通（株）,21桑名阿下喜線
阿下喜,三重交通（株）,21桑名阿下喜線
西福永南,桑名市,K-バス多度ルート（北回り）
柚井北,桑名市,K-バス多度ルート（南回り）
油島大橋西詰,桑名市,K-バス多度ルート（北回り）
六石,三重交通（株）,21桑名阿下喜線
大桑クリニック,桑名市,"K-バス多度ルート（美鹿ルート）, K-バス多度ルート（南回り）, K-バス多度ルート（北回り）"
美鹿,桑名市,K-バス多度ルート（美鹿ルート）
柚井宇賀神社前,桑名市,K-バス多度ルート（南回り）
上之郷七取排水機前,桑名市,K-バス多度ルート（北回り）
前山,桑名市,K-バス多度ルート（美鹿ルート）
滝ヶ橋,桑名市,K-バス多度ルート（美鹿ルート）
香取北,桑名市,K-バス多度ルート（北回り）
新麻生田,三重交通（株）,21桑名阿下喜線
戸津近鉄住宅前,桑名市,"K-バス多度ルート（美鹿ルート）, K-バス多度ルート（南回り）, K-バス多度ルート（北回り）"
多度橋,桑名市,K-バス多度ルート（美鹿ルート）
多度郵便局前,桑名市,K-バス多度ルート（美鹿ルート）
古野西,桑名市,K-バス多度ルート（美鹿ルート）
宮川,桑名市,K-バス多度ルート（美鹿ルート）
上之郷,桑名市,K-バス多度ルート（北回り）
金谷,桑名市,K-バス多度ルート（美鹿ルート）
多度駅前,桑名市,"K-バス多度ルート（美鹿ルート）, K-バス多度ルート（南回り）, K-バス多度ルート（北回り）"
古野集会所,桑名市,K-バス多度ルート（美鹿ルート）
多度大社前,桑名市,K-バス多度ルート（美鹿ルート）
香取南,桑名市,"K-バス多度ルート（南回り）, K-バス多度ルート（北回り）"
