停留所名,事業者名,バス系統
経ヶ岬,丹後海陸交通（株）,"9　蒲入線, 44・46　海岸線, 47　丹後峰山線"
トンネル東口,丹後海陸交通（株）,9　蒲入線
カマヤ,丹後海陸交通（株）,9　蒲入線
穴文殊,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
カマヤ海岸,丹後海陸交通（株）,9　蒲入線
袖志,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
尾和,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
中浜海ノ家前,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
中浜,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
久僧,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
顎越,丹後海陸交通（株）,9　蒲入線
高田橋,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
宇川温泉よし野の里,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
蒲入,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
宇川小学校,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
上野,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
蒲入口,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
此代,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
平,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
長延,丹後海陸交通（株）,8　蒲入線
筆石,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
屏風岩,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
竹野,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
間人診療所前,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
丹後庁舎前,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
長延口,丹後海陸交通（株）,8　蒲入線
後,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
てんきてんき村,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線"
間人,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
丹後地域公民館前,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
間人岡成,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
間人向地,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
間人古間西,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
間人分校,丹後海陸交通（株）,"51・55　間人循環線, 52・56　間人循環線"
長浜,丹後海陸交通（株）,"44・46　海岸線, 47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
浦嶋神社前,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
丹後中学校,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
本庄小学校,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
平井,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
今田,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
大山工業団地前,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
JA伊根支店前,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
砂方,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線"
本庄上,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
大下,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
三宅,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
清水,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
三津,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線"
峠,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
成願寺,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
三津上,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線"
遊,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線"
六万部,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
長寿苑,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
岩鼻,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
遊口,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線"
琴引浜,丹後海陸交通（株）,"44・46　海岸線, 51・55　間人循環線, 52・56　間人循環線"
井室,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
小田,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
丹後ふるさと病院前,丹後海陸交通（株）,"44・46　海岸線, 52・56　間人循環線"
中津,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
中山,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
小浜,丹後海陸交通（株）,"44・46　海岸線, 52・56　間人循環線"
日吉橋,丹後海陸交通（株）,弥栄網野砂丘線
八丁浜シーサイドパーク,丹後海陸交通（株）,弥栄網野砂丘線
網野北小学校前,丹後海陸交通（株）,弥栄網野砂丘線
八幡橋,丹後海陸交通（株）,弥栄網野砂丘線
八丁浜,丹後海陸交通（株）,弥栄網野砂丘線
浅茂川,丹後海陸交通（株）,弥栄網野砂丘線
国久口,丹後海陸交通（株）,"47　丹後峰山線, 51・55　間人循環線, 52・56　間人循環線"
丹後緑風高校網野学舎前,丹後海陸交通（株）,"44・46　海岸線, 52・56　間人循環線, 弥栄網野砂丘線"
浅茂川区民会館前,丹後海陸交通（株）,弥栄網野砂丘線
網野中学校前,丹後海陸交通（株）,"44・46　海岸線, 52・56　間人循環線, 弥栄網野砂丘線"
大原口,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
大原,丹後海陸交通（株）,"7　蒲入線, 8　蒲入線, 9　蒲入線"
野間基幹集落センター前,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
野中［弥栄町］,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
水之江,丹後海陸交通（株）,弥栄網野砂丘線
島津大谷,丹後海陸交通（株）,弥栄網野砂丘線
溝川,丹後海陸交通（株）,"51・55　間人循環線, 弥栄網野砂丘線"
福祉センター前,丹後海陸交通（株）,"51・55　間人循環線, 弥栄網野砂丘線"
島津口,丹後海陸交通（株）,"51・55　間人循環線, 弥栄網野砂丘線"
島津,丹後海陸交通（株）,"51・55　間人循環線, 弥栄網野砂丘線"
アミティ・網野庁舎前,丹後海陸交通（株）,弥栄網野砂丘線
井辺,京丹後市,弥栄延利線：溝谷〜須川〜溝谷
桃山,丹後海陸交通（株）,"51・55　間人循環線, 弥栄網野砂丘線"
