停留所名,事業者名,バス系統
田久日,豊岡市,イナカ-竹野海岸線
田久日中,豊岡市,イナカ-竹野海岸線
竹野,豊岡市,イナカ-竹野海岸線
竹野,全但バス（株）,竹野線
宇日,豊岡市,イナカ-竹野海岸線
相谷港,豊岡市,イナカ-竹野海岸線
竹野浜,豊岡市,イナカ-竹野海岸線
竹野浜,全但バス（株）,竹野線
相谷,豊岡市,イナカ-竹野海岸線
相谷,香美町,佐津柴山線
切浜,豊岡市,イナカ-竹野海岸線
竹野上町,豊岡市,イナカ-竹野海岸線
竹野子ども体験村前,豊岡市,イナカ-竹野海岸線
竹野郵便局前,全但バス（株）,竹野線
弁天浜（河川敷駐車場前）,豊岡市,イナカ-竹野海岸線
竹野小学校,豊岡市,イナカ-竹野海岸線
町民会館前,全但バス（株）,竹野線
竹野学校前,全但バス（株）,竹野線
浜須井,豊岡市,イナカ-竹野海岸線
三尾,新温泉町,赤崎循環線
沖浦,香美町,佐津柴山線
今子,香美町,佐津柴山線
臨海センター,香美町,佐津柴山線
日和山,全但バス（株）,"日和山線・八鹿豊岡線, 城崎出石直通便"
竹野新橋,豊岡市,イナカ-竹野海岸線
竹野新橋,全但バス（株）,竹野線
小三尾,新温泉町,赤崎循環線
ミニフレッシュ竹野店前,豊岡市,イナカ-竹野海岸線
訓谷区,香美町,佐津柴山線
佐津駅,香美町,佐津柴山線
上計市場,香美町,佐津柴山線
佐津診療所,香美町,佐津柴山線
浜安木,香美町,佐津柴山線
瀬戸,全但バス（株）,"日和山線・八鹿豊岡線, 城崎出石直通便"
三尾口,新温泉町,赤崎循環線
上計,香美町,佐津柴山線
市役所竹野庁舎,豊岡市,イナカ-竹野海岸線
竹野総合支所,全但バス（株）,竹野線
竹野駅,豊岡市,イナカ-竹野海岸線
竹野駅,全但バス（株）,竹野線
白石弁天浜,香美町,佐津柴山線
奥須井,豊岡市,イナカ-竹野海岸線
津居山,全但バス（株）,"日和山線・八鹿豊岡線, 城崎出石直通便"
浦上,香美町,佐津柴山線
海の文化館,香美町,"香住市街地線, 佐津柴山線"
香住港,香美町,"香住市街地線, 佐津柴山線"
岡見公園下,香美町,"香住市街地線, 佐津柴山線, 長井線"
保安署前,香美町,"香住市街地線, 佐津柴山線"
境［香住区］,香美町,"香住市街地線, 佐津柴山線"
境西,香美町,佐津柴山線
一日市,香美町,"香住市街地線, 佐津柴山線, 長井線"
小島岸壁,全但バス（株）,"日和山線・八鹿豊岡線, 城崎出石直通便"
和田下,全但バス（株）,竹野線
三田浜口,香美町,香住市街地線
若松,香美町,"香住市街地線, 佐津柴山線, 長井線"
香住病院,香美町,"香住市街地線, 佐津柴山線, 長井線"
奥安木,香美町,佐津柴山線
和田,全但バス（株）,竹野線
下浜,香美町,香住市街地線
小島,豊岡市,イナカ-気比三原線
小島,全但バス（株）,"日和山線・八鹿豊岡線, 城崎出石直通便"
山手団地,香美町,香住市街地線
香住高校裏,香美町,香住市街地線
港中学校,豊岡市,イナカ-気比三原線
絹巻神社,豊岡市,イナカ-気比三原線
西港口,香美町,"香住市街地線, 佐津柴山線, 長井線"
赤崎,新温泉町,赤崎循環線
香住高校,香美町,香住市街地線
赤崎地区公民館,新温泉町,赤崎循環線
JA港支店,豊岡市,イナカ-気比三原線
福祉の里前,全但バス（株）,竹野線
中央公民館口,香美町,"香住市街地線, 佐津柴山線, 長井線"
天神浜,豊岡市,イナカ-気比三原線
