停留所名,事業者名,バス系統
紀見ヶ丘,南海りんかんバス（株）,21　紀見線
光陽台東,橋本市,北部線
紀見ヶ丘中,南海りんかんバス（株）,21　紀見線
紀見ヶ丘南,南海りんかんバス（株）,21　紀見線
上山内,南海りんかんバス（株）,53　山内線
慶賀野,橋本市,北部線
慶賀野,南海りんかんバス（株）,21　紀見線
桃の木坂,南海りんかんバス（株）,53　山内線
城野,南海りんかんバス（株）,21　紀見線
城野,橋本市,北部線
アルバック前,南海りんかんバス（株）,34　林間田園都市線
小峰台二丁目東,南海りんかんバス（株）,"34　林間田園都市線, 36　林間田園都市線, 林間田園都市線"
紀ノ光台三丁目北,南海りんかんバス（株）,"36　林間田園都市線, 林間田園都市線"
林間田園都市駅前,南海りんかんバス（株）,"11　林間田園都市線, 12　林間田園都市線, 31　林間田園都市線, 32　林間田園都市線, 33　林間田園都市線, 34　林間田園都市線, 36　林間田園都市線, 林間田園都市線, 14　紀見線, 21　紀見線"
林間田園都市駅前,橋本市,北部線
中山内,南海りんかんバス（株）,53　山内線
小峰台二丁目中,南海りんかんバス（株）,"34　林間田園都市線, 36　林間田園都市線, 林間田園都市線"
紀ノ光台三丁目中,南海りんかんバス（株）,"36　林間田園都市線, 林間田園都市線"
橋本市民病院前,南海りんかんバス（株）,"31　林間田園都市線, 33　林間田園都市線, 34　林間田園都市線, 36　林間田園都市線, 林間田園都市線, 52　橋本病院線, 55　紀見橋本病院線"
三石台,南海りんかんバス（株）,"11　林間田園都市線, 12　林間田園都市線, 31　林間田園都市線, 32　林間田園都市線, 33　林間田園都市線, 34　林間田園都市線, 36　林間田園都市線, 林間田園都市線"
初芝橋本高校前,南海りんかんバス（株）,"31　林間田園都市線, 32　林間田園都市線, 33　林間田園都市線, 34　林間田園都市線, 36　林間田園都市線, 林間田園都市線, 52　橋本病院線, 55　紀見橋本病院線"
橋谷,橋本市,北部線
城山台北,南海りんかんバス（株）,"11　林間田園都市線, 12　林間田園都市線, 31　林間田園都市線, 32　林間田園都市線, 33　林間田園都市線, 34　林間田園都市線, 36　林間田園都市線, 林間田園都市線, 55　紀見橋本病院線"
農場前,南海りんかんバス（株）,53　山内線
小峰台中,南海りんかんバス（株）,"11　林間田園都市線, 12　林間田園都市線, 31　林間田園都市線, 32　林間田園都市線, 33　林間田園都市線, 34　林間田園都市線, 36　林間田園都市線, 林間田園都市線, 55　紀見橋本病院線"
小峰台西,南海りんかんバス（株）,"11　林間田園都市線, 12　林間田園都市線, 31　林間田園都市線, 32　林間田園都市線, 33　林間田園都市線, 34　林間田園都市線, 36　林間田園都市線, 林間田園都市線, 55　紀見橋本病院線"
山内,南海りんかんバス（株）,53　山内線
城山台センター,南海りんかんバス（株）,"11　林間田園都市線, 12　林間田園都市線, 31　林間田園都市線, 32　林間田園都市線, 33　林間田園都市線, 34　林間田園都市線, 36　林間田園都市線, 林間田園都市線, 55　紀見橋本病院線"
平野,南海りんかんバス（株）,53　山内線
