停留所名,事業者名,バス系統
沖泊,松江市,島根コミュニティバス
多古,松江市,島根コミュニティバス
瀬崎,松江市,島根コミュニティバス
小波,松江市,島根コミュニティバス
花水樹,松江市,島根コミュニティバス
雨谷入口,松江市,島根コミュニティバス
野井,松江市,島根コミュニティバス
野波海浜公園,松江市,島根コミュニティバス
JF野井出張所前,松江市,島根コミュニティバス
代官家橋,松江市,島根コミュニティバス
野波,松江市,島根コミュニティバス
釜屋橋,松江市,島根コミュニティバス
笠浦漁業会前,松江市,美保関コミュニティバス　笠浦線
笠浦入口,松江市,美保関コミュニティバス　笠浦線
笠浦,松江市,美保関コミュニティバス　笠浦線
諸喰,松江市,美保関コミュニティバス　法田・諸喰・雲津線
雲津,松江市,美保関コミュニティバス　法田・諸喰・雲津線
メテオプラザ,松江市,美保関コミュニティバス　七類線
七類港,日ノ丸自動車（株）,隠岐連絡　米子駅〜境港駅/七類港行
七類港,一畑バス（株）,隠岐汽船接続バス　松江七類線
法田,松江市,美保関コミュニティバス　法田・諸喰・雲津線
佐波,松江市,島根コミュニティバス
七類港入口,松江市,美保関コミュニティバス　七類線
七類,松江市,美保関コミュニティバス　七類線
軽尾,松江市,美保関コミュニティバス　軽尾・才浦線
農協前,松江市,美保関コミュニティバス　七類線
惣津,松江市,美保関コミュニティバス　七類線
才浦,松江市,美保関コミュニティバス　軽尾・才浦線
笹子,松江市,美保関コミュニティバス　七類線
美保関灯台,日ノ丸自動車（株）,ゑびすライナー　美保関灯台〜米子鬼太郎空港行
千酌西入口,松江市,美保関コミュニティバス　笠浦線
マリンプラザ前,松江市,島根コミュニティバス
マリンプラザ前,一畑バス（株）,【松江管内】マリンプラザ線
JF加賀出張所前,松江市,島根コミュニティバス
JF加賀出張所前,一畑バス（株）,【松江管内】マリンプラザ線
島根中学校前,松江市,島根コミュニティバス
JA島根前,松江市,島根コミュニティバス
松江市島根支所前,松江市,島根コミュニティバス
島根小学校前,松江市,島根コミュニティバス
新津集会所前,松江市,島根コミュニティバス
片江東,松江市,美保関コミュニティバス　七類線
加賀別所入口,松江市,島根コミュニティバス
新千酌橋,松江市,美保関コミュニティバス　笠浦線
美保関,松江市,美保関コミュニティバス　美保関線
美保神社前,日ノ丸自動車（株）,ゑびすライナー　美保関灯台〜米子鬼太郎空港行
稲積センター,松江市,美保関コミュニティバス　笠浦線
片江伊塚谷,松江市,美保関コミュニティバス　七類線
片江入口,松江市,美保関コミュニティバス　七類線
西の浜,松江市,島根コミュニティバス
西の浜,一畑バス（株）,【松江管内】マリンプラザ線
片江中央,松江市,美保関コミュニティバス　七類線
千酌東入口,松江市,美保関コミュニティバス　笠浦線
美保神社入口,松江市,美保関コミュニティバス　美保関線
片江西,松江市,美保関コミュニティバス　七類線
五本松公園入口,松江市,美保関コミュニティバス　美保関線
香梅の里,松江市,美保関コミュニティバス　七類線
北浦,松江市,美保関コミュニティバス　笠浦線
海崎,松江市,"美保関コミュニティバス　美保関線, 美保関コミュニティバス　軽尾・才浦線"
もく井,松江市,"美保関コミュニティバス　美保関線, 美保関コミュニティバス　軽尾・才浦線"
菅浦,松江市,美保関コミュニティバス　七類線
四谷,松江市,"美保関コミュニティバス　美保関線, 美保関コミュニティバス　軽尾・才浦線"
長浜,松江市,"美保関コミュニティバス　美保関線, 美保関コミュニティバス　軽尾・才浦線"
風ヶ浦,松江市,"美保関コミュニティバス　美保関線, 美保関コミュニティバス　軽尾・才浦線"
稲積,松江市,美保関コミュニティバス　笠浦線
男鹿,松江市,"美保関コミュニティバス　美保関線, 美保関コミュニティバス　軽尾・才浦線"
加賀別所下,松江市,島根コミュニティバス
楡木,松江市,島根コミュニティバス
北垣,松江市,島根コミュニティバス
北垣,一畑バス（株）,【松江管内】マリンプラザ線
マリンゲートしまね前,松江市,島根コミュニティバス
JF大芦出張所前,松江市,島根コミュニティバス
加賀別所集会所前,松江市,島根コミュニティバス
マリン保育所,松江市,島根コミュニティバス
宮の谷,松江市,"美保関コミュニティバス　美保関線, 美保関コミュニティバス　軽尾・才浦線"
小具,松江市,島根コミュニティバス
福浦東,松江市,"美保関コミュニティバス　美保関線, 美保関コミュニティバス　法田・諸喰・雲津線, 美保関コミュニティバス　軽尾・才浦線"
大芦浜,松江市,島根コミュニティバス
大碕神社,松江市,島根コミュニティバス
加賀別所,松江市,島根コミュニティバス
福浦,松江市,"美保関コミュニティバス　美保関線, 美保関コミュニティバス　法田・諸喰・雲津線, 美保関コミュニティバス　軽尾・才浦線"
宇井渡船場,松江市,"美保関コミュニティバス　美保関線, 美保関コミュニティバス　七類線, 美保関コミュニティバス　境港線, 美保関コミュニティバス　法田・諸喰・雲津線, 美保関コミュニティバス　軽尾・才浦線"
