停留所名,事業者名,バス系統
北泊,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線, 116　北泊線, 117　北泊線"
北泊渡,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線, 116　北泊線, 117　北泊線"
鳴門公園口,淡路交通（株）,淡路・徳島線
鳴門公園,徳島バス（株）,"100　鳴門藍住線, 133　鳴門大麻線, 17　鳴門線, 97　鳴門公園線, 98　鳴門公園線"
北泊南口,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線, 116　北泊線, 117　北泊線"
亀浦口,徳島バス（株）,"100　鳴門藍住線, 133　鳴門大麻線, 17　鳴門線, 97　鳴門公園線, 98　鳴門公園線"
炭ヶ谷,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線, 116　北泊線, 117　北泊線"
スカイライン口,徳島バス（株）,"100　鳴門藍住線, 133　鳴門大麻線, 17　鳴門線, 97　鳴門公園線"
大塚国際美術館前,徳島バス（株）,"100　鳴門藍住線, 133　鳴門大麻線, 17　鳴門線, 97　鳴門公園線, 98　鳴門公園線"
一本松,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線, 116　北泊線, 117　北泊線"
鳴門観光港,徳島バス（株）,"100　鳴門藍住線, 133　鳴門大麻線, 17　鳴門線, 97　鳴門公園線"
田ノ浦,徳島バス（株）,"100　鳴門藍住線, 133　鳴門大麻線, 17　鳴門線, 97　鳴門公園線"
千鳥ヶ浜,徳島バス（株）,"100　鳴門藍住線, 133　鳴門大麻線, 17　鳴門線, 97　鳴門公園線, 98　鳴門公園線"
小路の浦,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線, 116　北泊線, 117　北泊線"
網干島,徳島バス（株）,"100　鳴門藍住線, 133　鳴門大麻線, 17　鳴門線, 97　鳴門公園線, 98　鳴門公園線"
鳥ヶ丸,徳島バス（株）,"121　引田線, 122　引田線"
宿毛谷,徳島バス（株）,"121　引田線, 122　引田線"
北灘公民館前,徳島バス（株）,"121　引田線, 122　引田線"
瀬戸小学校前,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線, 116　北泊線, 117　北泊線"
大浦,徳島バス（株）,"121　引田線, 122　引田線"
北灘東小学校前,徳島バス（株）,"121　引田線, 122　引田線"
島田渡,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線, 116　北泊線, 117　北泊線"
粟田葛城口,徳島バス（株）,"121　引田線, 122　引田線"
大岸,徳島バス（株）,"121　引田線, 122　引田線"
櫛木浜,徳島バス（株）,"121　引田線, 122　引田線"
小鳴門公園,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線, 116　北泊線, 117　北泊線"
大毛海岸通り,徳島バス（株）,"100　鳴門藍住線, 133　鳴門大麻線, 17　鳴門線, 97　鳴門公園線, 98　鳴門公園線"
小海口,徳島バス（株）,"121　引田線, 122　引田線"
折野東,徳島バス（株）,"121　引田線, 122　引田線"
アオアヲナルトリゾート前,徳島バス（株）,"100　鳴門藍住線, 133　鳴門大麻線, 17　鳴門線, 97　鳴門公園線, 98　鳴門公園線"
堂浦,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線, 116　北泊線, 117　北泊線"
折野,徳島バス（株）,"121　引田線, 122　引田線"
堂浦南口,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線, 116　北泊線, 117　北泊線"
八木の鼻,徳島バス（株）,"100　鳴門藍住線, 133　鳴門大麻線, 17　鳴門線, 97　鳴門公園線, 98　鳴門公園線"
瀬戸中学校前,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線, 116　北泊線, 117　北泊線"
北灘西小学校前,徳島バス（株）,"121　引田線, 122　引田線"
櫛木,徳島バス（株）,"121　引田線, 122　引田線"
明神北,徳島バス（株）,"111　北泊線, 112　北泊線, 113　北泊線, 114　北泊線, 115　北泊線"
上本城,徳島バス（株）,"116　北泊線, 117　北泊線"
折野西,徳島バス（株）,"121　引田線, 122　引田線"
