停留所名,事業者名,バス系統
北浦六地蔵,観音寺市,のりあいバス　伊吹線
荒神社,観音寺市,のりあいバス　伊吹線
伊吹八幡神社（公民館下）,観音寺市,のりあいバス　伊吹線
旧伊吹小学校,観音寺市,のりあいバス　伊吹線
伊吹真浦港,観音寺市,のりあいバス　伊吹線
櫃石,琴参バス（株）,瀬戸大橋線
櫃石島,琴参バス（株）,瀬戸大橋線
櫃石小学校前,琴参バス（株）,瀬戸大橋線
岩黒漁港,琴参バス（株）,瀬戸大橋線
岩黒島,琴参バス（株）,瀬戸大橋線
庵治温泉,ことでんバス（株）,庵治線
庵治漁協前,ことでんバス（株）,庵治線
庵治農協前,ことでんバス（株）,庵治線
駐在所前,琴参バス（株）,瀬戸大橋線
庵治保健センター前,ことでんバス（株）,庵治線
塩浜,琴参バス（株）,瀬戸大橋線
穴部,琴参バス（株）,瀬戸大橋線
大津,琴参バス（株）,瀬戸大橋線
与島PA,琴参バス（株）,瀬戸大橋線
庵治学校前,ことでんバス（株）,庵治線
造船所前,琴参バス（株）,瀬戸大橋線
与島小学校前,琴参バス（株）,瀬戸大橋線
浦城,琴参バス（株）,瀬戸大橋線
庵治支所,ことでんバス（株）,庵治線
新開,ことでんバス（株）,庵治線
西脇,琴参バス（株）,王越線
舟かくし,ことでんバス（株）,庵治線
馬返,琴参バス（株）,王越線
丸山峠,ことでんバス（株）,庵治線
木沢,琴参バス（株）,王越線
御神灯,琴参バス（株）,王越線
塩家,ことでんバス（株）,下笠居線
亀水,ことでんバス（株）,下笠居線
弓弦羽,ことでんバス（株）,下笠居線
妙見神社,琴参バス（株）,王越線
王越,琴参バス（株）,王越線
北坂,ことでんバス（株）,下笠居線
番屋,琴参バス（株）,王越線
丸山西,ことでんバス（株）,庵治線
南条,琴参バス（株）,王越線
東分,琴参バス（株）,王越線
交流の里おうごし,琴参バス（株）,王越線
役場前,琴参バス（株）,王越線
相模坊,琴参バス（株）,王越線
小坂・総合運動公園前,ことでんバス（株）,下笠居線
新地,琴参バス（株）,王越線
久通,ことでんバス（株）,庵治線
生島富士カガク前,ことでんバス（株）,下笠居線
生島,ことでんバス（株）,下笠居線
健康ランド前,ことでんバス（株）,屋島大橋線
下笠居支所前,ことでんバス（株）,下笠居線
屋島山上,ことでんバス（株）,屋島山上シャトルバス
卸センター中通り,ことでんバス（株）,朝日町線
瀬居町竹浦,坂出市,坂出市営バス
根香口,ことでんバス（株）,下笠居線
浜北,ことでんバス（株）,屋島大橋線
卸センター,ことでんバス（株）,朝日町線
川北,琴参バス（株）,王越線
山下,ことでんバス（株）,下笠居線
屋島テニスクラブ前,ことでんバス（株）,庵治線
朝日町,ことでんバス（株）,朝日町線
瀬居町本浦,坂出市,坂出市営バス
亥の浜公園,ことでんバス（株）,屋島大橋線
イオンモール高松北口,イオンモール高松店,イオン高松線
神在口,ことでんバス（株）,下笠居線
フェリー乗り場,ことでんバス（株）,高松空港リムジンバス
北須賀,琴参バス（株）,王越線
祈り岩・与一公園前,ことでんバス（株）,庵治線
屋島西小学校前,ことでんバス（株）,屋島大橋線
JRホテルクレメント高松,ことでんバス（株）,高松空港リムジンバス
浜ノ町,ことでんバス（株）,"まちなかループバス・東廻り, まちなかループバス・西廻り"
浜ノ町,イオンモール高松店,イオン高松線
高松駅,ことでんバス（株）,"下笠居線, 香西線, 由佐線, 御厩線, 塩江線, 鹿角線, 高松空港リムジンバス, 通勤特急バス, 川島線, 西植田線, 庵治線, 大学病院線, 屋島大橋線, まちなかループバス・東廻り, 朝日町線, レインボー循環バス　東廻り, まちなかループバス・西廻り, レインボー循環バス　西廻り"
高松駅,大川自動車（株）,引田線（高松〜引田）
高松駅,イオンモール高松店,イオン高松線
高松港,ことでんバス（株）,朝日町線
瀬居中学校,坂出市,坂出市営バス
大的場,ことでんバス（株）,"まちなかループバス・東廻り, まちなかループバス・西廻り"
大的場,イオンモール高松店,イオン高松線
瀬居郵便局,坂出市,坂出市営バス
新北町,ことでんバス（株）,"まちなかループバス・東廻り, まちなかループバス・西廻り"
瀬戸大橋記念公園,坂出市,坂出市営バス
県民ホール前,ことでんバス（株）,朝日町線
北浜アリー,ことでんバス（株）,朝日町線
高松築港,イオンモール高松店,イオン高松線
高松築港,ことでんバス（株）,"下笠居線, 香西線, 由佐線, 御厩線, 塩江線, 鹿角線, 高松空港リムジンバス, 通勤特急バス, 川島線, 西植田線, 庵治線, 大学病院線, 屋島大橋線, まちなかループバス・東廻り, レインボー循環バス　東廻り, まちなかループバス・西廻り, レインボー循環バス　西廻り"
高松築港,大川自動車（株）,引田線（高松〜引田）
朝日町二丁目,ことでんバス（株）,朝日町線
香西西町,ことでんバス（株）,下笠居線
香西車庫前,ことでんバス（株）,香西線
イオンモール高松南口,イオンモール高松店,イオン高松線
洲崎寺西,ことでんバス（株）,庵治線
大的場口,ことでんバス（株）,"まちなかループバス・東廻り, まちなかループバス・西廻り"
大的場口,イオンモール高松店,イオン高松線
瀬居町西浦,坂出市,坂出市営バス
大屋冨,琴参バス（株）,王越線
東山魁夷せとうち美術館,坂出市,坂出市営バス
屋島西団地前,ことでんバス（株）,屋島大橋線
高松調剤薬局,ことでんバス（株）,"まちなかループバス・東廻り, 朝日町線, まちなかループバス・西廻り"
坂出市塩業資料館前,琴参バス（株）,王越線
フソウテクノセンター,イオンモール高松店,イオン高松線
県立中央病院,ことでんバス（株）,"下笠居線, まちなかループバス・東廻り, 朝日町線, まちなかループバス・西廻り"
寿町,ことでんバス（株）,"下笠居線, 香西線, 由佐線, 御厩線, 塩江線, 鹿角線, 川島線, 西植田線, 庵治線, 大学病院線, 屋島大橋線, まちなかループバス・東廻り, レインボー循環バス　東廻り, まちなかループバス・西廻り, レインボー循環バス　西廻り"
寿町,大川自動車（株）,引田線（高松〜引田）
寿町,イオンモール高松店,イオン高松線
香西北町,ことでんバス（株）,"下笠居線, 香西線"
汐入橋北,ことでんバス（株）,屋島大橋線
馬場病院前,イオンモール高松店,イオン高松線
瀬戸内町,ことでんバス（株）,"まちなかループバス・東廻り, まちなかループバス・西廻り"
瀬戸内町,イオンモール高松店,イオン高松線
警察学校前,イオンモール高松店,イオン高松線
中塚,ことでんバス（株）,"下笠居線, 香西線"
新北町口,ことでんバス（株）,"まちなかループバス・東廻り, まちなかループバス・西廻り"
新北町口,イオンモール高松店,イオン高松線
中央卸売市場前,ことでんバス（株）,"まちなかループバス・東廻り, まちなかループバス・西廻り"
中央卸売市場前,イオンモール高松店,イオン高松線
沙弥島万葉会館,坂出市,坂出市営バス
城東町,ことでんバス（株）,"まちなかループバス・東廻り, 朝日町線, まちなかループバス・西廻り"
県立武道館,ことでんバス（株）,朝日町線
せとうち観光専門職短大,ことでんバス（株）,屋島大橋線
三越前,ことでんバス（株）,"屋島大橋線, まちなかループバス・東廻り, レインボー循環バス　東廻り, まちなかループバス・西廻り, レインボー循環バス　西廻り"
大洲,琴参バス（株）,王越線
香西,ことでんバス（株）,"下笠居線, 香西線"
高松けいりん場,ことでんバス（株）,"下笠居線, まちなかループバス・東廻り, まちなかループバス・西廻り"
片原町駅前,ことでんバス（株）,"屋島大橋線, まちなかループバス・東廻り, まちなかループバス・西廻り"
香西中央通り,ことでんバス（株）,"下笠居線, 香西線"
笘張,さぬき市,志度・鴨庄・興津線
兵庫町,ことでんバス（株）,"下笠居線, 香西線, 由佐線, 御厩線, 塩江線, 鹿角線, 高松空港リムジンバス, 通勤特急バス, 川島線, 西植田線, 庵治線, 大学病院線, 屋島大橋線, レインボー循環バス　東廻り, レインボー循環バス　西廻り"
