停留所名,事業者名,バス系統
大泊口,中島汽船（株）,"1系統（東回り）, 2系統（西回り）, 3系統"
桑名,中島汽船（株）,"1系統（東回り）, 2系統（西回り）, 3系統"
畑里,中島汽船（株）,"1系統（東回り）, 2系統（西回り）, 3系統"
粟井,中島汽船（株）,"1系統（東回り）, 2系統（西回り）, 3系統"
饒,中島汽船（株）,"1系統（東回り）, 2系統（西回り）, 3系統"
饒支所,中島汽船（株）,"1系統（東回り）, 2系統（西回り）, 3系統"
西中港,中島汽船（株）,"1系統（東回り）, 2系統（西回り）, 3系統"
吉木,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
長崎,中島汽船（株）,"1系統（東回り）, 2系統（西回り）, 3系統"
天谷小,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
農協前,中島汽船（株）,"1系統（東回り）, 2系統（西回り）, 3系統"
長隆寺,中島汽船（株）,3系統
学校前,中島汽船（株）,3系統
中島港,中島汽船（株）,"1系統（東回り）, 2系統（西回り）, 3系統"
山狩,中島汽船（株）,3系統
中央病院,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
正賢寺,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
熊田,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
小浜,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
宇和間,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
宇和間口,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
大串口,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
中学校,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
長師,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
宮野,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
神浦,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
神浦桟橋,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
長浜,中島汽船（株）,"1系統（東回り）, 2系統（西回り）"
肥海,瀬戸内海交通（株）,宮浦港〜肥海
古江,瀬戸内海交通（株）,宮浦港〜肥海
