停留所名,事業者名,バス系統
冬の瀬,（有）嶺北観光自動車,冬の瀬線
済美小学校前,（有）嶺北観光自動車,冬の瀬線
一号橋,（有）嶺北観光自動車,冬の瀬線
草原,（有）嶺北観光自動車,冬の瀬線
瓜生野,（有）嶺北観光自動車,冬の瀬線
宮前保育所,（有）嶺北観光自動車,冬の瀬線
サガ野,（有）嶺北観光自動車,冬の瀬線
七戸分岐,（有）嶺北観光自動車,冬の瀬線
西谷橋,（有）嶺北観光自動車,冬の瀬線
小北川,（有）嶺北観光自動車,日の浦・長沢線
大平,（有）嶺北観光自動車,日の浦・長沢線
大平下,（有）嶺北観光自動車,日の浦・長沢線
友木,（有）嶺北観光自動車,日の浦・長沢線
友木上,（有）嶺北観光自動車,日の浦・長沢線
相の谷,（有）嶺北観光自動車,日の浦・長沢線
唐越,（有）嶺北観光自動車,冬の瀬線
桃ヶ谷,（有）嶺北観光自動車,大川・黒丸線
大藪,（有）嶺北観光自動車,日の浦・長沢線
上津川口,（有）嶺北観光自動車,大川・黒丸線
井の川,（有）嶺北観光自動車,日の浦・長沢線
井の谷（大川村）,（有）嶺北観光自動車,日の浦・長沢線
高藪発電所入口,（有）嶺北観光自動車,日の浦・長沢線
大川村分岐,（有）嶺北観光自動車,日の浦・長沢線
ツエ谷向,（有）嶺北観光自動車,日の浦・長沢線
小金滝橋,（有）嶺北観光自動車,日の浦・長沢線
鈴ヶ瀬,（有）嶺北観光自動車,大川・黒丸線
木屋野,（有）嶺北観光自動車,日の浦・長沢線
小三滝口,（有）嶺北観光自動車,日の浦・長沢線
保育所前,（有）嶺北観光自動車,日の浦・長沢線
木屋野下,（有）嶺北観光自動車,日の浦・長沢線
ハイノハラ,（有）嶺北観光自動車,日の浦・長沢線
農道岩ノ谷分岐,（有）嶺北観光自動車,日の浦・長沢線
柚ノ木橋,（有）嶺北観光自動車,大川・黒丸線
沢ヶ内,（有）嶺北観光自動車,冬の瀬線
高藪,（有）嶺北観光自動車,日の浦・長沢線
下川口,（有）嶺北観光自動車,大川・黒丸線
桑瀬,（有）嶺北観光自動車,日の浦・長沢線
白滝口,（有）嶺北観光自動車,日の浦・長沢線
大川局前,（有）嶺北観光自動車,"大川・黒丸線, 日の浦・長沢線"
三ツ石橋,（有）嶺北観光自動車,日の浦・長沢線
小松団地,（有）嶺北観光自動車,大川・黒丸線
大山神社前,（有）嶺北観光自動車,日の浦・長沢線
大川橋,（有）嶺北観光自動車,大川・黒丸線
