停留所名,事業者名,バス系統
宮地獄神社,国東市,種田線
種田神社前,国東市,種田線
伊美港,大分交通（株）,"高田総合＿1, 竹田津"
天神社前,国東市,種田線
下浜中,大分交通（株）,"高田総合＿1, 竹田津"
峯組,国東市,種田線
松山,国東市,種田線
伊美,大分交通（株）,"伊美小, 高田総合＿1, 岐部, 赤根, 西方寺, 竹田津"
伊美,国東市,"小高島線, 種田線, 大熊毛・小熊毛線, 櫛来線, 熊毛・長瀬線, 鬼籠・櫛海線"
国見郵便局前,大分交通（株）,"伊美小, 高田総合＿1, 岐部, 赤根, 西方寺, 竹田津"
小野田,国東市,小高島線
国見中学校前,大分交通（株）,"伊美小, 高田総合＿1, 岐部, 赤根, 西方寺, 竹田津"
慈雲寺前,国東市,種田線
道の駅くにみ,国東市,"小高島線, 種田線, 大熊毛・小熊毛線, 櫛来線, 熊毛・長瀬線, 鬼籠・櫛海線"
国見海洋センター前,大分交通（株）,"伊美小, 岐部, 竹田津"
国見総合支所,国東市,"小高島線, 種田線, 大熊毛・小熊毛線, 櫛来線, 熊毛・長瀬線, 鬼籠・櫛海線"
竹田津港,大分交通（株）,"高田総合＿1, 竹田津"
国見支所前,大分交通（株）,"伊美小, 高田総合＿1, 赤根, 西方寺, 竹田津"
権現,大分交通（株）,"伊美小, 岐部, 竹田津"
小高島,国東市,小高島線
国見福祉センター前,大分交通（株）,"伊美小, 高田総合＿1, 赤根, 西方寺, 竹田津"
国見福祉センター前,国東市,"大熊毛・小熊毛線, 櫛来線, 熊毛・長瀬線, 鬼籠・櫛海線"
長瀬,国東市,熊毛・長瀬線
竹田津漁協前,大分交通（株）,"高田総合＿1, 竹田津"
櫛来,大分交通（株）,"伊美小, 岐部, 竹田津"
櫛来,国東市,櫛来線
双国高校前,大分交通（株）,"伊美小, 高田総合＿1, 赤根, 西方寺, 竹田津"
清水2,国東市,小高島線
飛見岬,国東市,小高島線
清水1,国東市,小高島線
古江,大分交通（株）,"伊美小, 岐部, 竹田津"
啝浦大師堂,国東市,熊毛・長瀬線
光西寺前,国東市,小高島線
櫛の海,大分交通（株）,"高田総合＿1, 西方寺, 竹田津"
鬼籠,大分交通（株）,"高田総合＿1, 西方寺, 竹田津"
熊毛港,国東市,熊毛・長瀬線
竹田津大橋,大分交通（株）,"高田総合＿1, 西方寺, 竹田津"
東櫛の海,大分交通（株）,"高田総合＿1, 西方寺, 竹田津"
サンクリニック,豊後高田市,"市民乗合タクシー　小畑線, 市民乗合タクシー　羽根線, 市民乗合タクシー　夷線"
下櫛来公民館,国東市,櫛来線
宮道,国東市,櫛来線
竹田津,大分交通（株）,"高田総合＿1, 西方寺"
竹田津,国東市,小高島線
国見中町,大分交通（株）,"伊美小, 高田総合＿1, 赤根, 西方寺, 竹田津"
櫛海橋,国東市,鬼籠・櫛海線
妙光寺前,国東市,鬼籠・櫛海線
浜殿,豊後高田市,市民乗合タクシー　夷線
鬼籠下,国東市,鬼籠・櫛海線
町上,国東市,櫛来線
羽迫,豊後高田市,市民乗合タクシー　夷線
貴船入口,豊後高田市,"市民乗合タクシー　小畑線, 市民乗合タクシー　羽根線, 市民乗合タクシー　夷線"
岡丸,国東市,小高島線
国見小学校前,大分交通（株）,"伊美小, 赤根"
東浜公民館,国東市,熊毛・長瀬線
長崎鼻キャンプ場入口,大分交通（株）,高田総合＿1
香々地,大分交通（株）,高田総合＿1
香々地,豊後高田市,"市民乗合タクシー　小畑線, 市民乗合タクシー　羽根線, 市民乗合タクシー　夷線"
新波止入口,豊後高田市,市民乗合タクシー　夷線
小江公民館,国東市,熊毛・長瀬線
西浜,国東市,"大熊毛・小熊毛線, 熊毛・長瀬線"
9区公民館,豊後高田市,市民乗合タクシー　夷線
新竹田橋,大分交通（株）,高田総合＿1
金丸下,国東市,櫛来線
岐部,大分交通（株）,"伊美小, 岐部, 竹田津"
影,国東市,熊毛・長瀬線
元兼,大分交通（株）,高田総合＿1
松原,大分交通（株）,高田総合＿1
松原,豊後高田市,"市民乗合タクシー　小畑線, 市民乗合タクシー　羽根線, 市民乗合タクシー　夷線"
松津,豊後高田市,"市民乗合タクシー　小畑線, 市民乗合タクシー　羽根線"
