停留所名,事業者名,バス系統
那間,与論町,路線バス「島内北回り・南回り」
品覇,与論町,路線バス「島内北回り・南回り」
古里,与論町,路線バス「島内北回り・南回り」
茶花海岸前,与論町,路線バス「島内北回り・南回り」
南バス前,与論町,路線バス「島内北回り・南回り」
古里入口,与論町,路線バス「島内北回り・南回り」
観光ホテル前,与論町,路線バス「島内北回り・南回り」
ホームセンター前,与論町,路線バス「島内北回り・南回り」
郵便局前,与論町,路線バス「島内北回り・南回り」
役場前,与論町,路線バス「島内北回り・南回り」
与論病院,与論町,路線バス「島内北回り・南回り」
立長入口,与論町,路線バス「島内北回り・南回り」
ゆりが浜入口,与論町,路線バス「島内北回り・南回り」
与論中前,与論町,路線バス「島内北回り・南回り」
西区,与論町,路線バス「島内北回り・南回り」
与論小前,与論町,路線バス「島内北回り・南回り」
石仁,与論町,路線バス「島内北回り・南回り」
東区,与論町,路線バス「島内北回り・南回り」
沖永良部空港,和泊町・知名町,空港線・知名・国頭線
国頭,和泊町・知名町,空港線・知名・国頭線
西原,和泊町・知名町,空港線・知名・国頭線
出花,和泊町・知名町,ガジマル線
伊延,和泊町・知名町,ガジマル線
喜美留,和泊町・知名町,空港線・知名・国頭線
畦布,和泊町・知名町,ガジマル線
上手々知名,和泊町・知名町,ガジマル線
和中前,和泊町・知名町,空港線・知名・国頭線
和小前,和泊町・知名町,ガジマル線
和泊港入口・ホテルシーワールド前,和泊町・知名町,空港線・知名・国頭線
手々知名,和泊町・知名町,"空港線・知名・国頭線, ガジマル線"
根折,和泊町・知名町,ガジマル線
新城中,和泊町・知名町,永嶺線・後蘭線
和中央,和泊町・知名町,永嶺線・後蘭線
和泊,和泊町・知名町,"空港線・知名・国頭線, 永嶺線・後蘭線, ガジマル線"
仁志,和泊町・知名町,永嶺線・後蘭線
瀬名,和泊町・知名町,ガジマル線
和,和泊町・知名町,永嶺線・後蘭線
中永嶺,和泊町・知名町,永嶺線・後蘭線
和泊役場前,和泊町・知名町,空港線・知名・国頭線
新城,和泊町・知名町,永嶺線・後蘭線
越山,和泊町・知名町,ガジマル線
