都道府県名,事業者名,バス系統数,停留所数
北海道,宗谷バス（株）,15,314
北海道,沿岸バス（株）,16,365
北海道,名士バス（株）,6,199
北海道,北紋バス（株）,11,272
北海道,羽幌町,1,23
北海道,名寄市,1,45
北海道,北海道北見バス（株）,30,569
北海道,道北バス（株）,68,743
北海道,士別軌道（株）,5,155
北海道,士別市,3,20
北海道,斜里バス（株）,3,61
北海道,網走バス（株）,12,203
北海道,羅臼町,4,59
北海道,遠軽町,6,113
北海道,斜里町,2,39
北海道,網走観光交通（株）,1,48
北海道,阿寒バス（株）,20,424
北海道,美幌町,3,54
北海道,空知中央バス（株）,9,226
北海道,旭川電気軌道（株）,51,350
北海道,北海道中央バス（株）,209,2431
北海道,根室交通（株）,8,156
北海道,新十津川町,1,9
北海道,芦別市,4,55
北海道,（株）美唄自動車学校,3,73
北海道,十勝バス（株）,26,860
北海道,美唄市,12,128
北海道,ふらのバス（株）,4,101
北海道,当別町,4,69
北海道,月形町,1,26
北海道,（有）下段モータース,1,26
北海道,岩見沢市,6,74
北海道,北海道拓殖バス（株）,23,344
北海道,本別町,10,117
北海道,（有）新篠津交通,1,28
北海道,ニセコバス（株）,7,231
北海道,ジェイ,112,726
北海道,アール北海道バス（株）,112,726
北海道,夕張鉄道（株）,5,214
北海道,北都交通（株）,6,75
北海道,新得町,1,90
北海道・静岡県,清水町,14,187
北海道,池田町,7,98
北海道,札幌ばんけい（株）,2,29
北海道,くしろバス（株）,34,513
北海道,札幌第一観光バス（株）,1,13
北海道,（株）じょうてつ,22,194
北海道,音更町,3,119
北海道,岩内町,1,36
北海道,浦幌町,7,77
北海道,道南バス（株）,82,1146
北海道,恵庭市,1,70
北海道,芽室町,1,71
北海道,千歳相互観光バス（株）,4,84
北海道,あつまバス（株）,7,129
北海道,むかわ町,5,111
北海道,中札内村,4,40
北海道,洞爺湖町,3,51
北海道,更別村,1,14
北海道,白老町,3,59
北海道,函館バス（株）,156,1167
北海道,（有）大沼交通,2,8
北海道,函館タクシー（株）,7,16
北海道,北斗市,1,58
北海道,北海道バス（株）,1,16
北海道,北海道観光バス（株）,3,16
北海道,松前町,1,62
青森県,下北交通（株）,19,423
青森県,風間浦村,1,28
青森県,（有）むつ車体工業,2,18
青森県・岩手県・福島県,ジェイアールバス東北（株）,13,390
青森県,（有）脇野沢交通,2,15
青森県,弘南バス（株）,64,1082
青森県,中泊町,2,65
青森県,平内町,7,96
青森県,十和田観光電鉄（株）,19,492
青森県,青森市,39,558
青森県,三沢市,5,119
青森県,鰺ヶ沢町,14,116
青森県,おいらせ町,2,48
青森県,黒石市,4,45
青森県,十和田市,2,53
青森県・岩手県・秋田県,岩手県北自動車（株）,217,1701
青森県,五戸町,20,203
青森県,平川市,5,111
青森県・岩手県,八戸市,32,456
青森県,南部町,9,158
青森県,階上町,4,91
青森県,三戸町,12,118
青森県,田子町,9,110
岩手県,軽米町,12,120
岩手県,二戸市,20,190
岩手県,久慈市,7,175
岩手県,八幡平市,8,103
岩手県・秋田県,鹿角市,14,309
岩手県,岩手町,7,90
岩手県,岩泉町,9,189
岩手県,滝沢市,3,114
岩手県,東日本交通（株）,1,54
岩手県・宮城県,岩手県交通（株）,132,1765
岩手県,宮古市,15,143
岩手県,西和賀町,11,132
岩手県,花巻市,19,271
岩手県,矢巾町,1,15
岩手県,山田町,7,96
岩手県,大槌町,2,62
岩手県,北上市,6,161
岩手県,住田町,7,86
岩手県,ゆだ交通（有）,1,9
岩手県,奥州市,16,294
岩手県,共栄運輸（株）,6,98
岩手県,一関市,42,631
岩手県・宮城県,東日本旅客鉄道（株）,3,76
岩手県,東磐交通（株）,6,129
岩手県,陸前高田市,6,74
岩手県,平泉町,3,49
岩手県・宮城県,栗原市,12,260
宮城県,気仙沼市,15,252
宮城県,大崎市,9,269
宮城県,登米市,35,571
宮城県,南三陸町,11,119
宮城県,北上地区住民バス等運行協議会,1,43
宮城県,桃生地区住民バス運行協議会,4,64
宮城県,涌谷町,6,100
宮城県,美里町,5,162
宮城県,（株）ミヤコーバス,28,510
宮城県,河北地区住民バス運行協議会,5,99
宮城県,雄勝地区住民バス運行協議会,1,21
宮城県,大衡村,6,72
宮城県,稲井地域乗合タクシー運行協議会,2,38
宮城県,宮城交通（株）,72,703
宮城県,富谷市,5,112
宮城県,荻浜地区住民バス運行協議会,1,16
宮城県,仙台市,279,1090
宮城県,石巻市,5,48
宮城県,利府町,3,37
宮城県,塩竈市,2,79
宮城県,七ヶ浜町,8,80
宮城県,（株）仙塩交通,1,19
宮城県,愛子観光バス（株）,1,19
宮城県,（株）タケヤ交通,4,36
宮城県,川崎町,9,117
宮城県,名取市,12,192
宮城県,仙台バス（株）,1,17
宮城県,岩沼市,9,114
宮城県,蔵王町,2,33
宮城県,村田町,1,28
宮城県・山形県,山交バス（株）,70,970
宮城県,白石市,9,160
宮城県,七ヶ宿町,3,48
宮城県,丸森町,6,89
秋田県,秋北バス（株）,34,893
秋田県,小坂町,1,24
秋田県,大館市,2,56
秋田県,秋北タクシー（株）,2,28
秋田県,能代市,5,118
秋田県,北秋田市,1,23
秋田県,男鹿市,9,237
秋田県,南秋地域公共交通活性化協議会,6,29
秋田県,羽後交通（株）,49,1202
秋田県,秋田中央交通（株）,48,623
秋田県,潟上市,5,126
秋田県,秋田市,11,280
秋田県,由利本荘市,20,299
秋田県,大仙市,8,171
秋田県,横手市,11,269
秋田県,にかほ市,6,98
秋田県,湯沢市,1,11
山形県,酒田市,6,134
山形県,庄内交通（株）,39,396
山形県,庄内町,6,127
山形県,鮭川村,3,70
山形県,新庄市,3,72
山形県,最上川交通（株）,1,5
山形県,大蔵村,7,81
山形県,鶴岡市,6,150
山形県,尾花沢市,8,185
山形県,（有）はながさバス,3,41
山形県,村山市,4,85
山形県,東根市,8,95
山形県,河北町,5,64
山形県,山交ハイヤー（株）,1,5
山形県,寒河江市,2,45
山形県,天童市,1,36
山形県,山形市,4,80
山形県,白鷹町,2,37
山形県,南陽市,3,60
山形県,上山市,1,26
山形県,米沢市,3,85
福島県・栃木県,福島交通（株）,251,2647
福島県,新地町,1,16
福島県,福島市,9,77
福島県,西会津町,5,126
福島県・新潟県,会津乗合自動車（株）,64,908
福島県,川俣町,2,33
福島県,東北アクセス（株）,2,36
福島県,磐梯東都バス（株）,9,74
福島県,（資）広田タクシー,3,32
福島県,二本松市,18,238
福島県,大玉村,2,19
福島県,磐梯町,3,42
福島県,本宮市商工会,5,56
福島県,協和交通（株）,1,26
福島県,新常磐交通（株）,91,785
福島県,金川町,1,20
福島県,田園町住民コミュニティバス運営協議会,1,20
福島県・群馬県,昭和村,4,98
福島県,須賀川市,3,58
福島県,南会津町,1,32
福島県,白河市,5,103
