code,都道府県名,停留所数,停留所数（マージ）,事業者数,バス系統数
0,単純合計,278515,231812,1613,23967
1,北海道,14474,12455,67,1061
2,青森県,5085,4093,23,312
3,岩手県,6598,5466,30,538
4,宮城県,5680,4999,37,577
5,秋田県,4905,4047,19,236
6,山形県,2853,2512,22,186
7,福島県,5595,4896,23,477
8,茨城県,7604,6604,38,792
9,栃木県,3778,3505,22,265
10,群馬県,5138,4212,36,353
11,埼玉県,9988,8175,74,1038
12,千葉県,11018,9235,73,938
13,東京都,12389,9608,77,1720
14,神奈川県,10706,8061,41,1805
15,新潟県,8653,6956,57,570
16,富山県,2888,2682,16,213
17,石川県,4054,3131,25,222
18,福井県,3595,2990,28,200
19,山梨県,3201,2633,23,251
20,長野県,8490,6721,64,427
21,岐阜県,6321,5463,37,335
22,静岡県,8845,7419,43,486
23,愛知県,9121,8129,53,789
24,三重県,5570,4873,28,380
25,滋賀県,3637,3155,24,281
26,京都府,4685,3743,34,568
27,大阪府,5558,5004,35,850
28,兵庫県,10376,8372,47,889
29,奈良県,2878,2414,39,403
30,和歌山県,3111,2666,32,243
31,鳥取県,2370,2141,15,160
32,島根県,4444,3945,26,309
33,岡山県,5679,4562,29,298
34,広島県,9078,6775,54,521
35,山口県,4418,3705,17,467
36,徳島県,2176,1783,14,187
37,香川県,2059,1889,18,99
38,愛媛県,2711,2537,11,150
39,高知県,3847,3127,24,192
40,福岡県,8490,7451,47,891
41,佐賀県,3080,2647,30,188
42,長崎県,5193,4250,26,571
43,熊本県,5215,4549,28,439
44,大分県,6964,5557,25,697
45,宮崎県,4065,3508,21,477
46,鹿児島県,9058,7092,37,682
47,沖縄県,2874,2075,24,234
