停留所名,事業者名,バス系統
宗谷岬,宗谷バス（株）,天北宗谷岬線
宗谷岬漁港前,宗谷バス（株）,天北宗谷岬線
珊内,宗谷バス（株）,天北宗谷岬線
宗谷岬会館前,宗谷バス（株）,天北宗谷岬線
宗谷岬3区,宗谷バス（株）,天北宗谷岬線
大岬小学校前,宗谷バス（株）,天北宗谷岬線
第二清浜,宗谷バス（株）,天北宗谷岬線
恩頃間内,宗谷バス（株）,天北宗谷岬線
宗谷中学校前,宗谷バス（株）,天北宗谷岬線
宗谷,宗谷バス（株）,天北宗谷岬線
宗谷1,宗谷バス（株）,天北宗谷岬線
富磯漁港前,宗谷バス（株）,天北宗谷岬線
富磯橋,宗谷バス（株）,天北宗谷岬線
スコトン,宗谷バス（株）,礼文線②
富磯,宗谷バス（株）,天北宗谷岬線
空港下,宗谷バス（株）,礼文線②
白浜,宗谷バス（株）,礼文線②
富磯小学校前,宗谷バス（株）,天北宗谷岬線
船泊港,宗谷バス（株）,礼文線②
富磯中央,宗谷バス（株）,天北宗谷岬線
ノシャップ,宗谷バス（株）,"坂の下線, 市内線, 声問線, 富岡線, 富士見線"
ノシャップ三丁目,宗谷バス（株）,"坂の下線, 富士見線"
富磯南2,宗谷バス（株）,天北宗谷岬線
江戸屋,宗谷バス（株）,礼文線②
ノシャップ一丁目,宗谷バス（株）,"坂の下線, 市内線, 声問線, 富岡線, 富士見線"
ノシャップ四丁目,宗谷バス（株）,"坂の下線, 富士見線"
船泊本町,宗谷バス（株）,礼文線②
恵比須五丁目,宗谷バス（株）,"坂の下線, 市内線, 声問線, 富岡線, 富士見線"
富磯南1,宗谷バス（株）,天北宗谷岬線
恵比須四丁目,宗谷バス（株）,"坂の下線, 市内線, 声問線, 富岡線, 富士見線"
ノシャップ五丁目,宗谷バス（株）,"坂の下線, 富士見線"
恵比須三丁目,宗谷バス（株）,"坂の下線, 市内線, 声問線, 富岡線, 富士見線"
病院前,宗谷バス（株）,礼文線②
増幌橋,宗谷バス（株）,天北宗谷岬線
富士見一丁目,宗谷バス（株）,"坂の下線, 富士見線"
恵比須一丁目,宗谷バス（株）,"坂の下線, 市内線, 声問線, 富岡線, 富士見線"
第2浜中,宗谷バス（株）,礼文線②
浜中,宗谷バス（株）,礼文線②
稚中前,宗谷バス（株）,"坂の下線, 市内線, 声問線, 富岡線, 富士見線"
高山会館,宗谷バス（株）,礼文線②
富士見二丁目,宗谷バス（株）,"坂の下線, 富士見線"
宝来四丁目,宗谷バス（株）,"坂の下線, 市内線, 声問線, 富岡線, 富士見線"
南高山,宗谷バス（株）,礼文線②
増幌入口,宗谷バス（株）,天北宗谷岬線
宝来三丁目,宗谷バス（株）,"坂の下線, 市内線, 声問線, 富岡線, 富士見線"
富士見三丁目,宗谷バス（株）,"坂の下線, 富士見線"
宝来二丁目,宗谷バス（株）,"坂の下線, 市内線, 声問線, 富岡線, 富士見線"
稚内温泉前,宗谷バス（株）,"坂の下線, 富士見線"
宗谷パレス前,宗谷バス（株）,"坂の下線, 富士見線"
第3上泊,宗谷バス（株）,礼文線②
中央公園前,宗谷バス（株）,"坂の下線, 市内線, 声問線, 天北宗谷岬線, 富岡線, 富士見線, 緑町線"
富士見四丁目,宗谷バス（株）,"坂の下線, 富士見線"
神社前,宗谷バス（株）,"坂の下線, 市内線, 声問線, 天北宗谷岬線, 富岡線, 富士見線, 緑町線"
