停留所名,事業者名,バス系統
矢立ハイツ,秋北バス（株）,ハイツ線
矢立温泉前,秋北バス（株）,ハイツ線
日景温泉入口,秋北バス（株）,ハイツ線
上陣場,秋北バス（株）,"ハイツ線, 上陣場線"
中陣場,秋北バス（株）,"ハイツ線, 上陣場線"
陣場,秋北バス（株）,"ハイツ線, 上陣場線"
陣場駅入口,秋北バス（株）,"ハイツ線, 上陣場線"
あすなろ前,小坂町,野口線
多茂木,秋北バス（株）,"ハイツ線, 上陣場線"
神社前,小坂町,野口線
野口コミセン前,小坂町,野口線
冷川,小坂町,野口線
長走風穴,秋北バス（株）,"ハイツ線, 上陣場線"
長走,秋北バス（株）,"ハイツ線, 上陣場線"
中滝,鹿角市,大湯花輪線
野口入口,小坂町,野口線
陸中白沢,鹿角市,大湯花輪線
濁川,小坂町,野口線
砂子沢会館,小坂町,野口線
川上公民館前,小坂町,野口線
松原,秋北バス（株）,"ハイツ線, 上陣場線"
岩本,秋北バス（株）,北陽中学校線（岩本経由）
砂子沢入口,小坂町,野口線
大石渡,秋北バス（株）,大石渡線
公民館前,秋北バス（株）,北陽中学校線（岩本経由）
渋沢,小坂町,野口線
長谷地,秋北バス（株）,大石渡線
内松原,秋北バス（株）,"ハイツ線, 上陣場線"
清水川,秋北バス（株）,北陽中学校線（岩本経由）
中谷地,秋北バス（株）,中谷地線
羽立,秋北バス（株）,大石渡線
矢柄平,小坂町,野口線
大楽前,鹿角市,大湯花輪線
水の館,秋北バス（株）,真名子線
大野岱,秋北バス（株）,中谷地線
深渡,秋北バス（株）,北陽中学校線（岩本経由）
上寺の沢,秋北バス（株）,"ハイツ線, 上陣場線"
真名子,秋北バス（株）,真名子線
繋沢,秋北バス（株）,"北陽中学校線（二ツ井山経由）, 北陽中学校線（北前田経由）"
寺の沢,秋北バス（株）,"ハイツ線, 上陣場線"
土目内,秋北バス（株）,"北陽中学校線（二ツ井山経由）, 北陽中学校線（北前田経由）"
里沢,秋北バス（株）,真名子線
大野,秋北バス（株）,中谷地線
越山,秋北バス（株）,大石渡線
