停留所名,事業者名,バス系統
北野原,福島交通（株）,飯坂・中茂庭線
茂庭中学校,福島交通（株）,飯坂・中茂庭線
もにわの湯,福島交通（株）,飯坂・中茂庭線
中茂庭,福島交通（株）,飯坂・中茂庭線
茂庭局前,福島交通（株）,飯坂・中茂庭線
秋庭,福島交通（株）,飯坂・中茂庭線
田端,福島交通（株）,飯坂・中茂庭線
茂庭小学校,福島交通（株）,飯坂・中茂庭線
下滝野,福島交通（株）,飯坂・中茂庭線
滝野,福島交通（株）,飯坂・中茂庭線
白兎,福島交通（株）,飯坂・中茂庭線
軽井沢,福島交通（株）,飯坂・中茂庭線
藤田駅前,福島交通（株）,藤田線
藤清水,福島交通（株）,飯坂・中茂庭線
藤田北,福島交通（株）,藤田線
国見役場,福島交通（株）,藤田線
釣師浜,新地町,のりあいタクシー　しんちゃんGO
役場前,新地町,のりあいタクシー　しんちゃんGO
新地,新地町,のりあいタクシー　しんちゃんGO
藤田南,福島交通（株）,藤田線
増沢,福島交通（株）,飯坂・中茂庭線
道の駅国見,福島交通（株）,藤田線
尚英中学校,新地町,のりあいタクシー　しんちゃんGO
藤田総合病院,福島交通（株）,藤田線
小川,新地町,のりあいタクシー　しんちゃんGO
国重,福島交通（株）,藤田線
新地高校入口,新地町,のりあいタクシー　しんちゃんGO
板橋,福島交通（株）,飯坂・中茂庭線
富倉,新地町,のりあいタクシー　しんちゃんGO
塩野川,福島交通（株）,梁川線［月の輪経由］
八幡前,福島交通（株）,藤田線
梁川見付,福島交通（株）,梁川線［月の輪経由］
原入口,新地町,のりあいタクシー　しんちゃんGO
福祉会館前,福島交通（株）,梁川線［月の輪経由］
桑折分庁舎前,福島交通（株）,藤田線
桑折駅前,福島交通（株）,桑折線
高清水,福島交通（株）,飯坂・中茂庭線
梁川中町,福島交通（株）,梁川線［月の輪経由］
桑折町役場前,福島交通（株）,藤田線
新林,新地町,のりあいタクシー　しんちゃんGO
桑折駅入口,福島交通（株）,"藤田線, 桑折線"
大舘,福島交通（株）,梁川線［月の輪経由］
梁川栄町,福島交通（株）,梁川線［月の輪経由］
大舘西,福島交通（株）,梁川線［月の輪経由］
桑折上町,福島交通（株）,"藤田線, 桑折線"
