停留所名,事業者名,バス系統
蛇穴,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅前〜蛇穴"
蛇穴下,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅前〜蛇穴"
磯神,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅前〜蛇穴"
唐竹久保,茨城交通（株）,"黒沢小校入口〜唐竹久保, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
小田貝,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅前〜蛇穴"
吉の目,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅前〜蛇穴"
権現堂入口,茨城交通（株）,"黒沢小校入口〜唐竹久保, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
中郷中井,茨城交通（株）,"黒沢小校入口〜唐竹久保, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
花の草,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅前〜蛇穴"
茶味内,茨城交通（株）,"黒沢小校入口〜唐竹久保, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
門の井,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴"
桜井,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴"
松場,茨城交通（株）,"黒沢小校入口〜唐竹久保, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
上野宮局前,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴"
北の内,茨城交通（株）,"黒沢小校入口〜唐竹久保, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
関本小中学校前,北茨城市,大津線
富士ヶ丘,北茨城市,大津線
関本郵便局前,北茨城市,大津線
前の内（大子町）,茨城交通（株）,"黒沢小校入口〜唐竹久保, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
宮本（上野宮）,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴"
松久保,茨城交通（株）,"黒沢小校入口〜唐竹久保, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
平潟港,北茨城市,五浦線
生涯学習センター前,北茨城市,大津線
八反,北茨城市,大津線
期待場前,北茨城市,大津線
つきのき下,北茨城市,大津線
稲村,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴"
阿馴沢入口,茨城交通（株）,"黒沢小校入口〜唐竹久保, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
平潟港入口,北茨城市,五浦線
井戸ノ入り,北茨城市,五浦線
浜道団地北,北茨城市,五浦線
大金沢,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴"
平潟小学校前,北茨城市,五浦線
浜道団地南,北茨城市,五浦線
中の内,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴"
浜道団地入口,北茨城市,五浦線
鹿ノ原団地入口,北茨城市,五浦線
吉沢入口,茨城交通（株）,"黒沢小校入口〜唐竹久保, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
大津港駅前,北茨城市,"五浦線, 大津線"
関本中,北茨城市,大津線
復興住宅前,北茨城市,五浦線
北町,北茨城市,"五浦線, 大津線"
梨野沢,茨城交通（株）,"大子営業所〜梨野沢〜地瀬, 大子駅前〜梨野沢〜地瀬"
黒沢小学校上,茨城交通（株）,"黒沢小校入口〜唐竹久保, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
貝名沢,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴"
市民病院前［北茨城市］,北茨城市,大津線
黒沢小校入口,茨城交通（株）,"黒沢小校入口〜唐竹久保, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
地瀬,茨城交通（株）,"大子営業所〜梨野沢〜地瀬, 大子駅前〜梨野沢〜地瀬"
高山,北茨城市,華川線
旧市立病院前,北茨城市,五浦線
中郷入口,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴, 大子駅前〜唐竹久保, 中郷入口〜唐竹久保, 唐竹久保〜池田中〜大子駅"
大貝入口,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴"
上郷（大子）,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴"
高田入口,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴, 大子駅前〜唐竹久保, 唐竹久保〜池田中〜大子駅"
町付（大子）,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴"
黒沢小学校下,茨城交通（株）,"大子駅〜池田中〜蛇穴, 大子駅〜池田中〜門の井, 大子駅前〜蛇穴"
