停留所名,事業者名,バス系統
那須どうぶつ王国,関東自動車（株）,那須高原観光周遊バス：Aコース
那須ロープウェイ,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW"
大丸温泉,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW"
弁天東口,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜黒磯駅〜那須RW"
北湯入口,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜黒磯駅〜那須RW"
休暇村那須,関東自動車（株）,"那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW"
白戸川,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜黒磯駅〜那須RW"
矢隠岩北,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜黒磯駅〜那須RW"
綱子,福島交通（株）,綱子線［台上経由］
中曽根,関東自動車（株）,"那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW"
八幡温泉,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜黒磯駅〜那須RW"
なす自然の家,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜黒磯駅〜那須RW"
展望台上,関東自動車（株）,"那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW"
おだん上,関東自動車（株）,"那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW"
つつじ吊橋入口,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW"
恋人の聖地,関東自動車（株）,"那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW"
ビジターセンター入口,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW"
那須湯本温泉,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本, 那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Dコース"
那須湯本温泉,那須町,町民バス　湯本線
いこいの家,那須町,町民バス　湯本線
湯本2丁目,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
湯本1丁目,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
湯本旭町,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
湯本旭町,那須町,町民バス　湯本線
仲町（那須町）,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
仲町,那須町,町民バス　湯本線
新那須,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本, 那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Dコース"
新那須,那須町,町民バス　湯本線
ホテルサンバレー那須,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Dコース"
山水閣入口,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本, 那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Dコース"
一軒茶屋,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本, 那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Cコース, 那須高原観光周遊バス：Dコース"
一軒茶屋,那須町,町民バス　湯本線
藤城清治美術館入口,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Cコース, 那須高原観光周遊バス：Dコース"
南ヶ丘牧場,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Cコース, 那須高原観光周遊バス：Dコース"
那須渓流パーク,関東自動車（株）,那須高原観光周遊バス：Cコース
寿楽本店前,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
三沢台,関東自動車（株）,那須塩原駅〜板室温泉〜那須HP
奥那須自然休養林入口,関東自動車（株）,那須塩原駅〜板室温泉〜那須HP
那須高原保育園入口,関東自動車（株）,"那須RW〜共和大学〜那須塩原駅, 那須塩原駅〜共和大学〜那須RW, 那須塩原駅〜黒磯駅〜那須RW, 那須塩原駅〜黒磯駅〜那須湯本"
ペニーレイン那須店入口,関東自動車（株）,那須高原観光周遊バス：Cコース
三沢台4号通り,関東自動車（株）,那須塩原駅〜板室温泉〜那須HP
東急ハーヴェストクラブ,関東自動車（株）,"那須高原観光周遊バス：Aコース, 那須高原観光周遊バス：Bコース, 那須高原観光周遊バス：Dコース"
