停留所名,事業者名,バス系統
鳩待峠,関越交通（株）,鳩待峠線
大清水,関越交通（株）,鎌田線
洞元の滝,関越交通（株）,水上線：湯の小屋〜水上駅
湯の小屋,関越交通（株）,水上線：湯の小屋〜水上駅
洞元湖温泉前,関越交通（株）,水上線：湯の小屋〜水上駅
湯の小屋一本松,関越交通（株）,水上線：湯の小屋〜水上駅
洞元水神前,関越交通（株）,水上線：湯の小屋〜水上駅
須田貝発電所入口,関越交通（株）,水上線：湯の小屋〜水上駅
大芦,関越交通（株）,水上線：湯の小屋〜水上駅
藤原スキー場入口,関越交通（株）,水上線：湯の小屋〜水上駅
須田貝,関越交通（株）,水上線：湯の小屋〜水上駅
スノーパーク尾瀬戸倉,関越交通（株）,鎌田線
明川,関越交通（株）,水上線：湯の小屋〜水上駅
鳩待入口,関越交通（株）,鎌田線
学校入口,関越交通（株）,水上線：湯の小屋〜水上駅
一畝田,関越交通（株）,水上線：湯の小屋〜水上駅
戸倉上,関越交通（株）,鎌田線
尾瀬戸倉,関越交通（株）,"鎌田線, 鳩待峠行バス連絡所〜湯元温泉線"
戸倉中,関越交通（株）,"鎌田線, 鳩待峠行バス連絡所〜湯元温泉線, 鳩待峠線"
宝川入口,関越交通（株）,"水上線：湯の小屋〜水上駅, 水上線：宝川入口〜上毛高原駅"
戸倉宿,関越交通（株）,"鎌田線, 鳩待峠行バス連絡所〜湯元温泉線"
谷川岳ロープウェイ駅,関越交通（株）,水上線：谷川岳RW〜上毛駅
久保,関越交通（株）,"水上線：湯の小屋〜水上駅, 水上線：宝川入口〜上毛高原駅"
土合橋,関越交通（株）,水上線：谷川岳RW〜上毛駅
丸沼温泉環湖荘,関越交通（株）,"湯元温泉線, 日光・かたしなエクスプレス号, 鳩待峠行バス連絡所〜湯元温泉線"
上の原入口,関越交通（株）,"水上線：湯の小屋〜水上駅, 水上線：宝川入口〜上毛高原駅"
土合駅前,関越交通（株）,水上線：谷川岳RW〜上毛駅
栓の滝,関越交通（株）,"鎌田線, 鳩待峠行バス連絡所〜湯元温泉線"
大滝沢,関越交通（株）,"水上線：湯の小屋〜水上駅, 水上線：宝川入口〜上毛高原駅"
師入入口,関越交通（株）,"水上線：湯の小屋〜水上駅, 水上線：宝川入口〜上毛高原駅"
武尊橋,関越交通（株）,"水上線：湯の小屋〜水上駅, 水上線：宝川入口〜上毛高原駅"
丸沼ダム,関越交通（株）,"湯元温泉線, 日光・かたしなエクスプレス号, 鳩待峠行バス連絡所〜湯元温泉線"
菅沼,関越交通（株）,"湯元温泉線, 日光・かたしなエクスプレス号, 鳩待峠行バス連絡所〜湯元温泉線"
古仲,関越交通（株）,"鎌田線, 鳩待峠行バス連絡所〜湯元温泉線"
赤沢橋,関越交通（株）,水上線：谷川岳RW〜上毛駅
栃坂,関越交通（株）,"鎌田線, 鳩待峠行バス連絡所〜湯元温泉線"
日光白根山ロープウエイ,関越交通（株）,"湯元温泉線, 日光・かたしなエクスプレス号, 鳩待峠行バス連絡所〜湯元温泉線"
平出,関越交通（株）,"水上線：湯の小屋〜水上駅, 水上線：宝川入口〜上毛高原駅"
丸沼高原第一ペンション村,関越交通（株）,"湯元温泉線, 日光・かたしなエクスプレス号, 鳩待峠行バス連絡所〜湯元温泉線"
