停留所名,事業者名,バス系統
中央診療所,三宅村,三宅村営バス
湯舟グラウンド前,三宅村,三宅村営バス
焼場,三宅村,三宅村営バス
神着,三宅村,三宅村営バス
土佐,三宅村,三宅村営バス
門の原,三宅村,三宅村営バス
警察署前,三宅村,三宅村営バス
三宅小中学校前,三宅村,三宅村営バス
大久保浜,三宅村,三宅村営バス
支庁前,三宅村,三宅村営バス
姉川神社前,三宅村,三宅村営バス
ナダード,三宅村,三宅村営バス
保健所前,三宅村,三宅村営バス
みやけ保育園前,三宅村,三宅村営バス
友地,三宅村,三宅村営バス
三ノ輪,三宅村,三宅村営バス
阿知原,三宅村,三宅村営バス
美茂井,三宅村,三宅村営バス
伊豆,三宅村,三宅村営バス
薬師前,三宅村,三宅村営バス
釜の尻,三宅村,三宅村営バス
伊豆岬入口,三宅村,三宅村営バス
椎取神社前,三宅村,三宅村営バス
西原,三宅村,三宅村営バス
赤場暁,三宅村,三宅村営バス
伊ヶ谷,三宅村,三宅村営バス
伊ヶ谷港,三宅村,三宅村営バス
岡庭,三宅村,三宅村営バス
三七山,三宅村,三宅村営バス
御子敷,三宅村,三宅村営バス
三池園地,三宅村,三宅村営バス
三池,三宅村,三宅村営バス
夕景浜,三宅村,三宅村営バス
沖ヶ平,三宅村,三宅村営バス
三池港,三宅村,三宅村営バス
鉄砲場,三宅村,三宅村営バス
企業課前,三宅村,三宅村営バス
阿古,三宅村,三宅村営バス
二島,三宅村,三宅村営バス
空港前,三宅村,三宅村営バス
錆ヶ浜,三宅村,三宅村営バス
錆ヶ浜港,三宅村,三宅村営バス
錆ヶ浜港入口,三宅村,三宅村営バス
釜方,三宅村,三宅村営バス
阿古郵便局前,三宅村,三宅村営バス
御嶽神社前,三宅村,三宅村営バス
大永井,三宅村,三宅村営バス
釜根,三宅村,三宅村営バス
旧坪田小学校前,三宅村,三宅村営バス
坪田,三宅村,三宅村営バス
富賀神社前,三宅村,三宅村営バス
郷野,三宅村,三宅村営バス
高校前,三宅村,三宅村営バス
農林合同庁舎前,三宅村,三宅村営バス
薄木,三宅村,三宅村営バス
粟辺坂上,三宅村,三宅村営バス
粟辺,三宅村,三宅村営バス
大路池,三宅村,三宅村営バス
東山,三宅村,三宅村営バス
角屋敷,三宅村,三宅村営バス
新澪池,三宅村,三宅村営バス
野田浜,大島旅客自動車（株）,ぶらっと・野田浜ライン
岡田港,大島旅客自動車（株）,"三原山ライン, 大島公園ライン, ぶらっと・野田浜ライン"
ぶらっとハウス,大島旅客自動車（株）,ぶらっと・野田浜ライン
塚の本,大島旅客自動車（株）,大島公園ライン
空港北口,大島旅客自動車（株）,ぶらっと・野田浜ライン
岡田出張所前,大島旅客自動車（株）,大島公園ライン
秋の浜入口,大島旅客自動車（株）,大島公園ライン
さくら小学校入口,大島旅客自動車（株）,大島公園ライン
岡田郵便局前,大島旅客自動車（株）,大島公園ライン
大島空港ターミナル,大島旅客自動車（株）,大島公園ライン
泉津,大島旅客自動車（株）,大島公園ライン
桜通り,大島旅客自動車（株）,大島公園ライン
北の山,大島旅客自動車（株）,大島公園ライン
ふるさと体験館入口,大島旅客自動車（株）,大島公園ライン
大島空港入口,大島旅客自動車（株）,大島公園ライン
椿トンネル,大島旅客自動車（株）,大島公園ライン
地の岡,大島旅客自動車（株）,大島公園ライン
郷土資料館入口,大島旅客自動車（株）,大島公園ライン
椿・花ガーデン,大島旅客自動車（株）,三原山ライン
大島高校前,大島旅客自動車（株）,大島公園ライン
めがね橋,大島旅客自動車（株）,レインボーライン
桜株,大島旅客自動車（株）,レインボーライン
椿の森公園,大島旅客自動車（株）,三原山ライン
大島公園,大島旅客自動車（株）,"大島公園ライン, レインボーライン, 大砂漠ライン"
あじさいロード中央,大島旅客自動車（株）,レインボーライン
湯場三叉路,大島旅客自動車（株）,"三原山ライン, レインボーライン"
支庁前,大島旅客自動車（株）,大島公園ライン
三原山温泉,大島旅客自動車（株）,"三原山ライン, レインボーライン"
元町北口,大島旅客自動車（株）,"大島公園ライン, 波浮港ライン"
元町港,大島旅客自動車（株）,"三原山ライン, 大島公園ライン, 波浮港ライン, ぶらっと・野田浜ライン"
町役場前,大島旅客自動車（株）,大島公園ライン
農協前,大島旅客自動車（株）,波浮港ライン
元町南口,大島旅客自動車（株）,波浮港ライン
新火口展望台,大島旅客自動車（株）,"三原山ライン, レインボーライン"
火山博物館前,大島旅客自動車（株）,波浮港ライン
大昇団地前,大島旅客自動車（株）,波浮港ライン
三原山頂口,大島旅客自動車（株）,"三原山ライン, レインボーライン"
大宮神社前,大島旅客自動車（株）,波浮港ライン
野増,大島旅客自動車（株）,波浮港ライン
大島大砂漠,大島旅客自動車（株）,大砂漠ライン
清掃工場前,大島旅客自動車（株）,波浮港ライン
千波,大島旅客自動車（株）,波浮港ライン
地層断面前,大島旅客自動車（株）,波浮港ライン
筆島,大島旅客自動車（株）,大砂漠ライン
砂の浜入口,大島旅客自動車（株）,波浮港ライン
間伏,大島旅客自動車（株）,波浮港ライン
大島町陸上競技場,大島旅客自動車（株）,"波浮港ライン, 大砂漠ライン"
波浮保育園前,大島旅客自動車（株）,波浮港ライン
