停留所名,事業者名,バス系統
石楯尾神社前,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸
上岩,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸
上岩下,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸
和田,神奈川中央交通西（株）,野08
岩中野,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸
寺外戸,神奈川中央交通西（株）,野08
鎌沢入口,神奈川中央交通西（株）,野08
御霊,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸
芳ケ沢,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸
橋詰入口,神奈川中央交通西（株）,野08
佐野川,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸
入間坂,神奈川中央交通西（株）,野08
沢井入口,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸
藤野北小学校前,神奈川中央交通西（株）,野08
稲田堤,小田急バス（株）,"読02, 読04"
上河原,神奈川中央交通西（株）,野08
菅三丁目,川崎市,登14
菅四丁目,川崎市,登14
石舟,富士急バス（株）,【上野原】上野原駅〜バイパス〜井戸
上沢井,神奈川中央交通西（株）,野08
稲田堤駅前,小田急バス（株）,"読02, 読04"
城下,川崎市,登14
城下,小田急バス（株）,"読04, 読05"
稲田堤駅入口,川崎市,登14
稲田堤駅入口,小田急バス（株）,"読02, 読04"
中野島多摩川住宅,川崎市,"登06, 登21"
菅北浦三丁目,川崎市,登14
菅北浦三丁目,小田急バス（株）,"読04, 読05"
沢井住宅前,神奈川中央交通西（株）,野08
中河原公園前,川崎市,"登06, 登21"
北浦（多摩区）,小田急バス（株）,読02
多摩老人福祉センター前,川崎市,"登06, 登21"
北浦,川崎市,登14
陣馬登山口,神奈川中央交通西（株）,野08
カリタス学園,川崎市,"登06, 登21"
塚戸,川崎市,登14
塚戸,小田急バス（株）,読02
菅仙谷公園前,川崎市,登14
菅仙谷公園前,小田急バス（株）,"読04, 読05"
中野島公社住宅前,川崎市,"登06, 登21"
登戸営業所,小田急バス（株）,"向ヶ丘遊園駅〜登戸営業所, あざみ野駅〜登戸営業所"
和泉,川崎市,"登06, 登21"
登戸新町,川崎市,"登06, 登21"
星が丘歩道橋,川崎市,登14
星が丘歩道橋,小田急バス（株）,"読04, 読05"
中里橋,神奈川中央交通西（株）,野08
馬場二丁目,小田急バス（株）,"読04, 読05, 生田折返場〜西菅団地"
馬場,小田急バス（株）,読02
底沢,神奈川中央交通（株）・神奈川中央交通西（株）,湖28
底沢,神奈川中央交通（株）,"湖29, 八07"
馬場三丁目,小田急バス（株）,"読04, 読05, 生田折返場〜西菅団地"
登戸新町,川崎市,"登06, 登21"
よみうりランド,小田急バス（株）,"読01, 新07"
土渕,川崎市,登14
菅高校,小田急バス（株）,"読04, 読05, 生田折返場〜西菅団地"
南菅中学校,小田急バス（株）,"読04, 読05, 生田折返場〜西菅団地"
橋下,川崎市,"登06, 登21"
馬場南,小田急バス（株）,"読02, 読04, 読05, 生田折返場〜西菅団地"
西菅団地,川崎市,登14
西菅団地,小田急バス（株）,生田折返場〜西菅団地
東土渕,川崎市,登14
橋下,川崎市,"登06, 登21"
日野,神奈川中央交通西（株）,野08
登戸駅入口,川崎市,"登06, 登21"
明王,川崎市,登14
細山,小田急バス（株）,"読01, 新07"
小原,神奈川中央交通（株）・神奈川中央交通西（株）,湖28
小原,神奈川中央交通（株）,"湖29, 八07"
千木良,神奈川中央交通（株）・神奈川中央交通西（株）,湖28
千木良,神奈川中央交通（株）,"湖29, 八07"
登戸駅多摩川口,川崎市,"登06, 登21"
寺尾台団地,小田急バス（株）,読01
登戸駅（生田緑地口）,川崎市,"直行/急行, 登05"
日本女子大東門,小田急バス（株）,"読02, 読04, 読05, 生田折返場〜西菅団地"
多摩病院前,川崎市,"登06, 登21"
登戸駅,長尾台コミュニティ交通導入推進協議会,長尾台地区：あじさい号
貝沢住宅前,神奈川中央交通西（株）,湖23
多摩区役所前,小田急バス（株）,"向10　専修大学前, 向10　専修大学9号館, 向11, 向12, 向13, 向ヶ丘遊園駅〜登戸営業所, 向ヶ丘遊園駅〜生田折返場"
岡本,神奈川中央交通（株）,"湖29, 八07"
登戸駅,川崎市,"溝06, 登14"
登戸,神奈川中央交通（株）,淵24
平野,神奈川中央交通（株）・神奈川中央交通西（株）,湖28
平野,神奈川中央交通（株）,"湖29, 八07"
多摩区役所前,川崎市,"溝06, 登14"
はるひ野駅入口,稲城市,平尾・南多摩駅路線
はるひ野駅入口,小田急バス（株）,柿24　柿生駅北口〜若葉台駅
大久保,小田急バス（株）,"読01, 新07"
千木良小学校前,神奈川中央交通（株）・神奈川中央交通西（株）,湖28
多摩区役所前,神奈川中央交通（株）,淵24
寺尾台一丁目,小田急バス（株）,読01
多摩消防署前,川崎市,"溝06, 登14"
生田宿,川崎市,登14
向原,小田急バス（株）,新04
下黒川,稲城市,平尾・南多摩駅路線
下黒川,小田急バス（株）,"柿24　柿生駅北口〜若葉台駅, 柿24　調布駅南口〜柿生駅北口, 柿24　稲城駅〜柿生駅北口, 若11"
下黒川,神奈川中央交通（株）,"鶴21, 鶴22, 柿26, 柿27"
はるひ野駅,稲城市,平尾・南多摩駅路線
新船島橋,川崎市,"登06, 登21"
与瀬神社前,神奈川中央交通西（株）,湖23
多摩警察署前,川崎市,"溝06, 登14"
多摩警察署前,神奈川中央交通（株）,淵24
多摩警察署前,小田急バス（株）,"向10　専修大学前, 向10　専修大学9号館, 向11, 向12, 向13, 向ヶ丘遊園駅〜生田折返場, あざみ野駅〜登戸営業所"
千代ヶ丘九丁目,小田急バス（株）,"新02, 新03, 新07"
細山会館前,小田急バス（株）,"新02, 新03, 新07"
千代ヶ丘,小田急バス（株）,"新02, 新03, 新09, 新07"
千木良診療所前,神奈川中央交通（株）・神奈川中央交通西（株）,湖28
向ヶ丘遊園駅,神奈川中央交通（株）,淵24
向ヶ丘遊園駅,小田急バス（株）,"向10　専修大学前, 向10　専修大学9号館, 向11, 向12, 向13, 向ヶ丘遊園駅〜登戸営業所, 向ヶ丘遊園駅〜生田折返場"
