停留所名,事業者名,バス系統
新脇,北鉄能登バス（株）,脇線
脇,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
脇,北鉄能登バス（株）,脇線
田中,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
中波,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
女子口,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
コスモ21,入善町,舟見線
入善駅前,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
中田,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
うるおい館,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
入善郵便局,入善町,舟見線
中田口,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
入善西口,入善町,舟見線
寺田町,入善町,"新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
町民会館,入善町,舟見線
入善高校西,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
入善南公園,入善町,舟見線
姿,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
きららの里,入善町,舟見線
九殿浜,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
上田,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
サンウェル,入善町,舟見線
大境,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
神林,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
小境,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
脇方,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
宇波,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
町新屋,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
中坪,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
岩井戸温泉,加越能バス（株）,"和倉温泉直行バス「わくライナー」, 脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
生地駅,富山地方鉄道（株）,"南北循環バス, 生地循環線"
生地駅,黒部モビリティサービス（株）,新幹線生地線
中沢公民館,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）"
野中,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）"
吉田,富山地方鉄道（株）,生地循環線
YKK体育館,富山地方鉄道（株）,南北循環バス
吉田科学館,黒部モビリティサービス（株）,新幹線生地線
吉田科学館前,富山地方鉄道（株）,"南北循環バス, 生地循環線"
中泊,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
下山,入善町,舟見線
黒東小学校前,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
たなかや前,富山地方鉄道（株）,生地循環線
泊,加越能バス（株）,"脇〜新守山〜高岡駅前, 脇〜氷見市民病院, 済生会高岡病院〜新守山〜脇"
新屋公民館,入善町,舟見線
新屋,入善町,"新屋線（中沢公民館〜入善駅前）, 新屋線（宇奈月市民サービスセンター前〜入善駅前）"
愛場公民館,入善町,"舟見線, 新屋線（中沢公民館〜入善駅前）"
龍泉寺前,富山地方鉄道（株）,生地循環線
吉田口,富山地方鉄道（株）,生地循環線
YKKセンターパーク,富山地方鉄道（株）,南北循環バス
