停留所名,事業者名,バス系統
吉崎御坊蓮如上人記念館・越前加賀県境の館,日本海観光バス（株）,加賀周遊バス「キャンバス」　海まわり線
越前松島水族館,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線, 97　陣ヶ岡線"
松島水族館,坂井市,雄島ルート
梶浦,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線, 97　陣ヶ岡線"
梶浦,坂井市,雄島ルート
十三,坂井市,加戸・三国東部ルート
崎浦,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線, 97　陣ヶ岡線"
崎浦,坂井市,雄島ルート
三国海浜公園,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
雄島,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
安島,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
安島,坂井市,雄島ルート
芝政,坂井市,加戸・三国東部ルート
休暇村越前三国,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
浜地,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線, 97　陣ヶ岡線"
浜地,坂井市,雄島ルート
美保,坂井市,加戸・三国東部ルート
マリンタウン崎,京福バス（株）,97　陣ヶ岡線
白楽荘口,京福バス（株）,97　陣ヶ岡線
城ヶ原,坂井市,加戸・三国東部ルート
池上区民館前,坂井市,加戸・三国東部ルート
池上東,坂井市,加戸・三国東部ルート
雄島小学校,京福バス（株）,97　陣ヶ岡線
池上,坂井市,加戸・三国東部ルート
畜産試験場入口,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
雄島小学校口,坂井市,雄島ルート
東尋坊,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線, あわら温泉・永平寺・東尋坊直行バス"
東尋坊,坂井市,雄島ルート
平山北,坂井市,加戸・三国東部ルート
平山,坂井市,加戸・三国東部ルート
陣ケ岡,京福バス（株）,97　陣ヶ岡線
陣ケ岡,坂井市,雄島ルート
三国競艇,坂井市,加戸・三国東部ルート
鐘場,坂井市,加戸・三国東部ルート
平山,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
嵩,坂井市,加戸・三国東部ルート
陣ケ岡口,京福バス（株）,97　陣ヶ岡線
運動公園二丁目,ケイカン交通（株）,三国運動公園線
西谷,坂井市,加戸・三国東部ルート
荒磯遊歩道,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
フレッシュタウン陣ヶ岡,坂井市,加戸・三国東部ルート
鴨池,坂井市,加戸・三国東部ルート
加戸小学校口,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
温泉街入口,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
池上口,坂井市,加戸・三国東部ルート
三国ボート場口,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
加戸東,坂井市,加戸・三国東部ルート
米ヶ脇山手,ケイカン交通（株）,三国運動公園線
青空第3公園前,ケイカン交通（株）,三国運動公園線
二面,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
古墳公園,京福バス（株）,97　陣ヶ岡線
鴨ケ池,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
三国運動公園,坂井市,"雄島ルート, 加戸・三国東部ルート"
三国運動公園前,ケイカン交通（株）,三国運動公園線
加戸西,坂井市,加戸・三国東部ルート
ポートタウン,坂井市,"雄島ルート, 加戸・三国東部ルート"
国影,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
坂井営業所前,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
米ヶ脇公園前,坂井市,雄島ルート
米ヶ脇公園前,ケイカン交通（株）,三国運動公園線
運動公園北口,坂井市,雄島ルート
井江葭,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
舟津,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
松ケ丘,京福バス（株）,97　陣ヶ岡線
セントピアあわら,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
サンセットビーチ前,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
米ケ脇,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
緑ヶ丘,坂井市,加戸・三国東部ルート
あわら警察署,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
横垣口,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
宿,坂井市,雄島ルート
宿,ケイカン交通（株）,三国運動公園線
桜ケ丘,坂井市,雄島ルート
桜ケ丘,ケイカン交通（株）,三国運動公園線
あわら湯のまち駅,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線, あわら温泉・永平寺・東尋坊直行バス"
宿,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
覚善,坂井市,加戸・三国東部ルート
つつじが丘,坂井市,雄島ルート
春日神社,京福バス（株）,97　陣ヶ岡線
覚善西,京福バス（株）,91　金津・本荘線
三国港駅北口,坂井市,雄島ルート
向ケ丘,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
三国職業安定所,京福バス（株）,91　金津・本荘線
三国職業安定所,ケイカン交通（株）,三国運動公園線
三国観光ホテル前,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線, 91　金津・本荘線"
三国港駅前,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
龍翔館,坂井市,加戸・三国東部ルート
滝谷寺口,ケイカン交通（株）,三国運動公園線
瀧谷寺口,京福バス（株）,97　陣ヶ岡線
滝谷,坂井市,三国坂井ルート
三国図書館,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線, 91　金津・本荘線, 97　陣ヶ岡線"
三国図書館,坂井市,"三国坂井ルート, 雄島ルート, 加戸・三国東部ルート"
三国図書館,ケイカン交通（株）,三国運動公園線
坂ノ下一丁目,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
みくに市民センター,京福バス（株）,91　金津・本荘線
みくに市民センター,坂井市,"三国坂井ルート, 雄島ルート, 加戸・三国東部ルート, 浜四郷ルート"
みくに市民センター,ケイカン交通（株）,三国運動公園線
金津小学校前,京福バス（株）,"84　東尋坊線, 85　東尋坊線, 87　芦原丸岡永平寺線"
三国駅前,坂井市,"三国坂井ルート, 雄島ルート, 加戸・三国東部ルート, 浜四郷ルート"
