停留所名,事業者名,バス系統
森宮野原駅前,南越後観光バス（株）,"系統2310, 系統2320, 系統3712・3722, 系統3715・3725"
栄中学校前,南越後観光バス（株）,"系統2310, 系統2320, 系統3712・3722, 系統3715・3725"
栄村役場前,南越後観光バス（株）,"系統2310, 系統2320, 系統3712・3722, 系統3715・3725"
森の家,長電バス（株）,温井線
柄山,長電バス（株）,温井線
明石,野沢温泉村,湯の花号バス　七ヶ巻線
土倉,長電バス（株）,温井線
東大滝中央,野沢温泉村,湯の花号バス　七ヶ巻線
東大滝,野沢温泉村,湯の花号バス　七ヶ巻線
西大滝ダム上,野沢温泉村,湯の花号バス　七ヶ巻線
羽広山,長電バス（株）,温井線
七ヶ巻,野沢温泉村,湯の花号バス　七ヶ巻線
七ヶ巻入口,野沢温泉村,湯の花号バス　七ヶ巻線
市川橋,野沢温泉村,湯の花号バス　七ヶ巻線
温井,長電バス（株）,温井線
上境入口,長電バス（株）,温井線
道の駅,野沢温泉村,湯の花号バス　七ヶ巻線
品沢,野沢温泉村,湯の花号バス　七ヶ巻線
小出雲,長電バス（株）,温井線
虫生,野沢温泉村,湯の花号バス　七ヶ巻線
前虫生,野沢温泉村,湯の花号バス　七ヶ巻線
土橋,長電バス（株）,温井線
市川交流センター,野沢温泉村,湯の花号バス　七ヶ巻線
横川,長電バス（株）,温井線
矢垂,野沢温泉村,湯の花号バス　七ヶ巻線
吹上,長電バス（株）,温井線
清道寺入口,野沢温泉村,湯の花号バス　七ヶ巻線
平林,野沢温泉村,湯の花号バス　七ヶ巻線
西浦,野沢温泉村,湯の花号バス　七ヶ巻線
二ツ宮,長電バス（株）,"温井線, 急行　戸狩温泉スキー場線"
曽根,長電バス（株）,温井線
平林ゲートボール場前,野沢温泉村,湯の花号バス　七ヶ巻線
市川入口,野沢温泉村,湯の花号バス　七ヶ巻線
蕨野,長電バス（株）,温井線
坪山,野沢温泉村,湯の花号バス　七ヶ巻線
戸狩温泉スキー場,長電バス（株）,"温井線, 小境線, 急行　戸狩温泉スキー場線"
瀬木,長電バス（株）,温井線
今井,長電バス（株）,温井線
五荷,長電バス（株）,小境線
重地原入口,野沢温泉村,湯の花号バス　七ヶ巻線
野沢温泉・真湯,野沢温泉村,湯の花号バス　七ヶ巻線
野沢グランドホテル,長電バス（株）,野沢線
北条,長電バス（株）,小境線
野沢温泉,長電バス（株）,野沢線
野沢温泉,野沢温泉村,"湯の花号バス　七ヶ巻線, 野沢温泉ライナー"
中央ターミナル,野沢温泉村,湯の花号バス　七ヶ巻線
野沢温泉（中央ターミナル）,長電バス（株）,急行　飯山駅-斑尾高原-タングラム線　冬季
役場前,野沢温泉村,湯の花号バス　七ヶ巻線
重地原,野沢温泉村,湯の花号バス　七ヶ巻線
千曲荘入口,長電バス（株）,小境線
新田,長電バス（株）,野沢線
新田,野沢温泉村,野沢温泉ライナー
新田立体駐車場,野沢温泉村,湯の花号バス　七ヶ巻線
戸狩小学校入口,長電バス（株）,"温井線, 小境線"
野沢第一駐車場,長電バス（株）,急行　飯山駅-斑尾高原-タングラム線　冬季
堀之内,長電バス（株）,小境線
太田農協,長電バス（株）,"温井線, 小境線"
戸狩野沢温泉駅,長電バス（株）,"温井線, 小境線"
柳沢,長電バス（株）,小境線
中尾,長電バス（株）,野沢線
中尾,野沢温泉村,野沢温泉ライナー
小境北,長電バス（株）,小境線
北竜湖入口,長電バス（株）,野沢線
戸狩照里,長電バス（株）,温井線
前坂中央,野沢温泉村,湯の花号バス　七ヶ巻線
小境,長電バス（株）,小境線
前坂,長電バス（株）,野沢線
前坂,野沢温泉村,野沢温泉ライナー
重地原,長電バス（株）,野沢線
長峰神社,長電バス（株）,温井線
押出,長電バス（株）,小境線
戸狩新田,長電バス（株）,温井線
笹沢,長電バス（株）,野沢線
城北中学,長電バス（株）,温井線
内野,長電バス（株）,野沢線
信濃平,長電バス（株）,"小境線, 急行　戸狩温泉スキー場線"
中土手,長電バス（株）,温井線
外様農協,長電バス（株）,小境線
針田,長電バス（株）,野沢線
法寺,長電バス（株）,小境線
関沢,長電バス（株）,野沢線
関沢南,長電バス（株）,野沢線
大関橋入口,長電バス（株）,野沢線
中条（ちゅうじょう）,長電バス（株）,小境線
大網,小谷村,北小谷線
民芸館前,長電バス（株）,野沢線
常盤農協,長電バス（株）,温井線
姫川温泉,小谷村,北小谷線
島,長電バス（株）,小境線
平,長電バス（株）,温井線
湯の入荘入口,長電バス（株）,野沢線
別府入口,長電バス（株）,小境線
神戸入口,長電バス（株）,野沢線
泉台小学校,長電バス（株）,小境線
小沼,長電バス（株）,温井線
富田入口,長電バス（株）,野沢線
南条,長電バス（株）,小境線
戸那子,長電バス（株）,野沢線
