停留所名,事業者名,バス系統
中山,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
横山,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
茂住,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
小豆沢,飛騨市,宮川線
まんが王国,飛騨市,宮川線
土,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
和佐府橋,飛騨市,山之村線
鍋谷,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
ガッタンゴー漆山駅,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
和佐府,飛騨市,山之村線
西漆山,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
神明神社前,飛騨市,山之村線
打保橋,飛騨市,山之村線
重機センター,飛騨市,山之村線
下之本,飛騨市,山之村線
漆山,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
平成橋,飛騨市,宮川線
岩井谷,飛騨市,山之村線
打保,飛騨市,宮川線
森茂センター前,飛騨市,山之村線
森茂農協前,飛騨市,山之村線
伊西下,飛騨市,山之村線
森茂センター,飛騨市,山之村線
山之村小中学校,飛騨市,山之村線
森茂,飛騨市,山之村線
伊西上,飛騨市,山之村線
森茂南,飛騨市,山之村線
割石温泉,飛騨市,"かみおか循環乗合タクシー, 神岡東部線, 吉田線, 神原線"
割石温泉,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
割石温泉口,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
小白川,加越能バス（株）,"城端駅前→白川郷, 高岡駅前→白川郷"
成出発電所前,加越能バス（株）,"城端駅前→白川郷, 高岡駅前→白川郷"
巣之内,飛騨市,宮川線
神岡鉱山口,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
和佐保,飛騨市,山之村線
濃飛バス神岡営業所,飛騨市,"かみおか循環乗合タクシー, 山之村線, 神岡東部線, 吉田線, 神原線"
濃飛バス神岡営業所,濃飛乗合自動車（株）,"高山営業所管内（古川・神岡線）高山⇔神岡, 神岡営業所管内（上宝神岡線）"
飛騨市民病院,飛騨市,"かみおか循環乗合タクシー, 山之村線, 神岡東部線, 吉田線, 神原線"
飛騨市民病院,濃飛乗合自動車（株）,"高山営業所管内（古川・神岡線）高山⇔神岡, 神岡営業所管内（上宝神岡線）"
神岡,飛騨市,神岡東部線
神岡,濃飛乗合自動車（株）,高山営業所管内（古川・神岡線）高山⇔神岡
千歳橋,飛騨市,"山之村線, 吉田線, 神原線"
千歳橋,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
西里,飛騨市,"山之村線, 吉田線, 神原線"
西里,濃飛乗合自動車（株）,"高山営業所管内（古川・神岡線）高山⇔神岡, 神岡営業所管内（上宝神岡線）"
牧戸,飛騨市,宮川線
西里橋,飛騨市,"かみおか循環乗合タクシー, 山之村線, 神岡東部線, 吉田線, 神原線"
西里橋,濃飛乗合自動車（株）,"高山営業所管内（古川・神岡線）高山⇔神岡, 神岡営業所管内（上宝神岡線）"
神岡振興事務所,飛騨市,"かみおか循環乗合タクシー, 吉田線, 神原線"
神岡振興事業所,飛騨市,"山之村線, 神岡東部線"
神岡振興事務所,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
東町,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
西忍,飛騨市,宮川線
下今公園前,飛騨市,"かみおか循環乗合タクシー, 神原線"
飛騨神岡駅,飛騨市,神原線
飛騨神岡駅,濃飛乗合自動車（株）,高山営業所管内（古川・神岡線）高山⇔神岡
神岡城口,飛騨市,"神岡東部線, 吉田線"
神岡城口,濃飛乗合自動車（株）,"高山営業所管内（古川・神岡線）高山⇔神岡, 神岡営業所管内（上宝神岡線）"
芦倉,加越能バス（株）,"城端駅前→白川郷, 高岡駅前→白川郷"
神岡小学校,飛騨市,神原線
宮川小学校,飛騨市,宮川線
スカイドーム神岡,濃飛乗合自動車（株）,神岡営業所管内（上宝神岡線）
スカイドーム神岡,飛騨市,"かみおか循環乗合タクシー, 山之村線, 神岡東部線, 吉田線"
宮川振興事務所,飛騨市,宮川線
宮川診療所,飛騨市,宮川線
殿村,飛騨市,"神岡東部線, 吉田線"
殿村,濃飛乗合自動車（株）,"高山営業所管内（古川・神岡線）高山⇔神岡, 神岡営業所管内（上宝神岡線）"
江馬館前,飛騨市,山之村線
殿,飛騨市,"神岡東部線, 吉田線"
殿,濃飛乗合自動車（株）,"高山営業所管内（古川・神岡線）高山⇔神岡, 神岡営業所管内（上宝神岡線）"
旭ヶ丘,飛騨市,神岡東部線
梨ヶ根公園前,飛騨市,神原線
神岡大橋,飛騨市,"かみおか循環乗合タクシー, 吉田線"
神岡大橋,濃飛乗合自動車（株）,"高山営業所管内（古川・神岡線）高山⇔神岡, 神岡営業所管内（上宝神岡線）"
老健たかはら,飛騨市,かみおか循環乗合タクシー
