停留所名,事業者名,バス系統
根原,富士急バス（株）,【富士五湖】（一部快速）富士山駅・新富士駅線
根原,富士急静岡バス（株）,"北山線　東高前〜白糸滝・猪の頭〜根原, 新富士線　富士山駅〜精進湖・富士宮駅〜新富士駅"
道の駅朝霧高原,富士急バス（株）,【富士五湖】（一部快速）富士山駅・新富士駅線
道の駅朝霧高原,富士急静岡バス（株）,"北山線　東高前〜白糸滝・猪の頭〜根原, 新富士線　富士山駅〜精進湖・富士宮駅〜新富士駅"
富士丘入口,富士急バス（株）,【富士五湖】（一部快速）富士山駅・新富士駅線
富士丘入口,富士急静岡バス（株）,"北山線　東高前〜白糸滝・猪の頭〜根原, 新富士線　富士山駅〜精進湖・富士宮駅〜新富士駅"
明神峠,富士急モビリティ（株）,明神峠線
集乳所入口,富士急静岡バス（株）,北山線　東高前〜白糸滝・猪の頭〜根原
八号線入口,富士急静岡バス（株）,北山線　東高前〜白糸滝・猪の頭〜根原
朝霧グリーンパーク入口,富士急静岡バス（株）,"北山線　東高前〜白糸滝・猪の頭〜根原, 新富士線　富士山駅〜精進湖・富士宮駅〜新富士駅"
朝霧グリンパーク,富士急バス（株）,【富士五湖】（一部快速）富士山駅・新富士駅線
朝霧高原,富士急バス（株）,【富士五湖】（一部快速）富士山駅・新富士駅線
朝霧高原,富士急静岡バス（株）,"北山線　東高前〜白糸滝・猪の頭〜根原, 新富士線　富士山駅〜精進湖・富士宮駅〜新富士駅"
駒止松,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
駒止松,富士急バス（株）,"【富士五湖】河口湖駅・御殿場駅線, 【富士五湖】河口湖駅・御殿場プレミアムアウトレット線"
猪の頭入口,富士急バス（株）,【富士五湖】（一部快速）富士山駅・新富士駅線
猪の頭入口,富士急静岡バス（株）,新富士線　富士山駅〜精進湖・富士宮駅〜新富士駅
猪の頭中学校入口,富士急静岡バス（株）,北山線　東高前〜白糸滝・猪の頭〜根原
高原上,富士急バス（株）,"【富士五湖】河口湖駅・御殿場駅線, 【富士五湖】河口湖駅・御殿場プレミアムアウトレット線"
高原上,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
上野,富士急モビリティ（株）,上野線
明神峠入口,富士急モビリティ（株）,上野線
猪の頭,富士急静岡バス（株）,北山線　東高前〜白糸滝・猪の頭〜根原
もちや遊園地,富士急バス（株）,【富士五湖】（一部快速）富士山駅・新富士駅線
もちや遊園地,富士急静岡バス（株）,新富士線　富士山駅〜精進湖・富士宮駅〜新富士駅
紅富台入口,小山町,須走ルート
中日向東,富士急モビリティ（株）,上野線
中日向,富士急モビリティ（株）,上野線
かみ村,富士急静岡バス（株）,北山線　東高前〜白糸滝・猪の頭〜根原
富士高原ゴルフ場,富士急バス（株）,"【富士五湖】河口湖駅・御殿場駅線, 【富士五湖】河口湖駅・御殿場プレミアムアウトレット線"
富士高原ゴルフ場,小山町,須走ルート
富士高原ゴルフ場,富士急バス（株）・富士急モビリティ（株）,河口湖線　A1・A2・C1・C2
冨士霊園,富士急湘南バス（株）,松95
冨士霊園,富士急モビリティ（株）,"御殿場霊園線, 小山霊園線"
スピードウェイ東ゲート,富士急モビリティ（株）,"上野線, 御殿場霊園線, 小山霊園線"
スピードウェイ西ゲート,富士急モビリティ（株）,"御殿場霊園線, 小山霊園線"
陣馬の滝入口,富士急静岡バス（株）,北山線　東高前〜白糸滝・猪の頭〜根原
中日向入口,富士急モビリティ（株）,"上野線, 御殿場霊園線, 小山霊園線"
国立音大セミナーハウス入口,富士急バス（株）,【富士五湖】（一部快速）富士山駅・新富士駅線
国立音大セミナーハウス入口,富士急静岡バス（株）,新富士線　富士山駅〜精進湖・富士宮駅〜新富士駅
