停留所名,事業者名,バス系統
栗栖北,犬山市,栗栖・富岡線
栗栖中,犬山市,栗栖・富岡線
栗栖,犬山市,栗栖・富岡線
野外活動センター,犬山市,栗栖・富岡線
桃太郎公園,犬山市,栗栖・富岡線
寂光院口,犬山市,栗栖・富岡線
寂光院口,犬山市,栗栖・富岡線
ひだまり公園,犬山市,善師野・塔野地線
きらめき公園,犬山市,善師野・塔野地線
もえぎヶ丘,犬山市,善師野・塔野地線
継鹿尾,犬山市,栗栖・富岡線
モンキーパーク,岐阜乗合自動車（株）,リトルワールド・モンキーパーク線
継鹿尾,犬山市,栗栖・富岡線
四季の丘,犬山市,善師野・塔野地線
犬山遊園駅,犬山市,内田線
西大門先,犬山市,内田線
中切,犬山市,善師野・塔野地線
善師野台北,犬山市,善師野・塔野地線
上切,犬山市,善師野・塔野地線
ふれんど,犬山市,栗栖・富岡線
善師野駅西,犬山市,善師野・塔野地線
内田,犬山市,内田線
城前広場,犬山市,内田線
善師野台,犬山市,善師野・塔野地線
清水,犬山市,善師野・塔野地線
サンパーク犬山,犬山市,栗栖・富岡線
鵜飼町,犬山市,内田線
北別祖,犬山市,栗栖・富岡線
南別祖,犬山市,栗栖・富岡線
井堀町北,犬山市,内田線
富岡南洞,犬山市,栗栖・富岡線
城東出張所,犬山市,栗栖・富岡線
犬山高校,犬山市,"上野線, 内田線"
駅前通り,犬山市,"上野線, 内田線"
犬山駅西口,犬山市,"上野線, 内田線"
犬山駅東口,犬山市,"栗栖・富岡線, 今井・前原線, 善師野・塔野地線, 入鹿・羽黒線"
犬山駅東口,岐阜乗合自動車（株）,"明治村線, 明治村線（長者町循環）, リトルワールド・モンキーパーク線"
松本町,犬山市,"栗栖・富岡線, 今井・前原線, 善師野・塔野地線, 入鹿・羽黒線"
富岡新町,犬山市,"栗栖・富岡線, 善師野・塔野地線"
市役所［犬山市］,犬山市,"上野線, 内田線"
木曽川緑地公園前,犬山市,上野線
城東小学校西,犬山市,善師野・塔野地線
西公民館北,犬山市,上野線
犬山西部交番,犬山市,上野線
浦屋敷,犬山市,善師野・塔野地線
城東地区学習等供用施設前,犬山市,善師野・塔野地線
専正寺町,犬山市,"上野線, 内田線"
木津,犬山市,上野線
塔野地北,犬山市,"栗栖・富岡線, 善師野・塔野地線"
四ッ家,犬山市,今井・前原線
中山町,犬山市,今井・前原線
南笠屋,犬山市,内田線
犬山口駅北,犬山市,上野線
時迫間,岐阜乗合自動車（株）,"明治村線, 明治村線（長者町循環）"
時迫間,犬山市,入鹿・羽黒線
塔野地西,犬山市,善師野・塔野地線
上野石塚,犬山市,上野線
木津南,犬山市,上野線
青木橋南,犬山市,栗栖・富岡線
橋爪,岐阜乗合自動車（株）,明治村線
上野後川田,犬山市,上野線
橋爪変電所,犬山市,内田線
橋爪巾屋敷,犬山市,今井・前原線
中屋敷集会場,犬山市,今井・前原線
上野新町,犬山市,上野線
兼清,犬山市,栗栖・富岡線
犬山病院,犬山市,"今井・前原線, 善師野・塔野地線"
橋爪地蔵下,犬山市,上野線
杉,犬山市,今井・前原線
すいとぴあ江南,名鉄バス（株）,80・81・82・83すいとぴあ江南発　布袋駅（江南厚生病院　江南駅経由）
上野橋西,犬山市,上野線
杉ノ山,犬山市,栗栖・富岡線
市民健康館,犬山市,"今井・前原線, 善師野・塔野地線"
上野こせんきょう東,犬山市,内田線
上野南,犬山市,上野線
前原台北,犬山市,今井・前原線
橋爪西浦,犬山市,今井・前原線
塔野地杉,犬山市,栗栖・富岡線
今井駐在所,犬山市,今井・前原線
橋爪中,岐阜乗合自動車（株）,明治村線
草井,名鉄バス（株）,80・81・82・83すいとぴあ江南発　布袋駅（江南厚生病院　江南駅経由）
上野南海道,犬山市,上野線
五郎丸上池,犬山市,内田線
休日診療所前,岐阜乗合自動車（株）,"明治村線, 明治村線（長者町循環）"
前原台五・六丁目,犬山市,今井・前原線
前原公園東,犬山市,栗栖・富岡線
第一名犬ハイツ北,犬山市,内田線
犬山ニュータウン東,犬山市,栗栖・富岡線
前原老人憩の家西,犬山市,今井・前原線
第一名犬ハイツ南,犬山市,内田線
総合犬山中央病院東,岐阜乗合自動車（株）,"明治村線, 明治村線（長者町循環）"
五郎丸北,犬山市,"今井・前原線, 上野線, 内田線"
前原台集会場,犬山市,今井・前原線
観音堂,犬山市,今井・前原線
総合犬山中央病院前,岐阜乗合自動車（株）,明治村線
総合犬山中央病院,犬山市,"楽田西部線, 楽田東部線, 栗栖・富岡線, 今井・前原線, 上野線, 内田線, 入鹿・羽黒線"
犬山ニュータウン,岐阜乗合自動車（株）,"明治村線, 明治村線（長者町循環）"
