停留所名,事業者名,バス系統
中河内,長浜市,柳ヶ瀬線
椿坂,長浜市,柳ヶ瀬線
雁ケ谷,長浜市,柳ヶ瀬線
洞寿院,長浜市,丹生線
菅並,長浜市,丹生線
菅並東,長浜市,丹生線
柳ヶ瀬,長浜市,柳ヶ瀬線
金居原,長浜市,金居原線
金居原中,長浜市,金居原線
近江鶴ヶ岡,長浜市,深坂線
小谷,長浜市,柳ヶ瀬線
金居原口,長浜市,金居原線
杉野学校前,長浜市,金居原線
上丹生,長浜市,丹生線
上丹生茶わん祭の館,長浜市,丹生線
杉野,長浜市,金居原線
橋本,長浜市,丹生線
杉野農協前,長浜市,金居原線
上沓掛,長浜市,深坂線
今市,長浜市,柳ヶ瀬線
杉本,長浜市,金居原線
余呉片岡郵便局,長浜市,柳ヶ瀬線
沓掛,長浜市,深坂線
下丹生,長浜市,丹生線
下沓掛,長浜市,深坂線
東野,長浜市,柳ヶ瀬線
よご認定こども園,長浜市,柳ヶ瀬線
余呉小中学校,長浜市,柳ヶ瀬線
集福寺,長浜市,深坂線
ウッディパル,長浜市,丹生線
中之郷北,長浜市,柳ヶ瀬線
中之郷東,長浜市,丹生線
やまなみセンター,長浜市,"柳ヶ瀬線, 丹生線"
音羽,長浜市,金居原線
中之郷,長浜市,"柳ヶ瀬線, 丹生線"
中之郷西,長浜市,"柳ヶ瀬線, 丹生線"
塩津駅前,長浜市,深坂線
余呉駅,長浜市,"柳ヶ瀬線, 丹生線"
下余呉,長浜市,"柳ヶ瀬線, 丹生線"
国境,高島市,国境線
塩津小学校前,長浜市,深坂線
下余呉南,長浜市,"柳ヶ瀬線, 丹生線"
野坂口,長浜市,深坂線
坂口,長浜市,"柳ヶ瀬線, 丹生線"
在原口,高島市,国境線
塩津北口,長浜市,深坂線
道の駅あぢかまの里,長浜市,深坂線
塩津浜,長浜市,深坂線
川合,長浜市,金居原線
路原,高島市,国境線
川合会館前,長浜市,金居原線
甲津原1,米原市,まいちゃんバス
木ノ本駅,長浜市,"金居原線, 柳ヶ瀬線, 丹生線, 深坂線"
古橋,長浜市,金居原線
木之本バスターミナル,長浜市,"木之本田村線, 金居原線, 柳ヶ瀬線, 丹生線, 深坂線"
木之本口,長浜市,"木之本田村線, 金居原線"
飯の浦,長浜市,深坂線
長浜市立湖北病院,長浜市,"木之本田村線, 金居原線, 柳ヶ瀬線, 丹生線, 深坂線"
平和堂木之本店,長浜市,"金居原線, 柳ヶ瀬線, 丹生線, 深坂線"
北部振興局,長浜市,"木之本田村線, 金居原線"
マキノ白谷温泉,高島市,マキノ高原線
賤ヶ岳口,長浜市,深坂線
井明神,長浜市,金居原線
野口,高島市,国境線
大音,長浜市,深坂線
廣瀬西口,長浜市,"木之本田村線, 金居原線"
近江山梨子,長浜市,深坂線
白谷,高島市,マキノ高原線
長浜伊香ツインアリーナ,長浜市,"金居原線, 深坂線"
さわやかセンター,長浜市,金居原線
尾山,長浜市,金居原線
洞戸,長浜市,金居原線
下出,高島市,マキノ高原線
小中,高島市,マキノ高原線
マキノ高原温泉さらさ,高島市,マキノ高原線
田部,長浜市,金居原線
千田口,長浜市,金居原線
山中,高島市,マキノ高原線
