停留所名,事業者名,バス系統
豊中センター前,阪急バス（株）,西能勢線（73、74、76、77系統）
平石,阪急バス（株）,西能勢線（73、74、76、77系統）
川床,阪急バス（株）,西能勢線（73、74、76、77系統）
石船,阪急バス（株）,西能勢線（73、74、76、77系統）
上宿野,阪急バス（株）,西能勢線（73、74、76、77系統）
豆柏,阪急バス（株）,西能勢線（73、74、76、77系統）
奥田橋,阪急バス（株）,妙見口能勢線（8系統）
才の神,阪急バス（株）,西能勢線（73、74、76、77系統）
七面口,阪急バス（株）,妙見口能勢線（8系統）
高村,阪急バス（株）,西能勢線（73、74、76、77系統）
拝原,阪急バス（株）,西能勢線（73、74、76、77系統）
七面山,阪急バス（株）,妙見口能勢線（8系統）
和田,阪急バス（株）,妙見口能勢線（8系統）
中宿野,阪急バス（株）,西能勢線（73、74、76、77系統）
歌垣山登山口,阪急バス（株）,妙見口能勢線（8系統）
能勢町宿野,阪急バス（株）,西能勢線（73、74、76、77系統）
歌垣局前,阪急バス（株）,妙見口能勢線（8系統）
奥山内,阪急バス（株）,妙見口能勢線（8系統）
能勢町役場前,阪急バス（株）,西能勢線（73、74、76、77系統）
倉垣,阪急バス（株）,妙見口能勢線（8系統）
口山内,阪急バス（株）,西能勢線（73、74、76、77系統）
加村,阪急バス（株）,妙見口能勢線（8系統）
杉生,高槻市,田能
山辺口,阪急バス（株）,西能勢線（73、74、76、77系統）
森上,阪急バス（株）,西能勢線（73、74、76、77系統）
栗栖,阪急バス（株）,西能勢線（73、74、76、77系統）
大里,阪急バス（株）,西能勢線（73、74、76、77系統）
中畑回転場,高槻市,田能
大里住宅前,阪急バス（株）,西能勢線（73、74、76、77系統）
上田尻,阪急バス（株）,西能勢線（73、74、76、77系統）
赤馬,阪急バス（株）,西能勢線（73、74、76、77系統）
名月峠,阪急バス（株）,西能勢線（73、74、76、77系統）
鬼子母神前,阪急バス（株）,西能勢線（73、74、76、77系統）
北脇,阪急バス（株）,西能勢線（73、74、76、77系統）
中畑西,高槻市,田能
北地黄,阪急バス（株）,妙見口能勢線（8系統）
樫船神社,高槻市,田能
中畑口,高槻市,田能
汐の湯温泉前,阪急バス（株）,西能勢線（73、74、76、77系統）
下田尻,阪急バス（株）,西能勢線（73、74、76、77系統）
中畑,高槻市,田能
田能（往）,高槻市,田能
奥の院,阪急バス（株）,妙見口能勢線（8系統）
田能（復）,高槻市,田能
樫田郵便局前,高槻市,田能
平野口,阪急バス（株）,西能勢線（73、74、76、77系統）
豊能警察署前,阪急バス（株）,妙見口能勢線（8系統）
樫田校前,高槻市,田能
田能西条,高槻市,田能
片山口,阪急バス（株）,西能勢線（73、74、76、77系統）
地黄局前,阪急バス（株）,妙見口能勢線（8系統）
清水橋,阪急バス（株）,西能勢線（73、74、76、77系統）
旧東郷小学校前,阪急バス（株）,妙見口能勢線（8系統）
田能口,高槻市,田能
本滝口,阪急バス（株）,妙見口能勢線（8系統）
大谷橋,高槻市,田能
上杉口,阪急バス（株）,西能勢線（73、74、76、77系統）
二料山荘,高槻市,田能
二料,高槻市,田能
稲地,阪急バス（株）,妙見口能勢線（8系統）
森林センター前,高槻市,田能
牧,阪急バス（株）,北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）
出灰,高槻市,田能
妙見口,阪急バス（株）,北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）
南ノ谷,阪急バス（株）,北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）
法性寺前,阪急バス（株）,忍頂寺車作線（81、85、181系統）
西野,阪急バス（株）,忍頂寺車作線（81、85、181系統）
湯谷口,阪急バス（株）,忍頂寺車作線（81、85、181系統）
中所,阪急バス（株）,忍頂寺車作線（81、85、181系統）
中野東,阪急バス（株）,忍頂寺車作線（81、85、181系統）
切畑口,阪急バス（株）,"北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）, 忍頂寺車作線（81、85、181系統）"
つるが谷,高槻市,田能
大円,阪急バス（株）,忍頂寺車作線（81、85、181系統）
小松,阪急バス（株）,忍頂寺車作線（81、85、181系統）
余野（豊能町役場）,阪急バス（株）,"北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）, 忍頂寺車作線（81、85、181系統）"
浅田,阪急バス（株）,"北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）, 忍頂寺車作線（81、85、181系統）, 彩都線（21、22系統）、粟生団地線（29系統）"
余野（東能勢中）,阪急バス（株）,"北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）, 忍頂寺車作線（81、85、181系統）, 彩都線（21、22系統）、粟生団地線（29系統）"
希望ヶ丘二丁目,阪急バス（株）,"北大阪ネオポリス線（23、24、25、26、27系統）、東能勢線（126系統）, 彩都線（21、22系統）、粟生団地線（29系統）"
銭原,阪急バス（株）,忍頂寺車作線（81、85、181系統）
藤ノ宮,阪急バス（株）,忍頂寺車作線（81、85、181系統）
銭原クラブ前,阪急バス（株）,忍頂寺車作線（81、85、181系統）
