停留所名,事業者名,バス系統
傍示,奈良交通（株）,"153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
傍示（南）,奈良交通（株）,"153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
生駒北スポーツセンター,奈良交通（株）,156　富雄駅ー生駒北スポーツセンター
高山狭戸,奈良交通（株）,"153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
高船口,奈良交通（株）,"153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
鐘付田,奈良交通（株）,"153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
東庄田,奈良交通（株）,"153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
庄田,奈良交通（株）,"152　富雄駅ー庄田, 153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
広岡,奈良交通（株）,"105・106　広岡ーJR奈良駅西口, 【文】広岡ー興東館柳生中学校"
西庄田,奈良交通（株）,"152　富雄駅ー庄田, 153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
上大北,奈良交通（株）,"152　富雄駅ー庄田, 153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
大北,奈良交通（株）,"152　富雄駅ー庄田, 153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
高山八幡宮前,奈良交通（株）,"152　富雄駅ー庄田, 153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
下狭川,奈良交通（株）,"96　JR奈良駅ー下狭川, 105・106　広岡ーJR奈良駅西口, 【文】広岡ー興東館柳生中学校"
ひかりが丘,奈良交通（株）,"69　稲倉ーひかりが丘, 70　宛の木ーひかりが丘, 168　生駒駅ーひかりが丘, 170　ひかりが丘ー東生駒駅, 171　ひかりが丘ー東生駒駅, 172　東生駒駅ーひかりが丘, 173　白庭台駅ーひかりが丘"
高山学校前,奈良交通（株）,"151　富雄駅ー高山学校前, 152　富雄駅ー庄田, 153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
北田原,京阪バス（株）,18田原台一丁〜交野市
北田原,奈良交通（株）,82　生駒駅北口ー北田原
生駒北小中学校,奈良交通（株）,"151　富雄駅ー高山学校前, 152　富雄駅ー庄田, 153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
鹿ノ台北二丁目,奈良交通（株）,"102　学園前駅ー鹿ノ台北二丁目, 103　鹿ノ台北二丁目ー学園前駅, 112・113　学園前駅（北）ー鹿ノ台北二丁目"
ひかりが丘住宅口,奈良交通（株）,"69　稲倉ーひかりが丘, 70　宛の木ーひかりが丘, 168　生駒駅ーひかりが丘, 170　ひかりが丘ー東生駒駅, 171　ひかりが丘ー東生駒駅, 172　東生駒駅ーひかりが丘, 173　白庭台駅ーひかりが丘"
狭川,奈良交通（株）,"96　JR奈良駅ー下狭川, 105・106　広岡ーJR奈良駅西口, 【文】広岡ー興東館柳生中学校"
柳生小学校,奈良交通（株）,"【文】興東館柳生中学校ー北野山, 【文】柳生小学校ー水越神社"
高山サイエンスタウン,奈良交通（株）,"82　高山サイエンスタウンー高の原駅, 134　高山サイエンスタウンー学研北生駒駅, 135・136・138　学園前駅ー高山サイエンスタウン"
下興が原,奈良交通（株）,"94・100　JR奈良駅ー柳生ー石打, 95　石打ーJR奈良駅, 102　JR奈良駅西口ー邑地中村, 【文】柳生小学校ー水越神社"
宮方橋,奈良交通（株）,"151　富雄駅ー高山学校前, 152　富雄駅ー庄田, 153・154　富雄駅ー傍示（育英西校経由）, 156　富雄駅ー生駒北スポーツセンター"
興が原,奈良交通（株）,"94・100　JR奈良駅ー柳生ー石打, 95　石打ーJR奈良駅, 102　JR奈良駅西口ー邑地中村, 【文】柳生小学校ー水越神社"
鹿ノ台東二丁目,奈良交通（株）,"102　学園前駅ー鹿ノ台北二丁目, 103　鹿ノ台北二丁目ー学園前駅, 112・113　学園前駅（北）ー鹿ノ台北二丁目"
北田原口,京阪バス（株）,18田原台一丁〜交野市
北田原口,奈良交通（株）,82　生駒駅北口ー北田原
柳生東,奈良交通（株）,"94・100　JR奈良駅ー柳生ー石打, 95　石打ーJR奈良駅, 102　JR奈良駅西口ー邑地中村, 【文】興東館柳生中学校ー北野山, 【文】柳生小学校ー水越神社"
サイエンスプラザ,奈良交通（株）,"82　高山サイエンスタウンー高の原駅, 134　高山サイエンスタウンー学研北生駒駅, 135・136・138　学園前駅ー高山サイエンスタウン"
