停留所名,事業者名,バス系統
浦富海岸口,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
浦富,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
網代,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
浦富熊野神社前,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
網代口,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
下沓井,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
公民館前（岩本）,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
岩美幹部派出所北,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
島めぐり遊覧船のりば前,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
岩美幹部派出所前,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
岩本,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
岩本東,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
岩美西小学校,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
岩美町役場前,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
岩美駅,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
岩美駅,新温泉町,海上線
すこやかセンター岩美病院,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
大谷東口（岩美町）,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
大谷,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
岩美車庫,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
大谷西口（岩美町）,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
住宅前,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
広岡口（岩美町）,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
平野口,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
恩志橋,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
坂上,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
細川,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
里久の里前,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
岩井温泉口,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
長者寮入口,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
御湯神社入口,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
岩井温泉,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
岩井温泉上,日本交通（株）,33　岩美岩井線
長谷橋,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
細川口,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
真名,日本交通（株）,33　岩美岩井線
県,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
中海士,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
海士,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
福部保育園前,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
白地入口,日本交通（株）,33　岩美岩井線
西海士（鳥取市）,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
境港,一畑バス（株）,隠岐汽船接続バス　松江境港線
福部未来学園前,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
JR境港駅,松江市,"美保関コミュニティバス　境港線, 八束コミュニティバス"
境港駅（境港市）,日ノ丸自動車（株）,"隠岐連絡　米子駅〜境港駅/七類港行, ゑびすライナー　美保関灯台〜米子鬼太郎空港行, 外浜境港　米子駅〜境港駅"
白地,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
丸合,松江市,八束コミュニティバス
福部町総合支所前,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
大正町（境港市）,日ノ丸自動車（株）,外浜境港　米子駅〜境港駅
大正町,松江市,美保関コミュニティバス　境港線
丸合境港ターミナル店,松江市,美保関コミュニティバス　境港線
元町（境港市）,日ノ丸自動車（株）,"隠岐連絡　米子駅〜境港駅/七類港行, 外浜境港　米子駅〜境港駅"
元町,松江市,美保関コミュニティバス　境港線
境小学校前（境港市）,日ノ丸自動車（株）,外浜境港　米子駅〜境港駅
境小学校前,松江市,美保関コミュニティバス　境港線
境港明治町,日ノ丸自動車（株）,外浜境港　米子駅〜境港駅
明治町,松江市,美保関コミュニティバス　境港線
鳥取砂丘（砂丘会館）,日本交通（株）・日ノ丸自動車（株）,"39　鳥取砂丘線, ループ麒麟獅子バス"
境港警察署前,松江市,美保関コミュニティバス　境港線
ダイレックス境港店前,松江市,美保関コミュニティバス　境港線
山湯山,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
砂丘センター展望台,日本交通（株）・日ノ丸自動車（株）,"39　鳥取砂丘線, ループ麒麟獅子バス"
浜湯山,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
境港市役所入口,日ノ丸自動車（株）,外浜境港　米子駅〜境港駅
砂の美術館前,日本交通（株）・日ノ丸自動車（株）,"39　鳥取砂丘線, ループ麒麟獅子バス"
中湯山,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
済生会病院前,日ノ丸自動車（株）,隠岐連絡　米子駅〜境港駅/七類港行
相山,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線"
済生会境港総合病院,松江市,"美保関コミュニティバス　境港線, 八束コミュニティバス"
砂丘東口,日本交通（株）,"32　岩美岩井線, 32H　岩美岩井線, 33　岩美岩井線"
賀露海岸,日ノ丸自動車（株）,賀露循環線
