停留所名,事業者名,バス系統
石越,中鉄北部バス（株）,奥津温泉・石越線
才の神,中鉄北部バス（株）,奥津温泉・石越線
上斎原発電所前,中鉄北部バス（株）,奥津温泉・石越線
横原,中鉄北部バス（株）,奥津温泉・石越線
上斎原上,中鉄北部バス（株）,奥津温泉・石越線
上齋原振興センター,中鉄北部バス（株）,上齋原-マルナカ線
上斎原,中鉄北部バス（株）,奥津温泉・石越線
上斎原下,中鉄北部バス（株）,奥津温泉・石越線
上齋原下,中鉄北部バス（株）,上齋原-マルナカ線
美土地,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
大杉公会堂,津山市,市営阿波バス
明王寺口,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
下斎原,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
山戸原,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
引田,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
お宮橋,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
長藤コミュニティーハウス,中鉄北部バス（株）,上齋原-マルナカ線
阿波出張所前,津山市,市営阿波バス
奥津公民館前,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
細田,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
越畑上,鏡野町,町営バス　越畑線
水原橋,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
越畑中,鏡野町,町営バス　越畑線
奥津温泉,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
奥津局前,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
石割桜,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
ほこのはら,加茂観光バス（有）,黒木線
越畑,鏡野町,町営バス　越畑線
小畑,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
小畑コミュニティハウス,中鉄北部バス（株）,上齋原-マルナカ線
物見奥,加茂観光バス（有）,物見線
ふるさと村前,鏡野町,町営バス　越畑線
黒木中,加茂観光バス（有）,黒木線
物見北,加茂観光バス（有）,物見線
踊堂,中鉄北部バス（株）,上齋原-マルナカ線
大将軍,加茂観光バス（有）,物見線
暮床,加茂観光バス（有）,黒木線
河井橋,加茂観光バス（有）,物見線
青柳,加茂観光バス（有）,青柳線
山下,加茂観光バス（有）,物見線
美作河井駅,津山市,市営阿波バス
青柳中村,加茂観光バス（有）,青柳線
上阿曽集会所前,中鉄北部バス（株）,上齋原-マルナカ線
大ヶ原,加茂観光バス（有）,物見線
阿曽,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
徳藤,鏡野町,町営バス　越畑線
戸賀上,加茂観光バス（有）,黒木線
小山入口,中鉄北部バス（株）,上齋原-マルナカ線
小山口,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
布江集会所前,中鉄北部バス（株）,上齋原-マルナカ線
室尾,加茂観光バス（有）,青柳線
知和保育園,加茂観光バス（有）,物見線
落合橋,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
上加茂農協,加茂観光バス（有）,物見線
知和駅,加茂観光バス（有）,物見線
岩屋,鏡野町,町営バス　越畑線
戸賀,加茂観光バス（有）,黒木線
奥津振興センター前,中鉄北部バス（株）,"奥津温泉・石越線, 上齋原-マルナカ線"
青柳口,加茂観光バス（有）,"青柳線, 物見線"
岡本,加茂観光バス（有）,原口線
