停留所名,事業者名,バス系統
篠原口,奥出雲交通（株）,阿井・高野線
和南原小学校前,奥出雲交通（株）,阿井・高野線
和南原集会所,奥出雲交通（株）,阿井・高野線
寸為,奥出雲交通（株）,阿井・高野線
三沢口,奥出雲交通（株）,阿井・高野線
油木上組,庄原市,油木線
道後山麓,庄原市,道後山線
クロカンパーク・すずらんの湯,庄原市,道後山線
越原,庄原市,森脇線（地域生活バス）
三坂神社前,庄原市,道後山線
三坂新橋,庄原市,道後山線
油木中組,庄原市,油木線
石ヶ原,庄原市,森脇線（地域生活バス）
市原,奥出雲交通（株）,阿井・高野線
三坂名越,庄原市,道後山線
油木駅前,庄原市,油木線
岩祖,庄原市,道後山線
猫山,庄原市,道後山線
越原境下,庄原市,森脇線（地域生活バス）
衣木上,庄原市,油木線
坂根,庄原市,道後山線
湯川学校前,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
才の木,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
下湯川,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
上湯川（中店）,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
石原,庄原市,油木線
上湯川,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
新市車庫,備北交通（株）,"下高野線（君田）, たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
下湯川（川島）,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
高野郵便局,奥出雲交通（株）,阿井・高野線
新市バイパス,備北交通（株）,"下高野線（君田）, たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
上市,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
下湯川（瀬尾）,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
福祉健康センター,奥出雲交通（株）,阿井・高野線
殿垣内,備北交通（株）,"下高野線（君田）, たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
高野大橋,備北交通（株）,"下高野線（君田）, たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
垣内橋,備北交通（株）,"下高野線（君田）, たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
小鳥原,庄原市,道後山線
傘取,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
衣木下,庄原市,油木線
別所,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
住宅前（高野）,備北交通（株）,"下高野線（君田）, たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
永金,庄原市,道後山線
山王,庄原市,森脇線（地域生活バス）
上尺田,庄原市,上尺田線
森脇（比和）,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
イザナミ茶屋前,庄原市,上尺田線
中門田,備北交通（株）,"下高野線（君田）, たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
下高野山,備北交通（株）,"下高野線（君田）, たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
比婆山温泉,庄原市,油木線
仲仙道,庄原市,道後山線
下高小学校,備北交通（株）,"下高野線（君田）, たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
道の駅たかの,奥出雲交通（株）,阿井・高野線
道の駅たかの,備北交通（株）,"下高野線（君田）, たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
力石,庄原市,上尺田線
森脇（磯田）,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
不寒原,庄原市,上尺田線
中尺田,庄原市,上尺田線
熊野神社,庄原市,上尺田線
梶谷上,庄原市,油木線
熊野小学校,庄原市,上尺田線
永原（梶谷）,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
小鳥原小学校,庄原市,道後山線
下尺田,庄原市,上尺田線
地明,庄原市,道後山線
永原大橋,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
須田別れ,庄原市,"小奴可西城線, 道後山線"
日野原転回場,庄原市,小奴可西城線
上長者原,庄原市,上尺田線
植木,庄原市,"小奴可西城線, 道後山線"
日野原,備北交通（株）,日野原線
日野原,庄原市,"小奴可西城線, 小奴可線（日野原）"
永原（森沖）,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
長者原,庄原市,上尺田線
八鉾診療所,庄原市,"小奴可西城線, 道後山線"
永原,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
永原,庄原市,森脇線（地域生活バス）
藪谷口,備北交通（株）,小奴可線
藪谷口,庄原市,小奴可線（粟田）
落合駅前,庄原市,"小奴可西城線, 道後山線"
上千鳥（白石）,備北交通（株）,小奴可線
上千鳥（白石）,庄原市,小奴可線（粟田）
下高尾,庄原市,"小奴可西城線, 道後山線"
中内堀,備北交通（株）,小奴可線
中内堀,庄原市,小奴可線（粟田）
梶谷下,庄原市,油木線
奴可神社,備北交通（株）,日野原線
奴可神社,庄原市,"小奴可西城線, 小奴可線（日野原）"
篠原の湯前,庄原市,"小奴可西城線, 道後山線"
落合橋前,庄原市,"小奴可西城線, 油木線, 道後山線"
内堀,備北交通（株）,小奴可線
内堀,庄原市,小奴可線（粟田）
上千鳥,備北交通（株）,小奴可線
上千鳥,庄原市,小奴可線（粟田）
永原下,庄原市,森脇線（地域生活バス）
神社前（内堀）,備北交通（株）,小奴可線
神社前（内堀）,庄原市,小奴可線（粟田）
下長者原,庄原市,上尺田線
迫,備北交通（株）,小奴可線
迫,庄原市,小奴可線（粟田）
永原（畑）,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
小奴可,備北交通（株）,"小奴可線, 日野原線"
小奴可,庄原市,"小奴可線（粟田）, 小奴可線（日野原）"
小奴可駅口,備北交通（株）,"小奴可線, 日野原線"
小奴可駅口,庄原市,"小奴可線（粟田）, 小奴可線（日野原）"
福田上,庄原市,元常・福田線（地域生活バス）
小奴可（JA庄原小奴可支店）,庄原市,小奴可西城線
加谷神社別,備北交通（株）,小奴可線
加谷神社別,庄原市,小奴可線（粟田）
加谷石碑前,備北交通（株）,"小奴可線, 日野原線"
加谷石碑前,庄原市,"小奴可線（粟田）, 小奴可線（日野原）"
千鳥,備北交通（株）,小奴可線
千鳥,庄原市,小奴可線（粟田）
内堀小学校別,備北交通（株）,小奴可線
内堀小学校別,庄原市,小奴可線（粟田）
明賀,庄原市,"小奴可西城線, 油木線, 道後山線"
小奴可中学校前,備北交通（株）,小奴可線
小奴可中学校前,庄原市,小奴可線（粟田）
加谷,備北交通（株）,日野原線
加谷,庄原市,小奴可線（日野原）
比和谷,庄原市,"小和田北・東線, 元常・福田線（地域生活バス）"
内堀小学校前,備北交通（株）,小奴可線
内堀小学校前,庄原市,小奴可線（粟田）
比和谷下,庄原市,"小和田北・東線, 元常・福田線（地域生活バス）"
保育所（比和温泉）,庄原市,"小和田北・東線, 絞り・小和田南線, 森脇線（地域生活バス）, 元常・福田線（地域生活バス）"
中学校前,庄原市,"小和田北・東線, 絞り・小和田南線, 森脇線（地域生活バス）, 元常・福田線（地域生活バス）"
田鋤橋,庄原市,上尺田線
比和谷大草,庄原市,"小和田北・東線, 絞り・小和田南線"
千鳥学校前,備北交通（株）,小奴可線
千鳥学校前,庄原市,小奴可線（粟田）
比和（バイパス）,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
福田下,庄原市,小和田北・東線
下田鋤橋,庄原市,上尺田線
千鳥支所前,備北交通（株）,小奴可線
千鳥支所前,庄原市,小奴可線（粟田）
塩原中,備北交通（株）,小奴可線
塩原中,庄原市,小奴可線（粟田）
比和下,庄原市,"小和田北・東線, 絞り・小和田南線, 森脇線（地域生活バス）, 元常・福田線（地域生活バス）"
比和下町,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
塩原公民館,備北交通（株）,小奴可線
塩原公民館,庄原市,小奴可線（粟田）
元常,庄原市,元常・福田線（地域生活バス）
田黒正原,備北交通（株）,日野原線
田黒正原,庄原市,小奴可線（日野原）
宇山,庄原市,"小和田北・東線, 絞り・小和田南線"
比和（松下前）,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
別所上,庄原市,"小奴可西城線, 油木線, 道後山線"
別所鳥居前,庄原市,"上尺田線, 油木線"
別所鳥居,庄原市,"小奴可西城線, 道後山線"
古頃別,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
小和田東,庄原市,小和田北・東線
多々良原,備北交通（株）,小奴可線
多々良原,庄原市,小奴可線（粟田）
元常別上,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
田黒集会所,備北交通（株）,日野原線
田黒集会所,庄原市,小奴可線（日野原）
小和田南,庄原市,絞り・小和田南線
比婆山駅前,庄原市,"小奴可西城線, 油木線, 道後山線"
比婆山駅,庄原市,上尺田線
元常別,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
森脇,備北交通（株）,小奴可線
森脇,庄原市,小奴可線（粟田）
岸本沖,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
田渕橋,備北交通（株）,日野原線
田渕橋,庄原市,小奴可線（日野原）
田黒別,備北交通（株）,保田線
小出居,備北交通（株）,保田線
小出居,庄原市,保田線
井河内別,備北交通（株）,小奴可線
井河内別,庄原市,小奴可線（粟田）
絞り,庄原市,絞り・小和田南線
友永,備北交通（株）,保田線
木屋原,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
木屋原,庄原市,"絞り・小和田南線, 元常・福田線（地域生活バス）"
常谷,庄原市,大戸・本谷線
美古登小学校,庄原市,"上尺田線, 小奴可西城線, 油木線, 道後山線"
牧ヵ峠,備北交通（株）,保田線
牧ヵ峠,庄原市,保田線
小室,備北交通（株）,小奴可線
小室,庄原市,小奴可線（粟田）
森農協前,備北交通（株）,保田線
森農協前,庄原市,保田線
中寺谷,庄原市,大戸・本谷線
本郷,庄原市,"上尺田線, 小奴可西城線, 油木線, 道後山線"
上三草,備北交通（株）,保田線
下小室,備北交通（株）,小奴可線
下小室,庄原市,小奴可線（粟田）
本谷陽,庄原市,大戸・本谷線
川鳥（沖田）,備北交通（株）,保田線
大屋小学校,庄原市,大戸・本谷線
本谷隠地,庄原市,大戸・本谷線
三草,備北交通（株）,保田線
三草,庄原市,保田線
下本谷,庄原市,大戸・本谷線
横谷,備北交通（株）,赤名線
土居田橋,備北交通（株）,日野原線
土居田橋,庄原市,小奴可線（日野原）
寺谷別,庄原市,大戸・本谷線
西城中野,備北交通（株）,"西城線, 三城線（西城直通）"
西城中野,庄原市,"上尺田線, 大戸・本谷線, 小奴可西城線, 油木線, 道後山線"
川鳥（石村前）,備北交通（株）,保田線
粟田（増原）,備北交通（株）,小奴可線
粟田（増原）,庄原市,小奴可線（粟田）
三草倉庫前,備北交通（株）,保田線
中迫,庄原市,大戸・本谷線
下古頃,備北交通（株）,"たかの線（庄原中）：道の駅・庄原中発, たかの線：庄原駅・道の駅発"
塩田,庄原市,大戸・本谷線
西城駅前,庄原市,"上尺田線, 小奴可西城線, 油木線, 道後山線"
西城病院前,備北交通（株）,"西城線, 三城線（西城直通）"
川鳥コミュニティーC,備北交通（株）,保田線
川鳥センター前,庄原市,保田線
菅,備北交通（株）,保田線
菅,庄原市,保田線
西城病院,庄原市,"上尺田線, 大戸・本谷線, 小奴可西城線, 油木線, 道後山線"
粟田,備北交通（株）,小奴可線
粟田,庄原市,小奴可線（粟田）
西城支所前,庄原市,"上尺田線, 小奴可西城線, 油木線, 道後山線"
ウィル西城前,備北交通（株）,"西城線, 三城線（西城直通）"
