停留所名,事業者名,バス系統
市味,石見交通（株）,小浜江崎線
田万川温泉,石見交通（株）,小浜江崎線
道の駅たまがわ,石見交通（株）,小浜江崎線
須潟,石見交通（株）,小浜江崎線
萩阿武商工会前,石見交通（株）,小浜江崎線
漁港橋,石見交通（株）,小浜江崎線
江崎港,石見交通（株）,小浜江崎線
江崎本町,石見交通（株）,小浜江崎線
尾浦入口,石見交通（株）,小浜江崎線
江津,石見交通（株）,小浜江崎線
北谷,石見交通（株）,小浜江崎線
帆柱,石見交通（株）,小浜江崎線
三原,石見交通（株）,小浜江崎線
須佐駅前,石見交通（株）,小浜江崎線
小島,石見交通（株）,二条線
畠田,石見交通（株）,二条線
保田,石見交通（株）,二条線
堺,石見交通（株）,二条線
惣郷,防長交通（株）,道の駅阿武町〜奈古駅前〜惣郷上
川尻,防長交通（株）,道の駅阿武町〜奈古駅前〜惣郷上
惣郷上,防長交通（株）,道の駅阿武町〜奈古駅前〜惣郷上
尾無,防長交通（株）,道の駅阿武町〜奈古駅前〜惣郷上
宇田郷駅前,防長交通（株）,道の駅阿武町〜奈古駅前〜惣郷上
宇田郷,防長交通（株）,道の駅阿武町〜奈古駅前〜惣郷上
宇田農協前,防長交通（株）,道の駅阿武町〜奈古駅前〜惣郷上
田部,防長交通（株）,道の駅阿武町〜奈古駅前〜惣郷上
田平,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
開作,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
栃原,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
木与駅前,防長交通（株）,道の駅阿武町〜奈古駅前〜惣郷上
小野,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
老人ホーム前,防長交通（株）,道の駅阿武町〜奈古駅前〜惣郷上
河内上の原,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
宇久,防長交通（株）,道の駅阿武町〜奈古駅前〜惣郷上
河内中の原,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
宇田地,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
福賀小前,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
福田,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
金社,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
上郷,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
東光寺,防長交通（株）,道の駅阿武町〜奈古駅前〜惣郷上
上万原,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
町民センター前,防長交通（株）,"道の駅阿武町〜奈古駅前〜惣郷上, 道の駅阿武町〜河内〜福賀小前・宇生賀"
奈古駅前,防長交通（株）,"萩商工高校前〜萩BC〜東萩駅前〜越ヶ浜〜奈古駅前, 道の駅阿武町〜奈古駅前〜惣郷上, 道の駅阿武町〜河内〜福賀小前・宇生賀"
斎藤医院前,防長交通（株）,"道の駅阿武町〜奈古駅前〜惣郷上, 道の駅阿武町〜河内〜福賀小前・宇生賀"
伊豆,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
奈古本町,防長交通（株）,"萩商工高校前〜萩BC〜東萩駅前〜越ヶ浜〜奈古駅前, 道の駅阿武町〜奈古駅前〜惣郷上, 道の駅阿武町〜河内〜福賀小前・宇生賀"
道の駅阿武町,防長交通（株）,"萩商工高校前〜萩BC〜東萩駅前〜越ヶ浜〜奈古駅前, 道の駅阿武町〜奈古駅前〜惣郷上, 道の駅阿武町〜河内〜福賀小前・宇生賀"
上万,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
宇生賀,防長交通（株）,道の駅阿武町〜河内〜福賀小前・宇生賀
堀越,防長交通（株）,"萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越, 萩BC〜東萩駅前〜永田沖〜堀越"
公会堂前,防長交通（株）,"萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越, 萩BC〜東萩駅前〜永田沖〜堀越"
片俣,防長交通（株）,吉部〜片俣
領家,防長交通（株）,吉部〜片俣
栗原,防長交通（株）,"萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越, 萩BC〜東萩駅前〜永田沖〜堀越"
紫福市,防長交通（株）,"萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越, 萩BC〜東萩駅前〜永田沖〜堀越"
高佐中央,防長交通（株）,吉部〜片俣
高俣支所前,防長交通（株）,吉部〜片俣
大井馬場,防長交通（株）,"萩商工高校前〜萩BC〜東萩駅前〜越ヶ浜〜奈古駅前, 萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越"
中山,防長交通（株）,"萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越, 萩BC〜東萩駅前〜永田沖〜堀越"
領家,防長交通（株）,萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越
貞平,防長交通（株）,"萩商工高校前〜萩BC〜東萩駅前〜越ヶ浜〜奈古駅前, 萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越"
中郷,防長交通（株）,吉部〜片俣
大井,防長交通（株）,萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越
大井浦,防長交通（株）,"萩商工高校前〜萩BC〜東萩駅前〜越ヶ浜〜奈古駅前, 萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越"
市橋,防長交通（株）,萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越
花見,防長交通（株）,吉部〜片俣
紫福支所,防長交通（株）,"萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越, 萩BC〜東萩駅前〜永田沖〜堀越"
紫福支所前,防長交通（株）,"萩BC〜東萩駅前〜吉部, 萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越, 萩BC〜東萩駅前〜永田沖〜堀越"
畑,防長交通（株）,"萩BC〜東萩駅前〜吉部, 萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越, 萩BC〜東萩駅前〜永田沖〜堀越"
前尻,防長交通（株）,吉部〜片俣
永井,防長交通（株）,"萩BC〜東萩駅前〜吉部, 萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越, 萩BC〜東萩駅前〜永田沖〜堀越"
永田沖,防長交通（株）,"萩BC〜東萩駅前〜吉部, 萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越, 萩BC〜東萩駅前〜永田沖〜堀越"
京場,防長交通（株）,萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越
車庫前,防長交通（株）,吉部〜片俣
仁保谷入口,防長交通（株）,萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越
平原,防長交通（株）,萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越
向山,防長交通（株）,"萩BC〜東萩駅前〜吉部, 萩BC〜東萩駅前〜永田沖〜堀越"
平原農村公園,防長交通（株）,萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越
殿川,防長交通（株）,萩BC〜東萩駅前〜吉部
影,防長交通（株）,吉部〜片俣
越ヶ浜,防長交通（株）,"萩商工高校前〜萩BC〜東萩駅前〜越ヶ浜〜奈古駅前, 萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越"
越ヶ浜入口,防長交通（株）,"萩商工高校前〜萩BC〜東萩駅前〜越ヶ浜〜奈古駅前, 萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越"
宮の原,防長交通（株）,吉部〜片俣
中殿川,防長交通（株）,萩BC〜東萩駅前〜吉部
押原,防長交通（株）,"萩BC〜東萩駅前〜吉部, 萩BC〜東萩駅前〜永田沖〜堀越"
学校前,防長交通（株）,"萩商工高校前〜萩BC〜東萩駅前〜越ヶ浜〜奈古駅前, 萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越"
吉部市,防長交通（株）,吉部〜片俣
殿川入口,防長交通（株）,萩BC〜東萩駅前〜吉部
岡田,防長交通（株）,吉部〜片俣
二反田,防長交通（株）,萩BC〜東萩駅前〜吉部
越ヶ浜駅前,防長交通（株）,"萩商工高校前〜萩BC〜東萩駅前〜越ヶ浜〜奈古駅前, 萩BC〜越ヶ浜入口〜大井〜永田沖〜堀越"
福栄中学校前,防長交通（株）,"萩BC〜東萩駅前〜吉部, 萩BC〜東萩駅前〜永田沖〜堀越"
