停留所名,事業者名,バス系統
アイランドパーク,西日本鉄道（株）,アイランドパーク〜龍の宮
教会前,西日本鉄道（株）,アイランドパーク〜龍の宮
展望台・思索の森入口,西日本鉄道（株）,アイランドパーク〜龍の宮
小平谷,西日本鉄道（株）,アイランドパーク〜龍の宮
早田古墳入口,西日本鉄道（株）,アイランドパーク〜龍の宮
能古学校前,西日本鉄道（株）,アイランドパーク〜龍の宮
北浦口,西日本鉄道（株）,アイランドパーク〜龍の宮
渡船場前,西日本鉄道（株）,アイランドパーク〜龍の宮
漁協前,西日本鉄道（株）,アイランドパーク〜龍の宮
龍の宮,西日本鉄道（株）,アイランドパーク〜龍の宮
浜崎,西日本鉄道（株）,アイランドパーク〜龍の宮
太刀浦埠頭入口,西鉄バス北九州（株）,7系統
和布刈,西鉄バス北九州（株）,74系統＿2
関門トンネル人道口,西鉄バス北九州（株）,74系統＿2
田野浦漁協前,西鉄バス北九州（株）,7系統
和布刈神社前,西鉄バス北九州（株）,74系統＿2
春日神社前,西鉄バス北九州（株）,7系統
和布刈公園前,西鉄バス北九州（株）,74系統＿2
田野浦埠頭,西鉄バス北九州（株）,"170系統, 175系統, 3・41系統, 70・77系統＿2, 70系統, 72・77系統, 7系統"
埋立入口,西鉄バス北九州（株）,"170系統, 175系統, 3・41系統, 70・77系統＿2, 70系統, 72・77系統, 7系統"
田野浦臨海公園前,西鉄バス北九州（株）,7系統
折戸口団地前,西鉄バス北九州（株）,"170系統, 175系統, 3・41系統, 70・77系統＿2, 70系統, 72・77系統, 7系統"
新開,西鉄バス北九州（株）,"170系統, 175系統, 3・41系統, 70・77系統＿2, 70系統, 72・77系統, 7系統"
旧門司二丁目,西鉄バス北九州（株）,74系統＿2
田野浦,西鉄バス北九州（株）,"170系統, 175系統, 3・41系統, 70・77系統＿2, 70系統, 72・77系統, 75系統, 7系統, 95系統"
旧門司一丁目,西鉄バス北九州（株）,74系統＿2
大久保越,西鉄バス北九州（株）,"170系統, 175系統, 3・41系統, 70・77系統＿2, 70系統, 72・77系統, 7系統"
甲宗八幡宮前,西鉄バス北九州（株）,74系統＿2
鳴竹,西鉄バス北九州（株）,"75系統, 95系統"
清見一丁目,西鉄バス北九州（株）,"170系統, 175系統, 3・41系統, 70・77系統＿2, 70系統, 72・77系統, 7系統"
東本町二丁目,西鉄バス北九州（株）,"70・77系統＿2, 70系統, 72・77系統, 74系統＿2"
清見三丁目,西鉄バス北九州（株）,"75系統, 95系統"
東門司二丁目,西鉄バス北九州（株）,"170系統, 3・41系統, 70・77系統＿2, 70系統, 72・77系統, 7系統"
清見市民センター,西鉄バス北九州（株）,175系統
関門トンネル車道口,西鉄バス北九州（株）,"170系統, 3・41系統, 70・77系統＿2, 70系統, 72・77系統, 7系統"
東門司一丁目,西鉄バス北九州（株）,"170系統, 3・41系統, 70・77系統＿2, 70系統, 72・77系統, 7系統"
