停留所名,事業者名,バス系統
加部島杉村,昭和自動車（株）,呼子乗換線
加部島中部,昭和自動車（株）,呼子乗換線
田島神社,昭和自動車（株）,呼子乗換線
波戸岬,昭和自動車（株）,呼子乗換線
波戸岬国民宿舎,昭和自動車（株）,呼子乗換線
風の見える丘公園,昭和自動車（株）,呼子乗換線
尾の上,昭和自動車（株）,呼子乗換線
波戸,昭和自動車（株）,呼子乗換線
片島,昭和自動車（株）,呼子乗換線
呼子台場みなとプラザ,昭和自動車（株）,呼子乗換線
小友,昭和自動車（株）,呼子乗換線
波戸港入口,昭和自動車（株）,呼子乗換線
長沙子,昭和自動車（株）,呼子乗換線
呼子市民センター前,昭和自動車（株）,呼子乗換線
鳥の巣,昭和自動車（株）,呼子乗換線
加唐島・馬渡島・航路乗り場,昭和自動車（株）,呼子乗換線
波戸岬少年自然の家,昭和自動車（株）,呼子乗換線
呼子大橋,昭和自動車（株）,呼子乗換線
小川島航路乗り場,昭和自動車（株）,呼子乗換線
持山上,昭和自動車（株）,呼子乗換線
呼子,昭和自動車（株）,"値賀・名護屋線, 呼子乗換線, 呼子線, 有浦線, 湊線"
丸田,昭和自動車（株）,湊線
小友入口,昭和自動車（株）,湊線
殿の浦,昭和自動車（株）,"値賀・名護屋線, 呼子乗換線, 有浦線"
藤の辻,昭和自動車（株）,湊線
持山,昭和自動車（株）,湊線
先部,昭和自動車（株）,呼子乗換線
桟橋前,昭和自動車（株）,呼子乗換線
殿の浦入口,昭和自動車（株）,"値賀・名護屋線, 呼子乗換線, 呼子線, 有浦線"
徳川家康別陣下,昭和自動車（株）,呼子乗換線
七ッ釜入口,昭和自動車（株）,湊線
名護屋浜,昭和自動車（株）,"値賀・名護屋線, 呼子乗換線, 有浦線"
大久保（鎮西町）,昭和自動車（株）,呼子乗換線
駐在所前,昭和自動車（株）,呼子乗換線
呼子公民館,昭和自動車（株）,呼子乗換線
屋形石,昭和自動車（株）,湊線
名護屋城址,昭和自動車（株）,"値賀・名護屋線, 呼子乗換線, 有浦線"
殿の浦南,昭和自動車（株）,"値賀・名護屋線, 呼子乗換線, 有浦線"
屋形石入口,昭和自動車（株）,湊線
横竹,昭和自動車（株）,"呼子乗換線, 呼子線"
ひばりヶ丘,昭和自動車（株）,"値賀・名護屋線, 呼子乗換線, 有浦線"
伊達政宗陣跡（海青中学校前）,昭和自動車（株）,"値賀・名護屋線, 呼子乗換線, 有浦線"
名護屋大橋,昭和自動車（株）,"値賀・名護屋線, 呼子乗換線, 有浦線"
名護屋城博物館入口,昭和自動車（株）,"値賀・名護屋線, 呼子乗換線, 有浦線"
鎮西市民センター前,昭和自動車（株）,"値賀・名護屋線, 呼子乗換線, 有浦線"
名護屋港入口,昭和自動車（株）,"値賀・名護屋線, 呼子乗換線, 有浦線"
中野,昭和自動車（株）,呼子線
みなと園,昭和自動車（株）,湊線
湊,昭和自動車（株）,湊線
湊公民館前,昭和自動車（株）,湊線
塩鶴,昭和自動車（株）,呼子線
在郷町,昭和自動車（株）,値賀・名護屋線
湊入口,昭和自動車（株）,湊線
串,昭和自動車（株）,"値賀・名護屋線, 有浦線"
北浜,昭和自動車（株）,湊線
打上,昭和自動車（株）,呼子線
外津橋,昭和自動車（株）,"値賀・名護屋線, 有浦線"
玄海エネルギーパーク,昭和自動車（株）,"値賀・名護屋線, 有浦線"
菖蒲峠,昭和自動車（株）,呼子線
野元,昭和自動車（株）,値賀・名護屋線
玄海発電所口,昭和自動車（株）,"値賀・名護屋線, 有浦線"
松風園前,昭和自動車（株）,湊線
九州電力今村寮,昭和自動車（株）,"値賀・名護屋線, 有浦線"
下石室,昭和自動車（株）,値賀・名護屋線
値賀,昭和自動車（株）,"値賀・名護屋線, 有浦線"
城の元,昭和自動車（株）,値賀・名護屋線
菖蒲,昭和自動車（株）,呼子線
相賀,昭和自動車（株）,湊線
玄海町中通り,昭和自動車（株）,"値賀・名護屋線, 有浦線"
上石室,昭和自動車（株）,値賀・名護屋線
山口茶屋,昭和自動車（株）,呼子線
相賀入口,昭和自動車（株）,湊線
八床入口,昭和自動車（株）,呼子線
今村,昭和自動車（株）,"値賀・名護屋線, 有浦線"
値賀農協前,昭和自動車（株）,有浦線
仮立上,昭和自動車（株）,値賀・名護屋線
上場営農センター前,昭和自動車（株）,値賀・名護屋線
平尾,昭和自動車（株）,有浦線
石原,昭和自動車（株）,値賀・名護屋線
岩野,昭和自動車（株）,"値賀・名護屋線, 呼子線, 有浦線"
鳩川,昭和自動車（株）,湊線
小加倉,昭和自動車（株）,値賀・名護屋線
小加倉溜,昭和自動車（株）,値賀・名護屋線
白畑入口,昭和自動車（株）,値賀・名護屋線
浜野浦の棚田,昭和自動車（株）,有浦線
加倉,昭和自動車（株）,"値賀・名護屋線, 有浦線"
浅木場,昭和自動車（株）,値賀・名護屋線
門前入口,昭和自動車（株）,湊線
浦,昭和自動車（株）,"値賀・名護屋線, 呼子線, 有浦線"
枝去木上,昭和自動車（株）,有浦線
玄海水産振興センター,昭和自動車（株）,湊線
大薗北,昭和自動車（株）,有浦線
唐房,昭和自動車（株）,湊線
枝去木,昭和自動車（株）,有浦線
大薗,昭和自動車（株）,有浦線
唐房入口,昭和自動車（株）,"値賀・名護屋線, 呼子線, 有浦線, 湊線"
大島液化ガス,昭和自動車（株）,唐津市内線
柚の木（玄海町）,昭和自動車（株）,有浦線
有浦上,昭和自動車（株）,有浦線
市民の森西口,昭和自動車（株）,唐津市内線
波止内広場,昭和自動車（株）,入野乗換線
仮屋,昭和自動車（株）,有浦線
石田入口,昭和自動車（株）,有浦線
山道入口,唐津市,乗合タクシー大良線
石田橋,昭和自動車（株）,有浦線
浜町,昭和自動車（株）,"値賀・名護屋線, 呼子線, 有浦線, 湊線"
京泊活性化センター前,昭和自動車（株）,入野乗換線
田渕医院前,昭和自動車（株）,有浦線
市民の森入口,昭和自動車（株）,唐津市内線
玄海町役場前,昭和自動車（株）,有浦線
大島,昭和自動車（株）,唐津市内線
八幡橋,昭和自動車（株）,"値賀・名護屋線, 呼子線, 有浦線, 湊線"
玄海海上温泉パレア前,昭和自動車（株）,有浦線
新田（玄海町）,昭和自動車（株）,有浦線
築港,昭和自動車（株）,唐津市内線
大島郵便局前,昭和自動車（株）,唐津市内線
津賀根,昭和自動車（株）,有浦線
中の瀬,昭和自動車（株）,"値賀・名護屋線, 呼子線, 有浦線, 湊線"
唐津フェリーターミナル,昭和自動車（株）,唐津市内線
魚市場入口,昭和自動車（株）,唐津市内線
まいづるCARROT店,昭和自動車（株）,唐津市内線
藤崎通り,昭和自動車（株）,"値賀・名護屋線, 呼子線, 唐津市内線, 有浦線, 湊線"
納所農漁民センター前,昭和自動車（株）,入野乗換線
海岸通り北,昭和自動車（株）,唐津市内線
名場越,唐津市,乗合タクシー大良線
納所,昭和自動車（株）,入野乗換線
金の手（まいづる9玄海店）,昭和自動車（株）,有浦線
海岸通り,昭和自動車（株）,西コース（唐津市内）
妙見神社下,昭和自動車（株）,"値賀・名護屋線, 呼子線, 唐津市内線, 有浦線, 湊線"
農協前（肥前町）,昭和自動車（株）,入野乗換線
大島通り,昭和自動車（株）,西コース（唐津市内）
唐津青翔高校前,昭和自動車（株）,有浦線
内木場,昭和自動車（株）,入野乗換線
西唐津二丁目,昭和自動車（株）,"値賀・名護屋線, 呼子線, 唐津市内線, 有浦線, 湊線, 西コース（唐津市内）"
