停留所名,事業者名,バス系統
宮原公民館前,五島自動車（株）,"福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
小宮原,五島自動車（株）,"福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
観音平,五島自動車（株）,"福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
跡打,五島自動車（株）,"福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
漁神坂,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
戸岐入口,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
戸岐,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
戸岐向,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
岐宿,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽, 富江（楠原）岐宿, 富江（神崎橋）岐宿"
堂崎天主堂入口,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
魚津ヶ崎,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
弓田,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽, 富江（神崎橋）岐宿"
岐宿支所前,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽, 富江（楠原）岐宿, 富江（神崎橋）岐宿"
ろくろ場口,五島自動車（株）,"福江（水之浦）三井楽, 富江（神崎橋）岐宿"
樫之浦,五島自動車（株）,福江（樫之浦）観音平
岐宿診療所前,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽, 富江（楠原）岐宿, 富江（神崎橋）岐宿"
水之浦,五島自動車（株）,"福江（水之浦）三井楽, 富江（神崎橋）岐宿"
あこう木前,五島自動車（株）,福江（樫之浦）観音平
病院前,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
三井楽,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
船付場,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
浜泊,五島自動車（株）,福江（樫之浦）観音平
三井楽中学校前,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
奥浦,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
鰐川,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
里,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
尾形平,五島自動車（株）,"福江（憩坂）三井楽, 富江（楠原）岐宿"
鍋内,五島自動車（株）,福江（樫之浦）観音平
仁丹窄,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
遣唐使ふるさと館,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
大川原,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
奥浦小学校前,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
川原小学校前,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
白良ヶ浜,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
樽角坂,五島自動車（株）,"福江（憩坂）三井楽, 富江（楠原）岐宿"
打折,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
川原橋,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
浦ノ川,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
浦頭,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
東楠原,五島自動車（株）,"福江（憩坂）三井楽, 富江（楠原）岐宿"
神崎橋,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽, 富江（神崎橋）岐宿"
南高校前,五島自動車（株）,"福江（水之浦）三井楽, 富江（神崎橋）岐宿"
河務,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
奈切,五島自動車（株）,"福江（水之浦）三井楽, 富江（神崎橋）岐宿"
楠原,五島自動車（株）,"福江（憩坂）三井楽, 富江（楠原）岐宿"
木ノ口,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
柳野,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
岐宿中学校前,五島自動車（株）,"福江（憩坂）三井楽, 富江（楠原）岐宿"
小川原,五島自動車（株）,"福江（憩坂）三井楽, 富江（神崎橋）岐宿"
平蔵,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
西楠原,五島自動車（株）,"福江（憩坂）三井楽, 富江（楠原）岐宿"
会館前,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
観音前,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
南河原口,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
憩坂,五島自動車（株）,"福江（憩坂）三井楽, 富江（楠原）岐宿, 富江（神崎橋）岐宿"
六方,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
志田尾,五島自動車（株）,"富江（楠原）岐宿, 富江（神崎橋）岐宿"
曲坂,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
大曲,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
丸山,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
松山,五島自動車（株）,"富江（楠原）岐宿, 富江（神崎橋）岐宿"
曲坂口,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
旭丘団地前,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 観音平（戸岐小前）五病"
寺脇口,五島自動車（株）,"富江（楠原）岐宿, 富江（神崎橋）岐宿"
一里川橋,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
福江中学校前,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 福江（大荒町）五病, 観音平（戸岐小前）五病"
松山,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 福江（大荒町）五病, 観音平（戸岐小前）五病"
篭渕,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
大荒町,五島自動車（株）,福江（大荒町）五病
頴川橋,五島自動車（株）,"福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 福江（大荒町）五病, 観音平（戸岐小前）五病"
尾初久保,五島自動車（株）,"富江（楠原）岐宿, 富江（神崎橋）岐宿"
臨時停留所,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽"
新栄町,五島自動車（株）,"福江（水之浦）三井楽, 福江（憩坂）三井楽, 福江（大浜）富江, 福江（五病）富江線, 福江（大浜）小泊, 高田循環線（右廻り）, 福江（奥浦）戸岐, 福江（戸岐）観音平, 福江（樫之浦）観音平, 福江（長手）上崎山, 鐙瀬循環線（左廻り）, 鐙瀬循環線（右廻り）, 福江（二本楠）荒川, 福江（荒川）布浦, 福江（荒川）玉之浦, 福江（小川）向小浦, 福江（本町通）空港, 大正橋（農協前）福江, 福江（本町通）五病, 福江（大荒町）五病, 観音平（戸岐小前）五病, 黒瀬（富江）福江"
