停留所名,事業者名,バス系統
杖立（杖立温泉）,日田バス（株）,杖立線
杖立,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
小畑,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
白岩（小国）,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
三共牧場入口,大分交通（株）,栃木宮の原
椿の堂,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
七曲り,大分交通（株）,栃木宮の原
簗瀬,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
鯛の田,大分交通（株）,栃木宮の原
池の鶴,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
戸井の口,大分交通（株）,栃木宮の原
堀田,大分交通（株）,栃木宮の原
下城（阿蘇）,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
もみ木橋,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
尾上,大分交通（株）,栃木宮の原
山下（小国）,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
北里小学校前,大分交通（株）,栃木宮の原
七日市,大分交通（株）,栃木宮の原
奴留湯,大分交通（株）,栃木宮の原
北里,大分交通（株）,栃木宮の原
木魂館前,大分交通（株）,栃木宮の原
切原,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
はん田,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
小園,大分交通（株）,栃木宮の原
小国産交前,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, 小国産交前〜ステーション〜小国中央〜黒川, ゆうステーション〜切原〜簗瀬〜杖立"
蔵園,大分交通（株）,栃木宮の原
滴玉,大分交通（株）,栃木宮の原
柏田住宅前,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, 小国産交前〜ステーション〜小国中央〜黒川, ゆうステーション〜切原〜簗瀬〜杖立"
柏田住宅前,小国町,コミュニティバス　にじバス
熊本銀行前,小国町,コミュニティバス　にじバス
ゆうステーション,小国町,"コミュニティバス　にじバス, 小国郷ライナー"
ゆうステーション,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, 小国産交前〜ステーション〜小国中央〜黒川, ゆうステーション〜黒川〜満願寺入口〜ゆうステーション, ゆうステーション〜切原〜簗瀬〜杖立"
上広瀬,小国町,コミュニティバス　にじバス
上広瀬,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
郵便局前,小国町,コミュニティバス　にじバス
けやき広場前,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, 小国産交前〜ステーション〜小国中央〜黒川, ゆうステーション〜黒川〜満願寺入口〜ゆうステーション, ゆうステーション〜切原〜簗瀬〜杖立"
けやき広場,小国町,コミュニティバス　にじバス
松原,大分交通（株）,栃木宮の原
松原（黒川）,産交バス（株）,"小国産交前〜ステーション〜小国中央〜黒川, ゆうステーション〜黒川〜満願寺入口〜ゆうステーション"
小国,大分交通（株）,栃木宮の原
おぐに老人保健施設前,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, 小国産交前〜ステーション〜小国中央〜黒川, ゆうステーション〜黒川〜満願寺入口〜ゆうステーション, ゆうステーション〜切原〜簗瀬〜杖立"
公立病院,小国町,コミュニティバス　にじバス
小国町役場前,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜切原〜簗瀬〜杖立"
小国町役場,小国町,コミュニティバス　にじバス
フレイン,小国町,コミュニティバス　にじバス
小国大橋口,大分交通（株）,栃木宮の原
小国大橋口,小国町,コミュニティバス　にじバス
小国大橋口,産交バス（株）,"小国産交前〜ステーション〜小国中央〜黒川, ゆうステーション〜黒川〜満願寺入口〜ゆうステーション"
倉原,産交バス（株）,"7：阿蘇駅前〜唐笠松〜ステーション〜杖立, ゆうステーション〜黒川〜満願寺入口〜ゆうステーション"
倉原,小国町,コミュニティバス　にじバス
皿山,産交バス（株）,"小国産交前〜ステーション〜小国中央〜黒川, ゆうステーション〜黒川〜満願寺入口〜ゆうステーション"
皿山,大分交通（株）,栃木宮の原
宮の下（小国）,産交バス（株）,"小国産交前〜ステーション〜小国中央〜黒川, ゆうステーション〜黒川〜満願寺入口〜ゆうステーション"
宮の下,大分交通（株）,栃木宮の原
宮の下,小国町,コミュニティバス　にじバス
小国中央,大分交通（株）,栃木宮の原
