停留所名,事業者名,バス系統
陸地,延岡市,コミュニティバス「下塚線」
笹の原,高千穂町,五ヶ所線
五ヶ所,高千穂町,五ヶ所線
三秀台,高千穂町,五ヶ所線
柚ヶ内,延岡市,コミュニティバス「下塚線」
柚ヶ原橋,延岡市,乗合タクシー「古江〜三川内〜梅木大井市尾内線」
仲の内,高千穂町,日向線
大井洞,延岡市,乗合タクシー「古江〜三川内〜梅木大井市尾内線」
登尾,高千穂町,日向線
崩野,高千穂町,五ヶ所線
矢ヶ内,延岡市,コミュニティバス「下塚線」
大井,延岡市,乗合タクシー「古江〜三川内〜梅木大井市尾内線」
西の内,高千穂町,日向線
馬場,高千穂町,五ヶ所線
松葉,延岡市,コミュニティバス「下塚線」
河内,高千穂町,"河内線, 田原線, 五ヶ所線"
日向秋元,高千穂町,日向線
惣見,高千穂町,土呂久線
田原診療所,高千穂町,田原線
市尾内,延岡市,乗合タクシー「古江〜三川内〜梅木大井市尾内線」
中村,高千穂町,河内線
波帰橋,延岡市,乗合タクシー「古江〜三川内〜梅木大井市尾内線」
滑戸,高千穂町,日向線
野々水流,延岡市,乗合タクシー「古江〜三川内〜梅木大井市尾内線」
野々尻,高千穂町,日出線
田原中学校入口,高千穂町,"河内線, 田原線"
抱石,延岡市,コミュニティバス「下塚線」
大郎,高千穂町,河内線
茅場,延岡市,コミュニティバス「下塚線」
松葉吐,延岡市,コミュニティバス「下塚線」
黒葛原,高千穂町,日向線
梅木郵便局,延岡市,乗合タクシー「古江〜三川内〜梅木大井市尾内線」
南,高千穂町,田原線
宮の平,高千穂町,河内線
小長谷,延岡市,乗合タクシー「古江〜三川内〜下塚線」
南大平,高千穂町,田原線
上塚橋,延岡市,乗合タクシー「古江〜三川内〜下塚線」
波帰の原,延岡市,乗合タクシー「古江〜三川内〜下塚線」
玄武山トンネル,高千穂町,河内線
富の尾,高千穂町,日出線
土呂久,高千穂町,土呂久線
川下,高千穂町,田原線
下塚,延岡市,乗合タクシー「古江〜三川内〜下塚線」
