停留所名,事業者名,バス系統
辺土名バスターミナル,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
辺土名,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
上島入口,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
老人福祉センター入口,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
奥間（国頭村）,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
奥間ビーチ入口,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
真謝入口（折返点）,伊江島観光バス（株）,伊江島観光バス
半地,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
古堅商店前,伊江島観光バス（株）,伊江島観光バス
真謝公民館前,伊江島観光バス（株）,伊江島観光バス
半地共同売店前,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
訓練場入口,伊江島観光バス（株）,伊江島観光バス
団結道場前,伊江島観光バス（株）,伊江島観光バス
エコ・スポレク公園,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
真謝南入口,伊江島観光バス（株）,伊江島観光バス
西江上西入口,伊江島観光バス（株）,伊江島観光バス
浜,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
赤嶺入口,伊江島観光バス（株）,伊江島観光バス
田嘉里入口,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
西崎団地入口,伊江島観光バス（株）,伊江島観光バス
第二遊場,伊江島観光バス（株）,伊江島観光バス
知念商店前,伊江島観光バス（株）,伊江島観光バス
西江上売店前,伊江島観光バス（株）,伊江島観光バス
西江上団地入口,伊江島観光バス（株）,伊江島観光バス
与那城商店前,伊江島観光バス（株）,伊江島観光バス
西崎北入口,伊江島観光バス（株）,伊江島観光バス
島村屋観光公園前（伊江中学校校門入口）,伊江島観光バス（株）,伊江島観光バス
中央公民館前,伊江島観光バス（株）,伊江島観光バス
東江前公民館入口,伊江島観光バス（株）,伊江島観光バス
役場前,伊江島観光バス（株）,伊江島観光バス
志良堂商店前,伊江島観光バス（株）,伊江島観光バス
西崎売店前,伊江島観光バス（株）,伊江島観光バス
西崎入口,伊江島観光バス（株）,伊江島観光バス
旧西崎農協支所前,伊江島観光バス（株）,伊江島観光バス
西崎ゲートボール場前,伊江島観光バス（株）,伊江島観光バス
診療所前,伊江島観光バス（株）,伊江島観光バス
JA伊江支店前,伊江島観光バス（株）,伊江島観光バス
トケイ浜・ハートロック,（同）やんばる急行バス,やんばる急行バス四島線
郵便局前,伊江島観光バス（株）,伊江島観光バス
営業所前（起点）,伊江島観光バス（株）,伊江島観光バス
第二喜如嘉,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
伊江港,伊江島観光バス（株）,伊江島観光バス
第一喜如嘉,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
スルル洞入口付近,（同）やんばる急行バス,やんばる急行バス四島線
辺土名高校前,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
饒波入口（大宜味村）,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
赤墓ビーチ・長浜ビーチ,（同）やんばる急行バス,やんばる急行バス四島線
大宜味村役場前,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
カネシバマ入口付近,（同）やんばる急行バス,やんばる急行バス四島線
大兼久,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
高良原,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,"65本部半島線　渡久地廻り（共同運行）, 66本部半島線　今帰仁廻り（共同運行）, 70備瀬線（共同運行）"
大宜味,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,67辺土名線（共同運行）
備瀬出口,沖縄バス（株）・那覇バス（株）・（株）琉球バス交通,"65本部半島線　渡久地廻り（共同運行）, 66本部半島線　今帰仁廻り（共同運行）, 70備瀬線（共同運行）"
クビリ浜入口付近,（同）やんばる急行バス,やんばる急行バス四島線
